model_type        , lang, avg_length
dpo_150426        , de  ,     1690.0
w-reinforce       , de  ,     1740.0
dpo               , de  ,     1861.0
dpo_250426        , de  ,     1530.0
w-reinforce_150426, de  ,     1688.0
ppo_150426        , de  ,     1696.0
ppo               , de  ,     1772.0
sft               , de  ,     2126.0
sft_150426        , de  ,     1992.0
npo               , de  ,        0.0
dpo_150426        , de  ,     1690.0
npo_150426        , de  ,     8166.0
w-reinforce       , de  ,     1740.0
dpo               , de  ,     1861.0
dpo_250426        , de  ,     1530.0
w-reinforce_150426, de  ,     1688.0
npo_checkpoint-5  , de  ,     1721.0
ppo_150426        , de  ,     1696.0
npo_checkpoint-10 , de  ,     1748.0
ppo               , de  ,     1772.0
sft               , de  ,     2126.0
npo_checkpoint-2  , de  ,     1709.0
npo_checkpoint-1  , de  ,     1688.0
npo_checkpoint-4  , de  ,     1727.0
npo_checkpoint-3  , de  ,     1731.0
sft_150426        , de  ,     1992.0
npo               , de  ,        0.0
w-reinforce       , de  ,     1740.0
dpo               , de  ,     1861.0
dpo_250426        , de  ,     1530.0
w-reinforce_150426, de  ,     1688.0
ppo_150426        , de  ,     1696.0
ppo               , de  ,     1772.0
sft               , de  ,     2126.0
npo_checkpoint-1  , de  ,     1688.0
sft_150426        , de  ,     1992.0
npo               , de  ,        0.0
w-reinforce       , de  ,     1740.0
dpo               , de  ,     1861.0
dpo_250426        , de  ,     1530.0
w-reinforce_150426, de  ,     1688.0
npo_checkpoint-5  , de  ,     1721.0
ppo_150426        , de  ,     1696.0
npo_checkpoint-10 , de  ,     1748.0
ppo               , de  ,     1772.0
sft               , de  ,     2126.0
npo_checkpoint-2  , de  ,     1709.0
npo_checkpoint-1  , de  ,     1688.0
npo_checkpoint-4  , de  ,     1727.0
npo_checkpoint-3  , de  ,     1731.0
sft_150426        , de  ,     1992.0
npo_checkpoint-20 , de  ,     4166.0
npo               , de  ,        0.0
w-reinforce       , de  ,     1740.0
dpo               , de  ,     1861.0
dpo_250426        , de  ,     1530.0
w-reinforce_150426, de  ,     1688.0
ppo_150426        , de  ,     1696.0
ppo               , de  ,     1772.0
sft               , de  ,     2126.0
npo_checkpoint-2  , de  ,     1709.0
npo_checkpoint-1  , de  ,     1688.0
sft_150426        , de  ,     1992.0
npo               , de  ,        0.0
w-reinforce       , de  ,     1740.0
dpo               , de  ,     1861.0
dpo_250426        , de  ,     1530.0
w-reinforce_150426, de  ,     1688.0
npo_checkpoint-5  , de  ,     1721.0
ppo_150426        , de  ,     1696.0
npo_checkpoint-10 , de  ,     1748.0
ppo               , de  ,     1772.0
sft               , de  ,     2126.0
npo_checkpoint-2  , de  ,     1709.0
npo_checkpoint-1  , de  ,     1688.0
npo_checkpoint-4  , de  ,     1727.0
npo_checkpoint-3  , de  ,     1731.0
sft_150426        , de  ,     1992.0
npo_checkpoint-20 , de  ,     4166.0
npo               , de  ,        0.0
npo_checkpoint-30 , de  ,     8647.0
w-reinforce       , de  ,     1740.0
dpo               , de  ,     1861.0
dpo_250426        , de  ,     1530.0
w-reinforce_150426, de  ,     1688.0
ppo_150426        , de  ,     1696.0
ppo               , de  ,     1772.0
sft               , de  ,     2126.0
npo_checkpoint-2  , de  ,     1709.0
npo_checkpoint-1  , de  ,     1688.0
npo_checkpoint-3  , de  ,     1731.0
sft_150426        , de  ,     1992.0
npo               , de  ,        0.0
w-reinforce       , de  ,     1740.0
dpo               , de  ,     1861.0
dpo_250426        , de  ,     1530.0
w-reinforce_150426, de  ,     1688.0
ppo_150426        , de  ,     1696.0
ppo               , de  ,     1772.0
sft               , de  ,     2126.0
npo_checkpoint-2  , de  ,     1709.0
npo_checkpoint-1  , de  ,     1688.0
npo_checkpoint-4  , de  ,     1727.0
npo_checkpoint-3  , de  ,     1731.0
sft_150426        , de  ,     1992.0
npo               , de  ,        0.0
w-reinforce       , de  ,     1740.0
dpo               , de  ,     1861.0
dpo_250426        , de  ,     1530.0
w-reinforce_150426, de  ,     1688.0
npo_checkpoint-5  , de  ,     1721.0
ppo_150426        , de  ,     1696.0
ppo               , de  ,     1772.0
sft               , de  ,     2126.0
npo_checkpoint-2  , de  ,     1709.0
npo_checkpoint-1  , de  ,     1688.0
npo_checkpoint-4  , de  ,     1727.0
npo_checkpoint-3  , de  ,     1731.0
sft_150426        , de  ,     1992.0
npo               , de  ,        0.0
w-reinforce       , de  ,     1740.0
dpo               , de  ,     1861.0
ppo_150426        , de  ,     1696.0
ppo               , de  ,     1772.0
