sample_id,lang,model,model_type,group,variant,distance
2,de,npo_150426,icr_enesru_llama3_8b_npo_150426,npo_output_2,npo_150426,0.31461878960858525
2,en,npo_150426,icr_enesru_llama3_8b_npo_150426,npo_output_2,npo_150426,0.790032969564624
2,es,npo_150426,icr_enesru_llama3_8b_npo_150426,npo_output_2,npo_150426,0.7513645432601783
2,fr,npo_150426,icr_enesru_llama3_8b_npo_150426,npo_output_2,npo_150426,0.41877278829504616
2,ru,npo_150426,icr_enesru_llama3_8b_npo_150426,npo_output_2,npo_150426,0.44772537674795865
2,de,npo_checkpoint-1,icr_enesru_llama3_8b_npo_checkpoint-1,npo_output_2,npo_checkpoint-1,0.09621608363134104
2,en,npo_checkpoint-1,icr_enesru_llama3_8b_npo_checkpoint-1,npo_output_2,npo_checkpoint-1,0.16765235555139557
2,es,npo_checkpoint-1,icr_enesru_llama3_8b_npo_checkpoint-1,npo_output_2,npo_checkpoint-1,0.4077156883839943
2,fr,npo_checkpoint-1,icr_enesru_llama3_8b_npo_checkpoint-1,npo_output_2,npo_checkpoint-1,0.16637839544765054
2,ru,npo_checkpoint-1,icr_enesru_llama3_8b_npo_checkpoint-1,npo_output_2,npo_checkpoint-1,0.21130171423543853
2,de,npo_checkpoint-2,icr_enesru_llama3_8b_npo_checkpoint-2,npo_output_2,npo_checkpoint-2,0.13111335515074596
2,en,npo_checkpoint-2,icr_enesru_llama3_8b_npo_checkpoint-2,npo_output_2,npo_checkpoint-2,0.15189588190890535
2,es,npo_checkpoint-2,icr_enesru_llama3_8b_npo_checkpoint-2,npo_output_2,npo_checkpoint-2,0.27676470948719345
2,fr,npo_checkpoint-2,icr_enesru_llama3_8b_npo_checkpoint-2,npo_output_2,npo_checkpoint-2,0.16166055498624232
2,ru,npo_checkpoint-2,icr_enesru_llama3_8b_npo_checkpoint-2,npo_output_2,npo_checkpoint-2,0.2195063567935892
2,de,npo_checkpoint-3,icr_enesru_llama3_8b_npo_checkpoint-3,npo_output_2,npo_checkpoint-3,0.10148304923895024
2,en,npo_checkpoint-3,icr_enesru_llama3_8b_npo_checkpoint-3,npo_output_2,npo_checkpoint-3,0.14984534647911785
2,es,npo_checkpoint-3,icr_enesru_llama3_8b_npo_checkpoint-3,npo_output_2,npo_checkpoint-3,0.32077674322503125
2,fr,npo_checkpoint-3,icr_enesru_llama3_8b_npo_checkpoint-3,npo_output_2,npo_checkpoint-3,0.23433228964356023
2,ru,npo_checkpoint-3,icr_enesru_llama3_8b_npo_checkpoint-3,npo_output_2,npo_checkpoint-3,0.3333088387308094
2,de,npo_checkpoint-4,icr_enesru_llama3_8b_npo_checkpoint-4,npo_output_2,npo_checkpoint-4,0.19202877522924355
2,en,npo_checkpoint-4,icr_enesru_llama3_8b_npo_checkpoint-4,npo_output_2,npo_checkpoint-4,0.1929614551819806
2,es,npo_checkpoint-4,icr_enesru_llama3_8b_npo_checkpoint-4,npo_output_2,npo_checkpoint-4,0.19431052916833702
2,fr,npo_checkpoint-4,icr_enesru_llama3_8b_npo_checkpoint-4,npo_output_2,npo_checkpoint-4,0.16197705812397045
2,ru,npo_checkpoint-4,icr_enesru_llama3_8b_npo_checkpoint-4,npo_output_2,npo_checkpoint-4,0.20470612061250992
2,de,npo_checkpoint-5,icr_enesru_llama3_8b_npo_checkpoint-5,npo_output_2,npo_checkpoint-5,0.11773149995751486
2,en,npo_checkpoint-5,icr_enesru_llama3_8b_npo_checkpoint-5,npo_output_2,npo_checkpoint-5,0.19120333144128532
2,es,npo_checkpoint-5,icr_enesru_llama3_8b_npo_checkpoint-5,npo_output_2,npo_checkpoint-5,0.3424336220128763
2,fr,npo_checkpoint-5,mapo_enesru_llama3_8b_npo_checkpoint-5,npo_output_2,npo_checkpoint-5,0.2703989184695583
2,ru,npo_checkpoint-5,icr_enesru_llama3_8b_npo_checkpoint-5,npo_output_2,npo_checkpoint-5,0.23279795288711247
2,de,npo_checkpoint-10,icr_enesru_llama3_8b_npo_checkpoint-10,npo_output_2,npo_checkpoint-10,0.1438284124565744
2,en,npo_checkpoint-10,icr_enesru_llama3_8b_npo_checkpoint-10,npo_output_2,npo_checkpoint-10,0.1949652794772121
2,es,npo_checkpoint-10,icr_enesru_llama3_8b_npo_checkpoint-10,npo_output_2,npo_checkpoint-10,0.1931452411235769
2,fr,npo_checkpoint-10,icr_enesru_llama3_8b_npo_checkpoint-10,npo_output_2,npo_checkpoint-10,0.23257917399756112
2,ru,npo_checkpoint-10,icr_enesru_llama3_8b_npo_checkpoint-10,npo_output_2,npo_checkpoint-10,0.20325430603954997
2,de,npo_checkpoint-20,icr_enesru_llama3_8b_npo_checkpoint-20,npo_output_2,npo_checkpoint-20,0.145591979481844
2,en,npo_checkpoint-20,icr_enesru_llama3_8b_npo_checkpoint-20,npo_output_2,npo_checkpoint-20,0.1344774762484784
2,es,npo_checkpoint-20,icr_enesru_llama3_8b_npo_checkpoint-20,npo_output_2,npo_checkpoint-20,0.16892617754539585
2,fr,npo_checkpoint-20,icr_enesru_llama3_8b_npo_checkpoint-20,npo_output_2,npo_checkpoint-20,0.2625336233301371
2,ru,npo_checkpoint-20,icr_enesru_llama3_8b_npo_checkpoint-20,npo_output_2,npo_checkpoint-20,0.2862170192966579
2,de,npo_checkpoint-30,icr_enesru_llama3_8b_npo_checkpoint-30,npo_output_2,npo_checkpoint-30,0.6626767263712918
2,en,npo_checkpoint-30,icr_enesru_llama3_8b_npo_checkpoint-30,npo_output_2,npo_checkpoint-30,0.7413857851605197
2,es,npo_checkpoint-30,icr_enesru_llama3_8b_npo_checkpoint-30,npo_output_2,npo_checkpoint-30,0.27061865333337143
2,fr,npo_checkpoint-30,icr_enesru_llama3_8b_npo_checkpoint-30,npo_output_2,npo_checkpoint-30,0.666924312863285
2,ru,npo_checkpoint-30,icr_enesru_llama3_8b_npo_checkpoint-30,npo_output_2,npo_checkpoint-30,0.44417836812414313
2,de,baseline_sft_dpo,Llama-3-Base-8B-SFT-DPO,baseline_output,baseline_sft_dpo,0.13654886746357242
2,en,baseline_sft_dpo,Llama-3-Base-8B-SFT-DPO,baseline_output,baseline_sft_dpo,0.21382368693876652
2,es,baseline_sft_dpo,Llama-3-Base-8B-SFT-DPO,baseline_output,baseline_sft_dpo,0.11984122804723629
2,fr,baseline_sft_dpo,Llama-3-Base-8B-SFT-DPO,baseline_output,baseline_sft_dpo,0.18139278287007987
