model,de,en,es,fr,ru
baseline_sft_dpo,0.13654886746357242,0.21382368693876652,0.11984122804723629,0.18139278287007987,0.2938046421622562
npo_150426,0.31461878960858525,0.790032969564624,0.7513645432601783,0.41877278829504616,0.44772537674795865
npo_checkpoint-1,0.09621608363134104,0.16765235555139557,0.4077156883839943,0.16637839544765054,0.21130171423543853
npo_checkpoint-2,0.13111335515074596,0.15189588190890535,0.27676470948719345,0.16166055498624232,0.2195063567935892
npo_checkpoint-3,0.10148304923895024,0.14984534647911785,0.32077674322503125,0.23433228964356023,0.3333088387308094
npo_checkpoint-4,0.19202877522924355,0.1929614551819806,0.19431052916833702,0.16197705812397045,0.20470612061250992
npo_checkpoint-5,0.11773149995751486,0.19120333144128532,0.3424336220128763,0.2703989184695583,0.23279795288711247
npo_checkpoint-10,0.1438284124565744,0.1949652794772121,0.1931452411235769,0.23257917399756112,0.20325430603954997
npo_checkpoint-20,0.145591979481844,0.1344774762484784,0.16892617754539585,0.2625336233301371,0.2862170192966579
npo_checkpoint-30,0.6626767263712918,0.7413857851605197,0.27061865333337143,0.666924312863285,0.44417836812414313
