model_type       , lang, total_samples, correct_count, incorrect_count, no_responses
dpo              , de  ,           805,           790,              15,            0
dpo              , en  ,           805,           785,              20,            0
dpo              , es  ,           805,           797,               8,            0
dpo              , fr  ,           805,           798,               7,            0
dpo              , ru  ,           805,           798,               7,            0
npo              , de  ,           805,           778,              26,            1
npo              , en  ,           805,            15,             775,           15
npo              , es  ,           805,           787,              16,            2
npo              , fr  ,           805,           789,              15,            1
npo              , ru  ,           805,           780,              17,            8
npo_checkpoint-1 , de  ,           805,           600,             205,            0
npo_checkpoint-1 , en  ,           805,           803,               2,            0
npo_checkpoint-1 , es  ,           805,           597,             208,            0
npo_checkpoint-1 , fr  ,           805,           658,             147,            0
npo_checkpoint-1 , ru  ,           805,           571,             234,            0
npo_checkpoint-10, de  ,           805,           613,             192,            0
npo_checkpoint-10, en  ,           805,           800,               5,            0
npo_checkpoint-10, es  ,           805,           638,             167,            0
npo_checkpoint-10, fr  ,           805,           696,             109,            0
npo_checkpoint-10, ru  ,           805,           611,             194,            0
npo_checkpoint-2 , de  ,           805,           583,             222,            0
npo_checkpoint-2 , en  ,           805,           801,               4,            0
npo_checkpoint-2 , es  ,           805,           599,             206,            0
npo_checkpoint-2 , fr  ,           805,           674,             131,            0
npo_checkpoint-2 , ru  ,           805,           574,             231,            0
npo_checkpoint-20, de  ,           805,           794,              11,            0
npo_checkpoint-20, en  ,           805,           712,              93,            0
npo_checkpoint-20, es  ,           805,           799,               6,            0
npo_checkpoint-20, fr  ,           805,           803,               2,            0
npo_checkpoint-20, ru  ,           805,           797,               8,            0
npo_checkpoint-3 , de  ,           805,           593,             212,            0
npo_checkpoint-3 , en  ,           805,           800,               5,            0
npo_checkpoint-3 , es  ,           805,           598,             207,            0
npo_checkpoint-3 , fr  ,           805,           664,             141,            0
npo_checkpoint-3 , ru  ,           805,           577,             228,            0
npo_checkpoint-30, de  ,           805,           786,              19,            0
npo_checkpoint-30, en  ,           805,            25,             770,           10
npo_checkpoint-30, es  ,           805,           784,              21,            0
npo_checkpoint-30, fr  ,           805,           795,              10,            0
npo_checkpoint-30, ru  ,           805,           784,              10,           11
npo_checkpoint-4 , de  ,           805,           591,             214,            0
npo_checkpoint-4 , en  ,           805,           801,               4,            0
npo_checkpoint-4 , es  ,           805,           600,             205,            0
npo_checkpoint-4 , fr  ,           805,           659,             146,            0
npo_checkpoint-4 , ru  ,           805,           583,             222,            0
npo_checkpoint-5 , de  ,           805,           591,             214,            0
npo_checkpoint-5 , en  ,           805,           803,               2,            0
npo_checkpoint-5 , es  ,           805,           600,             205,            0
npo_checkpoint-5 , fr  ,           805,           662,             143,            0
npo_checkpoint-5 , ru  ,           805,           569,             236,            0
ppo              , de  ,           805,           670,             135,            0
ppo              , en  ,           805,           801,               4,            0
ppo              , es  ,           805,           668,             137,            0
ppo              , fr  ,           805,           730,              75,            0
ppo              , ru  ,           805,           644,             161,            0
sft              , de  ,           805,           673,             132,            0
sft              , en  ,           805,           802,               3,            0
sft              , es  ,           805,           698,             107,            0
sft              , fr  ,           805,           713,              92,            0
sft              , ru  ,           805,           689,             116,            0
w-reinforce      , de  ,           805,           786,              19,            0
w-reinforce      , en  ,           805,           796,               9,            0
w-reinforce      , es  ,           805,           793,              12,            0
w-reinforce      , fr  ,           805,           795,              10,            0
w-reinforce      , ru  ,           805,           796,               9,            0
