model_type       , lang, total_samples, correct_count, incorrect_count, no_responses
dpo              , de  ,           805,           613,             192,            0
dpo              , en  ,           805,           801,               4,            0
dpo              , es  ,           805,           632,             173,            0
dpo              , fr  ,           805,           683,             122,            0
dpo              , ru  ,           805,           597,             208,            0
npo              , de  ,           805,           789,              14,            2
npo              , en  ,           805,           577,             226,            2
npo              , es  ,           805,           781,              22,            2
npo              , fr  ,           805,           785,              14,            6
npo              , ru  ,           805,           730,              13,           62
npo_checkpoint-1 , de  ,           805,           588,             217,            0
npo_checkpoint-1 , en  ,           805,           804,               1,            0
npo_checkpoint-1 , es  ,           805,           591,             214,            0
npo_checkpoint-1 , fr  ,           805,           667,             138,            0
npo_checkpoint-1 , ru  ,           805,           581,             224,            0
npo_checkpoint-10, de  ,           805,           598,             207,            0
npo_checkpoint-10, en  ,           805,           804,               1,            0
npo_checkpoint-10, es  ,           805,           609,             196,            0
npo_checkpoint-10, fr  ,           805,           678,             127,            0
npo_checkpoint-10, ru  ,           805,           583,             222,            0
npo_checkpoint-2 , de  ,           805,           584,             221,            0
npo_checkpoint-2 , en  ,           805,           799,               6,            0
npo_checkpoint-2 , es  ,           805,           591,             214,            0
npo_checkpoint-2 , fr  ,           805,           670,             135,            0
npo_checkpoint-2 , ru  ,           805,           575,             230,            0
npo_checkpoint-20, de  ,           805,           736,              69,            0
npo_checkpoint-20, en  ,           805,           798,               7,            0
npo_checkpoint-20, es  ,           805,           764,              41,            0
npo_checkpoint-20, fr  ,           805,           769,              36,            0
npo_checkpoint-20, ru  ,           805,           763,              42,            0
npo_checkpoint-3 , de  ,           805,           585,             220,            0
npo_checkpoint-3 , en  ,           805,           800,               5,            0
npo_checkpoint-3 , es  ,           805,           601,             204,            0
npo_checkpoint-3 , fr  ,           805,           663,             142,            0
npo_checkpoint-3 , ru  ,           805,           575,             230,            0
npo_checkpoint-30, de  ,           805,           786,              16,            3
npo_checkpoint-30, en  ,           805,           658,             146,            1
npo_checkpoint-30, es  ,           805,           791,              13,            1
npo_checkpoint-30, fr  ,           805,           797,               6,            2
npo_checkpoint-30, ru  ,           805,           767,               9,           29
npo_checkpoint-4 , de  ,           805,           581,             224,            0
npo_checkpoint-4 , en  ,           805,           804,               1,            0
npo_checkpoint-4 , es  ,           805,           600,             205,            0
npo_checkpoint-4 , fr  ,           805,           668,             137,            0
npo_checkpoint-4 , ru  ,           805,           578,             227,            0
npo_checkpoint-5 , de  ,           805,           586,             219,            0
npo_checkpoint-5 , en  ,           805,           802,               3,            0
npo_checkpoint-5 , es  ,           805,           599,             206,            0
npo_checkpoint-5 , fr  ,           805,           664,             141,            0
npo_checkpoint-5 , ru  ,           805,           568,             237,            0
ppo              , de  ,           805,           595,             210,            0
ppo              , en  ,           805,           801,               4,            0
ppo              , es  ,           805,           606,             199,            0
ppo              , fr  ,           805,           677,             128,            0
ppo              , ru  ,           805,           551,             254,            0
sft              , de  ,           805,           608,             197,            0
sft              , en  ,           805,           802,               3,            0
sft              , es  ,           805,           642,             163,            0
sft              , fr  ,           805,           675,             130,            0
sft              , ru  ,           805,           623,             182,            0
w-reinforce      , de  ,           805,           600,             205,            0
w-reinforce      , en  ,           805,           800,               5,            0
w-reinforce      , es  ,           805,           613,             192,            0
w-reinforce      , fr  ,           805,           675,             130,            0
w-reinforce      , ru  ,           805,           583,             222,            0
