method,model,language,win_rate,lc_winrate,winrate_improvement,lc_winrate_improvement
icr,w-reinforce,es,20.9938,20.5272,4.7838,5.1972
icr,w-reinforce,ru,25.2795,22.3218,5.9595,7.5518
icr,w-reinforce,en,21.7391,21.9642,-0.8709,-1.8358
icr,w-reinforce,fr,21.5528,19.6018,2.6728,3.2118
icr,w-reinforce,de,20.1242,17.4338,4.8442,4.5739
icr,dpo,es,18.0745,19.1987,1.8645,3.8687
icr,dpo,ru,20.9938,18.0689,1.6738,3.2989
icr,dpo,en,17.2671,18.8742,-5.3429,-4.9258
icr,dpo,fr,17.6397,17.5662,-1.2402,1.1762
icr,dpo,de,17.6398,17.5659,2.3598,4.7059
icr,ppo,es,15.0932,14.4801,-1.1168,-0.8499
icr,ppo,ru,18.2609,13.9944,-1.0591,-0.7756
icr,ppo,en,19.8758,20.1535,-2.7342,-3.6465
icr,ppo,fr,16.4596,14.9262,-2.4204,-1.4638
icr,ppo,de,15.9627,14.3216,0.6827,1.4616
icr,sft,es,13.3540,11.4624,-2.8560,-3.8676
icr,sft,ru,15.4037,12.3085,-3.9163,-2.4615
icr,sft,en,16.9565,17.0956,-5.6535,-6.7044
icr,sft,fr,14.2857,11.9701,-4.5943,-4.4199
icr,sft,de,13.9130,11.6555,-1.3670,-1.2044
icr,npo,es,0.0000,0.0000,-16.2100,-15.3300
icr,npo,ru,0.0000,0.0000,-19.3200,-14.7700
icr,npo,en,0.0000,0.0000,-22.6100,-23.8000
icr,npo,fr,0.1200,0.0600,-18.7600,-16.3300
icr,npo,de,0.0000,0.0000,-15.2800,-12.8600
icr,npo_checkpoint_best,es,18.3851,16.3852,2.1751,1.0552
icr,npo_checkpoint_best,ru,19.5652,14.2982,0.2452,-0.4718
icr,npo_checkpoint_best,en,21.9255,21.4345,-0.6845,-2.3655
icr,npo_checkpoint_best,fr,21.6770,18.3409,2.7970,1.9509
icr,npo_checkpoint_best,de,16.2112,14.0334,0.9312,1.1734
