method,model,language,win_rate,lc_winrate,winrate_improvement,lc_winrate_improvement
lacomsa,w-reinforce_0.1,es,18.4472,17.9964,2.2372,2.6664
lacomsa,w-reinforce_0.1,ru,18.0745,14.5473,-1.2455,-0.2227
lacomsa,w-reinforce_0.1,en,19.9379,22.1886,-2.6721,-1.6114
lacomsa,w-reinforce_0.1,fr,19.0062,19.0546,0.1262,2.6646
lacomsa,w-reinforce_0.1,de,17.2050,15.8581,1.9250,2.9981
lacomsa,w-reinforce_10,es,15.6522,13.2271,-0.5578,-2.1029
lacomsa,w-reinforce_10,ru,18.3230,12.7636,-0.9970,-2.0064
lacomsa,w-reinforce_10,en,22.1118,21.1947,-0.4982,-2.6053
lacomsa,w-reinforce_10,fr,18.0745,14.5575,-0.8055,-1.8325
lacomsa,w-reinforce_10,de,16.2112,12.6317,0.9312,-0.2283
lacomsa,w-reinforce,es,16.6460,14.5718,0.4360,-0.7582
lacomsa,w-reinforce,ru,18.6957,13.2920,-0.6243,-1.4780
lacomsa,w-reinforce,en,20.3727,20.1104,-2.2373,-3.6896
lacomsa,w-reinforce,fr,20.2484,16.4848,1.3684,0.0948
lacomsa,w-reinforce,de,17.2671,15.0371,1.9871,2.1771
lacomsa,dpo,es,18.1988,16.5772,1.9888,1.2472
lacomsa,dpo,ru,20.4348,15.0122,1.1148,0.2422
lacomsa,dpo,en,21.1801,21.2756,-1.4299,-2.5244
lacomsa,dpo,fr,17.0186,14.5182,-1.8614,-1.8718
lacomsa,dpo,de,16.3354,14.1691,1.0554,1.3091
lacomsa,ppo,es,16.0870,13.8147,-0.1230,-1.5153
lacomsa,ppo,ru,18.1988,13.7821,-1.1212,-0.9879
lacomsa,ppo,en,20.0000,19.3658,-2.6100,-4.4342
lacomsa,ppo,fr,18.4472,15.5942,-0.4328,-0.7958
lacomsa,ppo,de,15.7764,13.5720,0.4964,0.7120
lacomsa,sft,es,18.2609,16.7569,2.0509,1.4269
lacomsa,sft,ru,20.2484,16.0966,0.9284,1.3266
lacomsa,sft,en,18.1988,18.0594,-4.4112,-5.7406
lacomsa,sft,fr,17.3292,15.4804,-1.5508,-0.9096
lacomsa,sft,de,17.9503,15.5539,2.6703,2.6939
lacomsa,npo,es,0.5590,0.3058,-15.6510,-15.0242
lacomsa,npo,ru,0.0000,0.0002,-19.3200,-14.7698
lacomsa,npo,en,0.2484,0.1276,-22.3616,-23.6724
lacomsa,npo,fr,0.6211,0.3506,-18.2589,-16.0394
lacomsa,npo,de,0.2484,0.1126,-15.0316,-12.7474
lacomsa,npo_checkpoint_best,es,14.9068,13.5777,-1.3032,-1.7523
lacomsa,npo_checkpoint_best,ru,18.5093,13.0546,-0.8107,-1.7154
lacomsa,npo_checkpoint_best,en,21.6770,22.2494,-0.9330,-1.5506
lacomsa,npo_checkpoint_best,fr,20.7453,18.8711,1.8653,2.4811
lacomsa,npo_checkpoint_best,de,14.9068,12.7623,-0.3732,-0.0977
