method,model,language,win_rate,lc_winrate,winrate_improvement,lc_winrate_improvement
mapo,w-reinforce,es,17.0807,16.7485,0.8707,1.4185
mapo,w-reinforce,ru,18.7578,13.7210,-0.5622,-1.0490
mapo,w-reinforce,en,20.0000,20.6630,-2.6100,-3.1370
mapo,w-reinforce,fr,17.3292,14.3913,-1.5508,-1.9987
mapo,w-reinforce,de,17.8261,16.9089,2.5461,4.0489
mapo,dpo,es,15.8385,14.7778,-0.3715,-0.5522
mapo,dpo,ru,19.6894,15.1534,0.3694,0.3834
mapo,dpo,en,20.8075,21.8063,-1.8025,-1.9937
mapo,dpo,fr,18.3230,16.1912,-0.5570,-0.1988
mapo,dpo,de,17.4534,15.4582,2.1734,2.5982
mapo,ppo,es,10.4348,14.6249,-5.7752,-0.7051
mapo,ppo,ru,9.7516,10.4796,-9.5684,-4.2904
mapo,ppo,en,10.4969,14.1707,-12.1131,-9.6293
mapo,ppo,fr,11.4286,14.7462,-7.4514,-1.6438
mapo,ppo,de,11.6149,14.6679,-3.6651,1.8079
mapo,sft,es,8.9441,13.4347,-7.2659,-1.8953
mapo,sft,ru,7.5155,9.0475,-11.8045,-5.7225
mapo,sft,en,7.0807,12.2420,-15.5293,-11.5580
mapo,sft,fr,9.0062,12.5083,-9.8738,-3.8817
mapo,sft,de,7.3292,10.6228,-7.9508,-2.2372
mapo,npo,es,1.3665,0.3421,-14.8435,-14.9879
mapo,npo,ru,1.1180,0.2869,-18.2020,-14.4831
mapo,npo,en,13.4161,5.8716,-9.1939,-17.9284
mapo,npo,fr,1.8634,0.5623,-17.0166,-15.8277
mapo,npo,de,2.4845,0.6499,-12.7955,-12.2101
mapo,npo_checkpoint_best,es,15.5901,14.3043,-0.6199,-1.0257
mapo,npo_checkpoint_best,ru,18.7578,13.0988,-0.5622,-1.6712
mapo,npo_checkpoint_best,en,21.3665,21.7050,-1.2435,-2.0950
mapo,npo_checkpoint_best,fr,19.4410,16.6888,0.5610,0.2988
mapo,npo_checkpoint_best,de,14.9068,13.1714,-0.3732,0.3114
