folder                                                  , lang_prefix, model_type       , version, total_samples, mislang_count, mislang_pct, avg_length, top1_lang, top1_count, top1_pct, top2_lang, top2_count, top2_pct, top3_lang, top3_count, top3_pct, others_count, others_pct
de-results-lacomsa_enesru_llama3_8b_npo_checkpoint-10_v0, de         , npo_checkpoint-10, v0     ,           805,           207,       25.71,    1737.31, en       ,        201,    97.10, fr       ,          2,     0.97, zh       ,          1,     0.48,            3,       1.45
de-results-lacomsa_enesru_llama3_8b_npo_checkpoint-1_v0 , de         , npo_checkpoint-1 , v0     ,           805,           217,       26.96,    1746.79, en       ,        209,    96.31, fr       ,          2,     0.92, zh       ,          2,     0.92,            4,       1.84
de-results-lacomsa_enesru_llama3_8b_npo_checkpoint-20_v0, de         , npo_checkpoint-20, v0     ,           805,            69,        8.57,    1683.51, en       ,         62,    89.86, es       ,          2,     2.90, pt       ,          1,     1.45,            4,       5.80
de-results-lacomsa_enesru_llama3_8b_npo_checkpoint-2_v0 , de         , npo_checkpoint-2 , v0     ,           805,           221,       27.45,    1731.73, en       ,        213,    96.38, fr       ,          2,     0.90, zh       ,          2,     0.90,            4,       1.81
de-results-lacomsa_enesru_llama3_8b_npo_checkpoint-30_v0, de         , npo_checkpoint-30, v0     ,           802,            16,        2.00,    3800.25, en       ,          9,    56.25, ru       ,          3,    18.75, fr       ,          2,    12.50,            2,      12.50
de-results-lacomsa_enesru_llama3_8b_npo_checkpoint-3_v0 , de         , npo_checkpoint-3 , v0     ,           805,           220,       27.33,    1703.71, en       ,        210,    95.45, fr       ,          3,     1.36, es       ,          1,     0.45,            6,       2.73
de-results-lacomsa_enesru_llama3_8b_npo_checkpoint-4_v0 , de         , npo_checkpoint-4 , v0     ,           805,           224,       27.83,    1799.46, en       ,        219,    97.77, fr       ,          2,     0.89, zh       ,          2,     0.89,            1,       0.45
de-results-lacomsa_enesru_llama3_8b_npo_checkpoint-5_v0 , de         , npo_checkpoint-5 , v0     ,           805,           219,       27.20,    1717.33, en       ,        214,    97.72, fr       ,          3,     1.37, es       ,          1,     0.46,            1,       0.46
de-results-lacomsa_enesru_llama3_8b_npo_v0              , de         , npo              , v0     ,           803,            14,        1.74,    5254.88, ru       ,          4,    28.57, en       ,          2,    14.29, fr       ,          1,     7.14,            7,      50.00
en-results-lacomsa_enesru_llama3_8b_npo_checkpoint-10_v0, en         , npo_checkpoint-10, v0     ,           805,             1,        0.12,    1647.09, fr       ,          1,   100.00,          ,           ,         ,          ,           ,         ,            0,       0.00
en-results-lacomsa_enesru_llama3_8b_npo_checkpoint-1_v0 , en         , npo_checkpoint-1 , v0     ,           805,             1,        0.12,    1640.07, fr       ,          1,   100.00,          ,           ,         ,          ,           ,         ,            0,       0.00
en-results-lacomsa_enesru_llama3_8b_npo_checkpoint-20_v0, en         , npo_checkpoint-20, v0     ,           805,             7,        0.87,    1584.99, fr       ,          3,    42.86, fi       ,          1,    14.29, cs       ,          1,    14.29,            2,      28.57
en-results-lacomsa_enesru_llama3_8b_npo_checkpoint-2_v0 , en         , npo_checkpoint-2 , v0     ,           805,             6,        0.75,    1666.93, de       ,          2,    33.33, sl       ,          1,    16.67, da       ,          1,    16.67,            2,      33.33
en-results-lacomsa_enesru_llama3_8b_npo_checkpoint-30_v0, en         , npo_checkpoint-30, v0     ,           804,           146,       18.16,    3306.52, fr       ,         40,    27.40, ru       ,         29,    19.86, de       ,         21,    14.38,           56,      38.36
en-results-lacomsa_enesru_llama3_8b_npo_checkpoint-3_v0 , en         , npo_checkpoint-3 , v0     ,           805,             5,        0.62,    1678.93, de       ,          2,    40.00, sl       ,          1,    20.00, es       ,          1,    20.00,            1,      20.00
en-results-lacomsa_enesru_llama3_8b_npo_checkpoint-4_v0 , en         , npo_checkpoint-4 , v0     ,           805,             1,        0.12,    1630.80, fr       ,          1,   100.00,          ,           ,         ,          ,           ,         ,            0,       0.00
en-results-lacomsa_enesru_llama3_8b_npo_checkpoint-5_v0 , en         , npo_checkpoint-5 , v0     ,           805,             3,        0.37,    1644.95, is       ,          1,    33.33, de       ,          1,    33.33, fr       ,          1,    33.33,            0,       0.00
en-results-lacomsa_enesru_llama3_8b_npo_v0              , en         , npo              , v0     ,           803,           226,       28.14,    4808.28, fr       ,         48,    21.24, ru       ,         47,    20.80, zh       ,         29,    12.83,          102,      45.13
es-results-lacomsa_enesru_llama3_8b_npo_checkpoint-10_v1, es         , npo_checkpoint-10, v1     ,           805,           196,       24.35,    1630.48, en       ,        189,    96.43, de       ,          2,     1.02, pt       ,          2,     1.02,            3,       1.53
es-results-lacomsa_enesru_llama3_8b_npo_checkpoint-1_v1 , es         , npo_checkpoint-1 , v1     ,           805,           214,       26.58,    1644.51, en       ,        211,    98.60, fr       ,          2,     0.93, da       ,          1,     0.47,            0,       0.00
es-results-lacomsa_enesru_llama3_8b_npo_checkpoint-20_v1, es         , npo_checkpoint-20, v1     ,           805,            41,        5.09,    1627.97, en       ,         38,    92.68, fr       ,          3,     7.32,          ,           ,         ,            0,       0.00
es-results-lacomsa_enesru_llama3_8b_npo_checkpoint-2_v1 , es         , npo_checkpoint-2 , v1     ,           805,           214,       26.58,    1689.24, en       ,        210,    98.13, fr       ,          2,     0.93, it       ,          1,     0.47,            1,       0.47
es-results-lacomsa_enesru_llama3_8b_npo_checkpoint-30_v1, es         , npo_checkpoint-30, v1     ,           804,            13,        1.62,    2928.26, en       ,          7,    53.85, ru       ,          3,    23.08, fr       ,          1,     7.69,            2,      15.38
es-results-lacomsa_enesru_llama3_8b_npo_checkpoint-3_v1 , es         , npo_checkpoint-3 , v1     ,           805,           204,       25.34,    1633.46, en       ,        202,    99.02, fr       ,          1,     0.49, de       ,          1,     0.49,            0,       0.00
es-results-lacomsa_enesru_llama3_8b_npo_checkpoint-4_v1 , es         , npo_checkpoint-4 , v1     ,           805,           205,       25.47,    1632.73, en       ,        204,    99.51, fr       ,          1,     0.49,          ,           ,         ,            0,       0.00
es-results-lacomsa_enesru_llama3_8b_npo_checkpoint-5_v1 , es         , npo_checkpoint-5 , v1     ,           805,           206,       25.59,    1631.62, en       ,        202,    98.06, fr       ,          3,     1.46, is       ,          1,     0.49,            0,       0.00
es-results-lacomsa_enesru_llama3_8b_npo_v1              , es         , npo              , v1     ,           803,            22,        2.74,    4079.14, en       ,          6,    27.27, ru       ,          6,    27.27, fr       ,          4,    18.18,            6,      27.27
fr-results-lacomsa_enesru_llama3_8b_npo_checkpoint-10_v0, fr         , npo_checkpoint-10, v0     ,           805,           127,       15.78,    1680.43, en       ,        125,    98.43, fi       ,          1,     0.79, de       ,          1,     0.79,            0,       0.00
fr-results-lacomsa_enesru_llama3_8b_npo_checkpoint-1_v0 , fr         , npo_checkpoint-1 , v0     ,           805,           138,       17.14,    1741.28, en       ,        136,    98.55, is       ,          1,     0.72, de       ,          1,     0.72,            0,       0.00
fr-results-lacomsa_enesru_llama3_8b_npo_checkpoint-20_v0, fr         , npo_checkpoint-20, v0     ,           805,            36,        4.47,    1662.22, en       ,         31,    86.11, fi       ,          1,     2.78, zh       ,          1,     2.78,            3,       8.33
fr-results-lacomsa_enesru_llama3_8b_npo_checkpoint-2_v0 , fr         , npo_checkpoint-2 , v0     ,           805,           135,       16.77,    1724.69, en       ,        134,    99.26, is       ,          1,     0.74,          ,           ,         ,            0,       0.00
fr-results-lacomsa_enesru_llama3_8b_npo_checkpoint-30_v0, fr         , npo_checkpoint-30, v0     ,           803,             6,        0.75,    3167.05, en       ,          5,    83.33, zh       ,          1,    16.67,          ,           ,         ,            0,       0.00
fr-results-lacomsa_enesru_llama3_8b_npo_checkpoint-3_v0 , fr         , npo_checkpoint-3 , v0     ,           805,           142,       17.64,    1781.97, en       ,        139,    97.89, ar       ,          1,     0.70, ceb      ,          1,     0.70,            1,       0.70
fr-results-lacomsa_enesru_llama3_8b_npo_checkpoint-4_v0 , fr         , npo_checkpoint-4 , v0     ,           805,           137,       17.02,    1743.95, en       ,        135,    98.54, is       ,          1,     0.73, de       ,          1,     0.73,            0,       0.00
fr-results-lacomsa_enesru_llama3_8b_npo_checkpoint-5_v0 , fr         , npo_checkpoint-5 , v0     ,           805,           141,       17.52,    1758.07, en       ,        138,    97.87, is       ,          1,     0.71, zh       ,          1,     0.71,            1,       0.71
fr-results-lacomsa_enesru_llama3_8b_npo_v0              , fr         , npo              , v0     ,           799,            14,        1.75,    4080.67, en       ,          5,    35.71, de       ,          2,    14.29, ru       ,          2,    14.29,            5,      35.71
ru-results-lacomsa_enesru_llama3_8b_npo_checkpoint-10_v2, ru         , npo_checkpoint-10, v2     ,           805,           222,       27.58,    1599.71, en       ,        215,    96.85, fr       ,          3,     1.35, es       ,          1,     0.45,            3,       1.35
