folder                                               , lang_prefix, model_type       , version, total_samples, mislang_count, mislang_pct, avg_length, top1_lang, top1_count, top1_pct, top2_lang, top2_count, top2_pct, top3_lang, top3_count, top3_pct, others_count, others_pct
de-results-mapo_enesru_llama3_8b_npo_checkpoint-10_v0, de         , npo_checkpoint-10, v0     ,           805,           269,       33.42,    1784.06, en       ,        263,    97.77, fr       ,          2,     0.74, zh       ,          2,     0.74,            2,       0.74
de-results-mapo_enesru_llama3_8b_npo_checkpoint-1_v0 , de         , npo_checkpoint-1 , v0     ,           805,           217,       26.96,    1746.79, en       ,        209,    96.31, fr       ,          2,     0.92, zh       ,          2,     0.92,            4,       1.84
de-results-mapo_enesru_llama3_8b_npo_checkpoint-20_v0, de         , npo_checkpoint-20, v0     ,           805,           804,       99.88,    3065.42, en       ,        802,    99.75, fr       ,          1,     0.12, zh       ,          1,     0.12,            0,       0.00
de-results-mapo_enesru_llama3_8b_npo_checkpoint-2_v0 , de         , npo_checkpoint-2 , v0     ,           805,           220,       27.33,    1698.92, en       ,        215,    97.73, fr       ,          2,     0.91, es       ,          1,     0.45,            2,       0.91
de-results-mapo_enesru_llama3_8b_npo_checkpoint-30_v0, de         , npo_checkpoint-30, v0     ,           805,           804,       99.88,    4357.79, en       ,        802,    99.75, gl       ,          1,     0.12, fr       ,          1,     0.12,            0,       0.00
de-results-mapo_enesru_llama3_8b_npo_checkpoint-3_v0 , de         , npo_checkpoint-3 , v0     ,           805,           209,       25.96,    1712.33, en       ,        203,    97.13, fr       ,          2,     0.96, es       ,          1,     0.48,            3,       1.44
de-results-mapo_enesru_llama3_8b_npo_checkpoint-4_v0 , de         , npo_checkpoint-4 , v0     ,           805,           227,       28.20,    1728.41, en       ,        218,    96.04, fr       ,          4,     1.76, zh       ,          2,     0.88,            3,       1.32
de-results-mapo_enesru_llama3_8b_npo_checkpoint-5_v0 , de         , npo_checkpoint-5 , v0     ,           805,           222,       27.58,    1715.81, en       ,        217,    97.75, fr       ,          2,     0.90, es       ,          1,     0.45,            2,       0.90
de-results-mapo_enesru_llama3_8b_npo_v0              , de         , npo              , v0     ,           805,           805,      100.00,    4591.58, en       ,        804,    99.88, fr       ,          1,     0.12,          ,           ,         ,            0,       0.00
en-results-mapo_enesru_llama3_8b_npo_checkpoint-10_v0, en         , npo_checkpoint-10, v0     ,           805,             3,        0.37,    1746.10, de       ,          1,    33.33, da       ,          1,    33.33, fr       ,          1,    33.33,            0,       0.00
