method, model_type       , expected_lang, de , fr , en , es , ru , others
icr   , dpo              , de           , 790,   1,  10,   1,   0,      3
icr   , npo              , de           , 778,   2,   1,   2,  11,     10
icr   , npo_checkpoint-10, de           , 613,   2, 184,   2,   0,      4
icr   , npo_checkpoint-1 , de           , 600,   1, 200,   1,   0,      3
icr   , npo_checkpoint-20, de           , 794,   2,   6,   1,   1,      1
icr   , npo_checkpoint-2 , de           , 583,   3, 215,   1,   0,      3
icr   , npo_checkpoint-30, de           , 786,   1,   1,   1,   5,     11
icr   , npo_checkpoint-3 , de           , 593,   2, 207,   1,   0,      2
icr   , npo_checkpoint-4 , de           , 591,   3, 207,   0,   0,      4
icr   , npo_checkpoint-5 , de           , 591,   2, 208,   1,   0,      3
icr   , ppo              , de           , 670,   2, 130,   0,   0,      3
icr   , sft              , de           , 673,   2, 129,   1,   0,      0
icr   , w-reinforce      , de           , 786,   1,  16,   0,   0,      2
icr   , dpo              , en           ,   2,   5, 785,  10,   1,      2
icr   , npo              , en           ,  52,  91,  15,  47, 269,    316
icr   , npo_checkpoint-10, en           ,   1,   2, 800,   1,   0,      1
icr   , npo_checkpoint-1 , en           ,   1,   1, 803,   0,   0,      0
icr   , npo_checkpoint-20, en           ,   3,  20, 712,  42,   3,     25
icr   , npo_checkpoint-2 , en           ,   0,   2, 801,   0,   0,      2
icr   , npo_checkpoint-30, en           ,  41, 116,  25,  74, 229,    310
icr   , npo_checkpoint-3 , en           ,   1,   1, 800,   1,   0,      2
icr   , npo_checkpoint-4 , en           ,   2,   1, 801,   0,   0,      1
icr   , npo_checkpoint-5 , en           ,   0,   1, 803,   0,   0,      1
icr   , ppo              , en           ,   0,   1, 801,   0,   0,      3
icr   , sft              , en           ,   2,   1, 802,   0,   0,      0
icr   , w-reinforce      , en           ,   2,   3, 796,   2,   0,      2
icr   , dpo              , es           ,   0,   1,   2, 797,   0,      5
icr   , npo              , es           ,   0,   3,   0, 787,   8,      5
icr   , npo_checkpoint-10, es           ,   0,   1, 166, 638,   0,      0
icr   , npo_checkpoint-1 , es           ,   1,   2, 203, 597,   0,      2
icr   , npo_checkpoint-20, es           ,   0,   2,   3, 799,   0,      1
icr   , npo_checkpoint-2 , es           ,   1,   1, 203, 599,   0,      1
icr   , npo_checkpoint-30, es           ,   1,   4,   0, 784,   7,      9
icr   , npo_checkpoint-3 , es           ,   1,   1, 203, 598,   0,      2
icr   , npo_checkpoint-4 , es           ,   1,   2, 200, 600,   0,      2
icr   , npo_checkpoint-5 , es           ,   1,   2, 200, 600,   0,      2
icr   , ppo              , es           ,   2,   2, 131, 668,   0,      2
icr   , sft              , es           ,   2,   2, 100, 698,   0,      3
icr   , w-reinforce      , es           ,   0,   1,   9, 793,   0,      2
icr   , dpo              , fr           ,   2, 798,   4,   1,   0,      0
icr   , npo              , fr           ,   2, 789,   1,   1,   4,      7
icr   , npo_checkpoint-10, fr           ,   1, 696, 108,   0,   0,      0
icr   , npo_checkpoint-1 , fr           ,   2, 658, 143,   1,   0,      1
icr   , npo_checkpoint-20, fr           ,   0, 803,   1,   0,   1,      0
icr   , npo_checkpoint-2 , fr           ,   2, 674, 127,   0,   0,      2
icr   , npo_checkpoint-30, fr           ,   2, 795,   1,   1,   3,      3
icr   , npo_checkpoint-3 , fr           ,   1, 664, 139,   0,   0,      1
icr   , npo_checkpoint-4 , fr           ,   3, 659, 142,   0,   0,      1
icr   , npo_checkpoint-5 , fr           ,   2, 662, 139,   1,   0,      1
icr   , ppo              , fr           ,   1, 730,  72,   1,   0,      1
icr   , sft              , fr           ,   2, 713,  83,   4,   1,      2
icr   , w-reinforce      , fr           ,   1, 795,   8,   0,   0,      1
icr   , dpo              , ru           ,   0,   1,   4,   1, 798,      1
icr   , npo              , ru           ,   0,   0,   0,   0, 780,     17
icr   , npo_checkpoint-10, ru           ,   0,   2, 187,   1, 611,      4
icr   , npo_checkpoint-1 , ru           ,   0,   2, 229,   1, 571,      2
icr   , npo_checkpoint-20, ru           ,   1,   1,   4,   1, 797,      1
icr   , npo_checkpoint-2 , ru           ,   0,   2, 224,   1, 574,      4
icr   , npo_checkpoint-30, ru           ,   0,   1,   0,   0, 784,      9
icr   , npo_checkpoint-3 , ru           ,   1,   2, 221,   1, 577,      3
icr   , npo_checkpoint-4 , ru           ,   1,   3, 216,   1, 583,      1
icr   , npo_checkpoint-5 , ru           ,   0,   3, 230,   1, 569,      2
icr   , ppo              , ru           ,   1,   3, 154,   1, 644,      2
icr   , sft              , ru           ,   0,   1, 115,   0, 689,      0
icr   , w-reinforce      , ru           ,   0,   1,   6,   0, 796,      2
