method, model_type          , expected_lang, de , fr , en , es , ru , others
mapo  , dpo_250426          , de           , 661,   3, 138,   1,   0,      2
mapo  , dpo                 , de           , 645,   1, 157,   0,   0,      2
mapo  , npo_checkpoint-10   , de           , 536,   2, 263,   1,   0,      3
mapo  , npo_checkpoint-1    , de           , 588,   2, 209,   1,   0,      5
mapo  , npo_checkpoint-20   , de           ,   1,   1, 802,   0,   0,      1
mapo  , npo_checkpoint-2    , de           , 585,   2, 215,   1,   0,      2
mapo  , npo_checkpoint-30   , de           ,   1,   1, 802,   0,   0,      1
mapo  , npo_checkpoint-3    , de           , 596,   2, 203,   1,   0,      3
mapo  , npo_checkpoint-4    , de           , 578,   4, 218,   0,   0,      5
mapo  , npo_checkpoint-5    , de           , 583,   2, 217,   1,   0,      2
mapo  , npo                 , de           ,   0,   1, 804,   0,   0,      0
mapo  , ppo                 , de           , 779,   1,  22,   0,   0,      3
mapo  , sft                 , de           , 785,   1,  18,   0,   1,      0
mapo  , w-reinforce_0.1_1.0 , de           , 365,   2, 438,   0,   0,      0
mapo  , w-reinforce_10.0_1.0, de           , 730,   2,  70,   1,   0,      2
mapo  , w-reinforce         , de           , 645,   1, 157,   0,   0,      2
mapo  , dpo_250426          , en           ,   2,   1, 802,   0,   0,      0
mapo  , dpo                 , en           ,   0,   1, 803,   0,   0,      1
mapo  , npo_checkpoint-10   , en           ,   1,   1, 802,   0,   0,      1
mapo  , npo_checkpoint-1    , en           ,   0,   1, 804,   0,   0,      0
mapo  , npo_checkpoint-20   , en           ,   1,   1, 803,   0,   0,      0
mapo  , npo_checkpoint-2    , en           ,   2,   1, 801,   0,   0,      1
mapo  , npo_checkpoint-30   , en           ,   0,   1, 804,   0,   0,      0
mapo  , npo_checkpoint-3    , en           ,   0,   1, 803,   1,   0,      0
mapo  , npo_checkpoint-4    , en           ,   3,   2, 799,   1,   0,      0
mapo  , npo_checkpoint-5    , en           ,   2,   2, 801,   0,   0,      0
mapo  , npo                 , en           ,   0,   1, 802,   0,   0,      2
mapo  , ppo                 , en           ,   0,   3, 797,   1,   0,      4
mapo  , sft                 , en           ,   4,   4, 791,   2,   0,      4
mapo  , w-reinforce_0.1_1.0 , en           ,   1,   1, 802,   1,   0,      0
mapo  , w-reinforce_10.0_1.0, en           ,   0,   1, 801,   0,   0,      3
mapo  , w-reinforce         , en           ,   0,   1, 803,   0,   0,      1
mapo  , dpo_250426          , es           ,   0,   2, 120, 683,   0,      0
mapo  , dpo                 , es           ,   1,   1, 143, 658,   0,      2
mapo  , npo_checkpoint-10   , es           ,   1,   1, 260, 543,   0,      0
mapo  , npo_checkpoint-1    , es           ,   0,   2, 211, 591,   0,      1
mapo  , npo_checkpoint-20   , es           ,   0,   1, 804,   0,   0,      0
mapo  , npo_checkpoint-2    , es           ,   0,   2, 209, 593,   0,      1
mapo  , npo_checkpoint-30   , es           ,   0,   1, 804,   0,   0,      0
mapo  , npo_checkpoint-3    , es           ,   1,   1, 205, 597,   0,      1
mapo  , npo_checkpoint-4    , es           ,   1,   2, 207, 592,   0,      3
mapo  , npo_checkpoint-5    , es           ,   0,   2, 202, 599,   0,      2
mapo  , npo                 , es           ,   0,   1, 804,   0,   0,      0
mapo  , ppo                 , es           ,   1,   2,  19, 780,   0,      3
mapo  , sft                 , es           ,   1,   3,  16, 780,   0,      5
mapo  , w-reinforce_0.1_1.0 , es           ,   0,   1, 459, 343,   1,      1
mapo  , w-reinforce_10.0_1.0, es           ,   0,   2,  45, 758,   0,      0
mapo  , w-reinforce         , es           ,   1,   1, 143, 658,   0,      2
mapo  , dpo_250426          , fr           ,   1, 713,  91,   0,   0,      0
mapo  , dpo                 , fr           ,   0, 707,  96,   1,   0,      1
mapo  , npo_checkpoint-10   , fr           ,   1, 620, 181,   1,   0,      2
mapo  , npo_checkpoint-1    , fr           ,   1, 667, 136,   0,   0,      1
mapo  , npo_checkpoint-20   , fr           ,   1,   1, 803,   0,   0,      0
mapo  , npo_checkpoint-2    , fr           ,   1, 669, 134,   1,   0,      0
mapo  , npo_checkpoint-30   , fr           ,   0,   1, 804,   0,   0,      0
mapo  , npo_checkpoint-3    , fr           ,   1, 665, 136,   1,   0,      2
mapo  , npo_checkpoint-4    , fr           ,   1, 667, 134,   0,   0,      3
mapo  , npo_checkpoint-5    , fr           ,   1, 665, 139,   0,   0,      0
mapo  , npo                 , fr           ,   0,   1, 804,   0,   0,      0
mapo  , ppo                 , fr           ,   1, 783,  20,   0,   0,      1
mapo  , sft                 , fr           ,   3, 793,   6,   0,   0,      3
mapo  , w-reinforce_0.1_1.0 , fr           ,   0, 462, 342,   0,   0,      1
mapo  , w-reinforce_10.0_1.0, fr           ,   1, 770,  34,   0,   0,      0
mapo  , w-reinforce         , fr           ,   0, 707,  96,   1,   0,      1
mapo  , dpo_250426          , ru           ,   0,   5, 149,   1, 647,      3
mapo  , dpo                 , ru           ,   1,   3, 182,   3, 612,      4
mapo  , npo_checkpoint-10   , ru           ,   0,   3, 272,   1, 527,      2
mapo  , npo_checkpoint-1    , ru           ,   0,   3, 217,   1, 581,      3
mapo  , npo_checkpoint-20   , ru           ,   0,   1, 804,   0,   0,      0
mapo  , npo_checkpoint-2    , ru           ,   0,   2, 218,   1, 579,      5
mapo  , npo_checkpoint-30   , ru           ,   0,   1, 803,   0,   0,      0
mapo  , npo_checkpoint-3    , ru           ,   0,   1, 221,   2, 579,      2
mapo  , npo_checkpoint-4    , ru           ,   1,   3, 225,   1, 572,      3
mapo  , npo_checkpoint-5    , ru           ,   0,   2, 230,   0, 572,      1
mapo  , npo                 , ru           ,   0,   1, 794,   0,   0,      1
mapo  , ppo                 , ru           ,   2,   1,  11,   0, 788,      3
mapo  , sft                 , ru           ,   0,   2,  17,   0, 785,      1
mapo  , w-reinforce_0.1_1.0 , ru           ,   1,   3, 419,   0, 380,      2
mapo  , w-reinforce_10.0_1.0, ru           ,   0,   1,  64,   1, 737,      2
mapo  , w-reinforce         , ru           ,   1,   3, 182,   3, 612,      4
