folder,lang_prefix,model_type,version,total_samples,mislang_count,mislang_pct,avg_length,top1_lang,top1_count,top1_pct,top2_lang,top2_count,top2_pct,top3_lang,top3_count,top3_pct,others_count,others_pct
de-results-icr_enesru_llama3_8b_dpo_150426_v0,de,dpo_150426,v0,805,24,2.98,1690.32,en,21,87.50,fr,1,4.17,zh,1,4.17,1,4.17
de-results-icr_enesru_llama3_8b_npo_150426_v0,de,npo_150426,v0,804,26,3.23,8176.24,ru,11,42.31,es,2,7.69,fr,2,7.69,11,42.31
de-results-icr_enesru_llama3_8b_ppo_150426_v0,de,ppo_150426,v0,805,135,16.77,1696.87,en,130,96.30,fr,2,1.48,zh,1,0.74,2,1.48
de-results-icr_enesru_llama3_8b_sft_150426_v0,de,sft_150426,v0,805,132,16.40,1992.23,en,129,97.73,fr,2,1.52,es,1,0.76,0,0.00
de-results-icr_enesru_llama3_8b_w-reinforce_150426_v0,de,w-reinforce_150426,v0,805,19,2.36,1688.83,en,16,84.21,fr,1,5.26,zh,1,5.26,1,5.26
en-results-icr_enesru_llama3_8b_dpo_150426_v0,en,dpo_150426,v0,805,10,1.24,1667.35,fr,4,40.00,de,2,20.00,es,2,20.00,2,20.00
en-results-icr_enesru_llama3_8b_npo_150426_v0,en,npo_150426,v0,790,775,98.10,3167.26,ru,269,34.71,fr,91,11.74,uk,69,8.90,346,44.65
en-results-icr_enesru_llama3_8b_ppo_150426_v0,en,ppo_150426,v0,805,4,0.50,1907.71,zh,1,25.00,da,1,25.00,fr,1,25.00,1,25.00
en-results-icr_enesru_llama3_8b_sft_150426_v0,en,sft_150426,v0,805,3,0.37,1784.19,de,2,66.67,fr,1,33.33,,,,0,0.00
en-results-icr_enesru_llama3_8b_w-reinforce_150426_v0,en,w-reinforce_150426,v0,805,9,1.12,1673.55,fr,3,33.33,es,2,22.22,de,2,22.22,2,22.22
es-results-icr_enesru_llama3_8b_dpo_150426_v1,es,dpo_150426,v1,805,12,1.49,1634.85,en,9,75.00,fr,1,8.33,zh,1,8.33,1,8.33
es-results-icr_enesru_llama3_8b_npo_150426_v1,es,npo_150426,v1,803,16,1.99,8497.04,ru,8,50.00,fr,3,18.75,pt,2,12.50,3,18.75
es-results-icr_enesru_llama3_8b_ppo_150426_v1,es,ppo_150426,v1,805,137,17.02,1609.34,en,131,95.62,fr,2,1.46,de,2,1.46,2,1.46
es-results-icr_enesru_llama3_8b_sft_150426_v1,es,sft_150426,v1,805,107,13.29,2077.11,en,100,93.46,de,2,1.87,fr,2,1.87,3,2.80
es-results-icr_enesru_llama3_8b_w-reinforce_150426_v1,es,w-reinforce_150426,v1,805,12,1.49,1583.17,en,9,75.00,is,1,8.33,fr,1,8.33,1,8.33
fr-results-icr_enesru_llama3_8b_dpo_150426_v0,fr,dpo_150426,v0,805,11,1.37,1720.89,en,9,81.82,is,1,9.09,de,1,9.09,0,0.00
fr-results-icr_enesru_llama3_8b_npo_150426_v0,fr,npo_150426,v0,804,15,1.87,6883.91,ru,4,26.67,it,2,13.33,de,2,13.33,7,46.67
fr-results-icr_enesru_llama3_8b_ppo_150426_v0,fr,ppo_150426,v0,805,75,9.32,1752.53,en,72,96.00,fi,1,1.33,de,1,1.33,1,1.33
fr-results-icr_enesru_llama3_8b_sft_150426_v0,fr,sft_150426,v0,805,92,11.43,2381.25,en,83,90.22,es,4,4.35,de,2,2.17,3,3.26
fr-results-icr_enesru_llama3_8b_w-reinforce_150426_v0,fr,w-reinforce_150426,v0,805,10,1.24,1710.80,en,8,80.00,cy,1,10.00,de,1,10.00,0,0.00
ru-results-icr_enesru_llama3_8b_dpo_150426_v2,ru,dpo_150426,v2,805,9,1.12,1648.23,en,8,88.89,fr,1,11.11,,,,0,0.00
ru-results-icr_enesru_llama3_8b_npo_150426_v2,ru,npo_150426,v2,797,17,2.13,935.58,uk,9,52.94,sr,3,17.65,bg,2,11.76,3,17.65
ru-results-icr_enesru_llama3_8b_ppo_150426_v2,ru,ppo_150426,v2,805,161,20.00,1524.10,en,154,95.65,fr,3,1.86,zh,1,0.62,3,1.86
ru-results-icr_enesru_llama3_8b_sft_150426_v2,ru,sft_150426,v2,805,116,14.41,2048.90,en,115,99.14,fr,1,0.86,,,,0,0.00
ru-results-icr_enesru_llama3_8b_w-reinforce_150426_v2,ru,w-reinforce_150426,v2,805,9,1.12,1683.04,en,6,66.67,uk,1,11.11,fr,1,11.11,1,11.11
