folder,lang_prefix,model_type,version,total_samples,mislang_count,mislang_pct,avg_length,top1_lang,top1_count,top1_pct,top2_lang,top2_count,top2_pct,top3_lang,top3_count,top3_pct,others_count,others_pct
de-results-lacomsa_enesru_llama3_8b_dpo_v0,de,dpo,v0,805,209,25.96,1706.81,en,204,97.61,fr,2,0.96,zh,1,0.48,2,0.96
de-results-lacomsa_enesru_llama3_8b_npo_checkpoint-1_v0,de,npo_checkpoint-1,v0,805,217,26.96,1746.79,en,209,96.31,fr,2,0.92,zh,2,0.92,4,1.84
de-results-lacomsa_enesru_llama3_8b_npo_checkpoint-2_v0,de,npo_checkpoint-2,v0,805,221,27.45,1731.73,en,213,96.38,fr,2,0.90,zh,2,0.90,4,1.81
de-results-lacomsa_enesru_llama3_8b_npo_checkpoint-3_v0,de,npo_checkpoint-3,v0,805,220,27.33,1703.71,en,210,95.45,fr,3,1.36,es,1,0.45,6,2.73
de-results-lacomsa_enesru_llama3_8b_npo_checkpoint-4_v0,de,npo_checkpoint-4,v0,805,224,27.83,1799.46,en,219,97.77,fr,2,0.89,zh,2,0.89,1,0.45
de-results-lacomsa_enesru_llama3_8b_npo_checkpoint-5_v0,de,npo_checkpoint-5,v0,805,219,27.20,1717.33,en,214,97.72,fr,3,1.37,es,1,0.46,1,0.46
de-results-lacomsa_enesru_llama3_8b_npo_v0,de,npo,v0,803,14,1.74,5254.88,ru,4,28.57,en,2,14.29,fr,1,7.14,7,50.00
de-results-lacomsa_enesru_llama3_8b_ppo_v0,de,ppo,v0,805,210,26.09,2047.59,en,205,97.62,fr,2,0.95,yi,1,0.48,2,0.95
de-results-lacomsa_enesru_llama3_8b_sft_v0,de,sft,v0,805,197,24.47,2103.41,en,192,97.46,fr,2,1.02,ja,1,0.51,2,1.02
de-results-lacomsa_enesru_llama3_8b_w-reinforce_v0,de,w-reinforce,v0,805,205,25.47,1743.11,en,199,97.07,fr,2,0.98,es,1,0.49,3,1.46
en-results-lacomsa_enesru_llama3_8b_dpo_v0,en,dpo,v0,805,5,0.62,1655.76,es,2,40.00,de,1,20.00,fr,1,20.00,1,20.00
en-results-lacomsa_enesru_llama3_8b_npo_checkpoint-1_v0,en,npo_checkpoint-1,v0,805,1,0.12,1640.07,fr,1,100.00,,,,,,,0,0.00
en-results-lacomsa_enesru_llama3_8b_npo_checkpoint-2_v0,en,npo_checkpoint-2,v0,805,6,0.75,1666.93,de,2,33.33,sl,1,16.67,da,1,16.67,2,33.33
en-results-lacomsa_enesru_llama3_8b_npo_checkpoint-3_v0,en,npo_checkpoint-3,v0,805,5,0.62,1678.93,de,2,40.00,sl,1,20.00,es,1,20.00,1,20.00
en-results-lacomsa_enesru_llama3_8b_npo_checkpoint-4_v0,en,npo_checkpoint-4,v0,805,1,0.12,1630.80,fr,1,100.00,,,,,,,0,0.00
en-results-lacomsa_enesru_llama3_8b_npo_checkpoint-5_v0,en,npo_checkpoint-5,v0,805,3,0.37,1644.95,is,1,33.33,de,1,33.33,fr,1,33.33,0,0.00
en-results-lacomsa_enesru_llama3_8b_npo_v0,en,npo,v0,803,226,28.14,4808.28,fr,48,21.24,ru,47,20.80,zh,29,12.83,102,45.13
en-results-lacomsa_enesru_llama3_8b_ppo_v0,en,ppo,v0,805,4,0.50,1907.16,fr,2,50.00,de,1,25.00,da,1,25.00,0,0.00
en-results-lacomsa_enesru_llama3_8b_sft_v0,en,sft,v0,805,3,0.37,1875.80,da,1,33.33,fr,1,33.33,gom,1,33.33,0,0.00
en-results-lacomsa_enesru_llama3_8b_w-reinforce_v0,en,w-reinforce,v0,805,5,0.62,1657.97,de,3,60.00,es,1,20.00,fr,1,20.00,0,0.00
es-results-lacomsa_enesru_llama3_8b_dpo_v1,es,dpo,v1,805,200,24.84,1657.22,en,196,98.00,it,2,1.00,pt,1,0.50,1,0.50
es-results-lacomsa_enesru_llama3_8b_npo_checkpoint-1_v1,es,npo_checkpoint-1,v1,805,214,26.58,1644.51,en,211,98.60,fr,2,0.93,da,1,0.47,0,0.00
es-results-lacomsa_enesru_llama3_8b_npo_checkpoint-2_v1,es,npo_checkpoint-2,v1,805,214,26.58,1689.24,en,210,98.13,fr,2,0.93,it,1,0.47,1,0.47
es-results-lacomsa_enesru_llama3_8b_npo_checkpoint-3_v1,es,npo_checkpoint-3,v1,805,204,25.34,1633.46,en,202,99.02,fr,1,0.49,de,1,0.49,0,0.00
es-results-lacomsa_enesru_llama3_8b_npo_checkpoint-4_v1,es,npo_checkpoint-4,v1,805,205,25.47,1632.73,en,204,99.51,fr,1,0.49,,,,0,0.00
es-results-lacomsa_enesru_llama3_8b_npo_checkpoint-5_v1,es,npo_checkpoint-5,v1,805,206,25.59,1631.62,en,202,98.06,fr,3,1.46,is,1,0.49,0,0.00
es-results-lacomsa_enesru_llama3_8b_npo_v1,es,npo,v1,803,22,2.74,4079.14,en,6,27.27,ru,6,27.27,fr,4,18.18,6,27.27
es-results-lacomsa_enesru_llama3_8b_ppo_v1,es,ppo,v1,805,199,24.72,1900.58,en,194,97.49,de,3,1.51,it,1,0.50,1,0.50
es-results-lacomsa_enesru_llama3_8b_sft_v1,es,sft,v1,805,163,20.25,1811.69,en,159,97.55,de,1,0.61,fi,1,0.61,2,1.23
es-results-lacomsa_enesru_llama3_8b_w-reinforce_v1,es,w-reinforce,v1,805,192,23.85,1688.41,en,190,98.96,it,1,0.52,fr,1,0.52,0,0.00
fr-results-lacomsa_enesru_llama3_8b_dpo_v0,fr,dpo,v0,805,128,15.90,1743.09,en,126,98.44,it,1,0.78,da,1,0.78,0,0.00
fr-results-lacomsa_enesru_llama3_8b_npo_checkpoint-1_v0,fr,npo_checkpoint-1,v0,805,138,17.14,1741.28,en,136,98.55,is,1,0.72,de,1,0.72,0,0.00
fr-results-lacomsa_enesru_llama3_8b_npo_checkpoint-2_v0,fr,npo_checkpoint-2,v0,805,135,16.77,1724.69,en,134,99.26,is,1,0.74,,,,0,0.00
fr-results-lacomsa_enesru_llama3_8b_npo_checkpoint-3_v0,fr,npo_checkpoint-3,v0,805,142,17.64,1781.97,en,139,97.89,ar,1,0.70,ceb,1,0.70,1,0.70
fr-results-lacomsa_enesru_llama3_8b_npo_checkpoint-4_v0,fr,npo_checkpoint-4,v0,805,137,17.02,1743.95,en,135,98.54,is,1,0.73,de,1,0.73,0,0.00
fr-results-lacomsa_enesru_llama3_8b_npo_checkpoint-5_v0,fr,npo_checkpoint-5,v0,805,141,17.52,1758.07,en,138,97.87,is,1,0.71,zh,1,0.71,1,0.71
fr-results-lacomsa_enesru_llama3_8b_npo_v0,fr,npo,v0,799,14,1.75,4080.67,en,5,35.71,de,2,14.29,ru,2,14.29,5,35.71
fr-results-lacomsa_enesru_llama3_8b_ppo_v0,fr,ppo,v0,805,128,15.90,2049.63,en,124,96.88,it,2,1.56,et,1,0.78,1,0.78
fr-results-lacomsa_enesru_llama3_8b_sft_v0,fr,sft,v0,805,130,16.15,2050.95,en,126,96.92,fi,1,0.77,pt,1,0.77,2,1.54
fr-results-lacomsa_enesru_llama3_8b_w-reinforce_v0,fr,w-reinforce,v0,805,130,16.15,1753.16,en,125,96.15,cs,2,1.54,it,1,0.77,2,1.54
ru-results-lacomsa_enesru_llama3_8b_dpo_v2,ru,dpo,v2,805,229,28.45,1677.00,en,221,96.51,fr,3,1.31,zh,2,0.87,3,1.31
ru-results-lacomsa_enesru_llama3_8b_npo_checkpoint-1_v2,ru,npo_checkpoint-1,v2,805,224,27.83,1688.39,en,217,96.88,fr,3,1.34,it,1,0.45,3,1.34
ru-results-lacomsa_enesru_llama3_8b_npo_checkpoint-2_v2,ru,npo_checkpoint-2,v2,805,230,28.57,1649.67,en,226,98.26,it,1,0.43,es,1,0.43,2,0.87
ru-results-lacomsa_enesru_llama3_8b_npo_checkpoint-3_v2,ru,npo_checkpoint-3,v2,805,230,28.57,1615.66,en,225,97.83,zh,2,0.87,it,1,0.43,2,0.87
ru-results-lacomsa_enesru_llama3_8b_npo_checkpoint-4_v2,ru,npo_checkpoint-4,v2,805,227,28.20,1627.64,en,219,96.48,nl,2,0.88,fr,2,0.88,4,1.76
ru-results-lacomsa_enesru_llama3_8b_npo_checkpoint-5_v2,ru,npo_checkpoint-5,v2,805,237,29.44,1659.20,en,231,97.47,fr,3,1.27,es,1,0.42,2,0.84
ru-results-lacomsa_enesru_llama3_8b_npo_v2,ru,npo,v2,743,13,1.75,3198.77,en,6,46.15,uk,5,38.46,pl,1,7.69,1,7.69
