source, model                                  , win_rate          , standard_error    , mode     , avg_length, n_wins, n_wins_base, n_draws, n_total, discrete_win_rate , length_controlled_winrate, lc_standard_error
de    , icr_enesru_llama3_8b_w-reinforce_150426, 20.124223602484474, 1.4112319538311968, community,       1688,    161,         642,       2,     805, 20.124223602484474,        17.43385497214217 , 0.27626599260134577
de    , icr_enesru_llama3_8b_dpo_150426        , 21.55             , 1.45              , community,       1690,    173,         631,       1,     805, 21.55             ,        19.30             , 0.29
de    , icr_enesru_llama3_8b_ppo_150426        , 15.962732919254657, 1.2902036456615986, community,       1696,    128,         676,       1,     805, 15.962732919254657,        14.32158512694539 , 0.24386638108267483
de    , icr_enesru_llama3_8b_sft_150426        , 13.91304347826087 , 1.220539176691369 , community,       1992,    112,         693,       0,     805, 13.91304347826087 ,        11.655551184221167, 0.19120048089752784
de    , icr_enesru_llama3_8b_npo_150426        ,  0.00             , 0.00              , community,       8166,      0,         805,       0,     805,  0.00             ,         0.00             , 0.00
en    , icr_enesru_llama3_8b_w-reinforce_150426, 21.73913043478261 , 1.4520152710560696, community,       1673,    174,         629,       2,     805, 21.73913043478261 ,        21.964236457471994, 0.35860263324012076
en    , icr_enesru_llama3_8b_dpo_150426        , 21.24             , 1.44              , community,       1667,    170,         633,       2,     805, 21.24             ,        21.53             , 0.34
en    , icr_enesru_llama3_8b_ppo_150426        , 19.875776397515526, 1.4073948059218202, community,       1907,    160,         645,       0,     805, 19.875776397515526,        20.153516852322998, 0.3982665840602224
en    , icr_enesru_llama3_8b_sft_150426        , 16.956521739130434, 1.3219459096391208, community,       1784,    136,         668,       1,     805, 16.956521739130434,        17.09559653829075 , 0.3270930154837151
en    , icr_enesru_llama3_8b_npo_150426        ,  0.00             , 0.00              , community,       3108,      0,         805,       0,     805,  0.00             ,         0.00             , 0.00
es    , icr_enesru_llama3_8b_w-reinforce_150426, 20.99378881987578 , 1.4336175812315448, community,       1583,    168,         635,       2,     805, 20.99378881987578 ,        20.52720670663685 , 0.3094204098984788
es    , icr_enesru_llama3_8b_dpo_150426        , 21.93             , 1.46              , community,       1634,    176,         628,       1,     805, 21.93             ,        21.72             , 0.28
es    , icr_enesru_llama3_8b_ppo_150426        , 15.093167701863356, 1.2609754322964777, community,       1609,    121,         683,       1,     805, 15.093167701863356,        14.480052400425784, 0.19099457320133525
es    , icr_enesru_llama3_8b_sft_150426        , 13.354037267080745, 1.1980331234236081, community,       2077,    107,         697,       1,     805, 13.354037267080745,        11.462432389376417, 0.17665438639342707
es    , icr_enesru_llama3_8b_npo_150426        ,  0.00             , 0.00              , community,       8475,      0,         805,       0,     805,  0.00             ,         0.00             , 0.00
fr    , icr_enesru_llama3_8b_w-reinforce_150426, 21.5527950310559  , 1.4461476356737781, community,       1710,    172,         630,       3,     805, 21.5527950310559  ,        19.601844332260885, 0.24998294974033752
fr    , icr_enesru_llama3_8b_dpo_150426        , 22.86             , 1.48              , community,       1720,    183,         620,       2,     805, 22.86             ,        20.80             , 0.34
fr    , icr_enesru_llama3_8b_ppo_150426        , 16.459627329192546, 1.306288755306555 , community,       1752,    132,         672,       1,     805, 16.459627329192546,        14.926188700245104, 0.2754900425109898
fr    , icr_enesru_llama3_8b_sft_150426        , 14.285714285714285, 1.2340977508305147, community,       2381,    115,         690,       0,     805, 14.285714285714285,        11.97007664239555 , 0.2209502190660444
fr    , icr_enesru_llama3_8b_npo_150426        ,  0.12             , 0.12              , community,       6875,      1,         804,       0,     805,  0.12             ,         0.06             , 0.00
ru    , icr_enesru_llama3_8b_w-reinforce_150426, 25.279503105590063, 1.5315063647639968, community,       1683,    203,         601,       1,     805, 25.279503105590063,        22.321760278192624, 0.266192049202373
ru    , icr_enesru_llama3_8b_dpo_150426        , 26.40             , 1.55              , community,       1648,    212,         592,       1,     805, 26.40             ,        21.93             , 0.28
ru    , icr_enesru_llama3_8b_ppo_150426        , 18.26086956521739 , 1.3625351331651139, community,       1524,    147,         658,       0,     805, 18.26086956521739 ,        13.994394736858975, 0.24796889021886578
ru    , icr_enesru_llama3_8b_sft_150426        , 15.403726708074533, 1.2730940658042815, community,       2048,    124,         681,       0,     805, 15.403726708074533,        12.308538157530204, 0.18014637239537096
ru    , icr_enesru_llama3_8b_npo_150426        ,  0.00             , 0.00              , community,        926,      0,         805,       0,     805,  0.00             ,         0.00             , 0.00
