                                       , win_rate           , standard_error    , mode     , avg_length, n_wins, n_wins_base, n_draws, n_total, discrete_win_rate  , length_controlled_winrate, lc_standard_error
icr_enesru_llama3_8b_w-reinforce_150426, 25.279503105590063 , 1.5315063647639968, community,       1683,    203,         601,       1,     805, 25.279503105590063 ,       22.321760278192624 , 0.266192049202373
icr_enesru_llama3_8b_w-reinforce       , 26.211180124223603 , 1.5509955272404023, community,       1572,    211,         594,       0,     805, 26.211180124223603 ,       21.16367707612841  , 0.3323527299204392
icr_enesru_llama3_8b_dpo               , 29.19254658385093  , 1.603420582720896 , community,       1742,    235,         570,       0,     805, 29.19254658385093  ,       20.146424093531447 , 0.2354020575147347
icr_enesru_llama3_8b_ppo_150426        , 18.26086956521739  , 1.362535133165114 , community,       1524,    147,         658,       0,     805, 18.26086956521739  ,       13.994394736858975 , 0.2479688902188657
mapo_enesru_llama3_8b_dpo              , 18.75776397515528  , 1.37393627241271  , community,       1571,    150,         653,       2,     805, 18.75776397515528  ,       13.721043826061988 , 0.2211960419822993
icr_enesru_llama3_8b_sft_150426        , 15.403726708074531 , 1.2730940658042815, community,       2048,    124,         681,       0,     805, 15.403726708074531 ,       12.308538157530204 , 0.1801463723953709
icr_enesru_llama3_8b_ppo               , 17.018633540372672 , 1.325331774127577 , community,       1661,    137,         668,       0,     805, 17.018633540372672 ,       12.148100705828464 , 0.2571336881645576
icr_enesru_llama3_8b_sft               , 14.906832298136646 , 1.2560646812143663, community,       2049,    120,         685,       0,     805, 14.906832298136646 ,       11.235985475678204 , 0.2000109405660191
mapo_enesru_llama3_8b_sft              ,  7.515527950310559 , 0.9235401714864819, community,        991,     59,         743,       3,     805,  7.515527950310559 ,        9.047540072832861 , 0.25290232478219804
mapo_enesru_llama3_8b_npo              ,  1.1180124223602486, 0.3708120885962266, community,       4479,      9,         796,       0,     805,  1.1180124223602486,        0.2868902930011138, 0.0137935247081351
icr_enesru_llama3_8b_npo               ,  0.0               , 0.0               , community,         15,      0,         805,       0,     805,  0.0               ,        0.0019528944836195, 0.0001432680233829
