language,layer,cosine_sim_mean,cosine_sim_std,cosine_sim_mean_pm_std,cosine_sim_n_seeds,cosine_sim_adjusted_mean,cosine_sim_adjusted_std,cosine_sim_adjusted_mean_pm_std,cosine_sim_adjusted_n_seeds
es,0,0.7059683601061503,0.011559159766289316,0.705968 +- 0.011559,3,0.3684348464012146,0.008856800311271559,0.368435 +- 0.008857,3
es,1,0.6715127031008402,0.012663050066642857,0.671513 +- 0.012663,3,0.3872695167859395,0.013623831014245432,0.387270 +- 0.013624,3
es,2,0.7065210143725077,0.01172853371936386,0.706521 +- 0.011729,3,0.36880667010943097,0.01352958842498304,0.368807 +- 0.013530,3
es,3,0.6969685554504395,0.009989702185652267,0.696969 +- 0.009990,3,0.4131839871406555,0.011098265029707415,0.413184 +- 0.011098,3
es,4,0.7066686352094015,0.00807012280619688,0.706669 +- 0.008070,3,0.4467044373353322,0.010179494794390686,0.446704 +- 0.010179,3
es,5,0.72496630748113,0.007977042391510578,0.724966 +- 0.007977,3,0.45085886120796204,0.01002061535778463,0.450859 +- 0.010021,3
es,6,0.732818086942037,0.007854048922000527,0.732818 +- 0.007854,3,0.4864368637402852,0.009360253059952476,0.486437 +- 0.009360,3
es,7,0.7487493356068929,0.006225654181994174,0.748749 +- 0.006226,3,0.5152943332990011,0.00813794179929091,0.515294 +- 0.008138,3
es,8,0.7547408143679301,0.005714355574796555,0.754741 +- 0.005714,3,0.5173567732175192,0.007922729927955051,0.517357 +- 0.007923,3
es,9,0.766363799571991,0.006261695380678038,0.766364 +- 0.006262,3,0.5132409731547037,0.00871609753094075,0.513241 +- 0.008716,3
es,10,0.7684153318405151,0.00626978637204746,0.768415 +- 0.006270,3,0.5274742841720581,0.0085101177929588,0.527474 +- 0.008510,3
es,11,0.7659189899762472,0.006329905330981464,0.765919 +- 0.006330,3,0.5288240909576416,0.008810258038390528,0.528824 +- 0.008810,3
es,12,0.7815347711245219,0.005584894257232817,0.781535 +- 0.005585,3,0.5322344501813253,0.008682776623567649,0.532234 +- 0.008683,3
es,13,0.7771713137626648,0.005840044615068648,0.777171 +- 0.005840,3,0.5492531061172485,0.008215311590181682,0.549253 +- 0.008215,3
es,14,0.7739543716112772,0.006078035137391214,0.773954 +- 0.006078,3,0.5479159156481425,0.008776737905264457,0.547916 +- 0.008777,3
es,15,0.7770128846168518,0.005882003025683637,0.777013 +- 0.005882,3,0.5445027748743693,0.009174572964520598,0.544503 +- 0.009175,3
es,16,0.7710999051729838,0.005434088851089742,0.771100 +- 0.005434,3,0.5421420931816101,0.007909202647023527,0.542142 +- 0.007909,3
es,17,0.7636153101921082,0.005484675037479003,0.763615 +- 0.005485,3,0.5258415937423706,0.008404048938290071,0.525842 +- 0.008404,3
es,18,0.7633265058199564,0.005161070151400462,0.763327 +- 0.005161,3,0.4966008464495341,0.007993150423310624,0.496601 +- 0.007993,3
es,19,0.7497709194819132,0.005084599193964973,0.749771 +- 0.005085,3,0.4884112477302551,0.007509232587177414,0.488411 +- 0.007509,3
es,20,0.7317451437314352,0.005562126871345945,0.731745 +- 0.005562,3,0.4638960063457489,0.008059362304974223,0.463896 +- 0.008059,3
es,21,0.7231396834055582,0.005352896995003201,0.723140 +- 0.005353,3,0.44036246339480084,0.00753127925434239,0.440362 +- 0.007531,3
es,22,0.7211517691612244,0.005594894498386707,0.721152 +- 0.005595,3,0.4146059552828471,0.007609981505516059,0.414606 +- 0.007610,3
es,23,0.7205257813135783,0.005640764039059107,0.720526 +- 0.005641,3,0.39036715030670166,0.00694795074347669,0.390367 +- 0.006948,3
es,24,0.700946569442749,0.005540390233508918,0.700947 +- 0.005540,3,0.3607084850470225,0.006328268553537851,0.360708 +- 0.006328,3
es,25,0.6880519390106201,0.005914361322426944,0.688052 +- 0.005914,3,0.3551631569862366,0.0060485236209937695,0.355163 +- 0.006049,3
es,26,0.670429527759552,0.00560040360968578,0.670430 +- 0.005600,3,0.32579900821050006,0.005465098198991716,0.325799 +- 0.005465,3
es,27,0.6518744428952535,0.005769662426049639,0.651874 +- 0.005770,3,0.314965824286143,0.0053857985487866,0.314966 +- 0.005386,3
es,28,0.6392585039138794,0.005593078147484346,0.639259 +- 0.005593,3,0.30339030424753827,0.0054205729949768095,0.303390 +- 0.005421,3
es,29,0.6125089923540751,0.005804907221185321,0.612509 +- 0.005805,3,0.30289169152577716,0.00603038674685087,0.302892 +- 0.006030,3
es,30,0.5989317496617635,0.006455290925980627,0.598932 +- 0.006455,3,0.29757832487424213,0.006967586876047727,0.297578 +- 0.006968,3
es,31,0.5960707068443298,0.009303304011988757,0.596071 +- 0.009303,3,0.29783650239308673,0.009472449009153245,0.297837 +- 0.009472,3
