language,layer,cosine_sim_mean,cosine_sim_std,cosine_sim_mean_pm_std,cosine_sim_n_seeds,cosine_sim_adjusted_mean,cosine_sim_adjusted_std,cosine_sim_adjusted_mean_pm_std,cosine_sim_adjusted_n_seeds
ru,0,0.6806917985280355,0.011171656166748912,0.680692 +- 0.011172,3,0.35042425990104675,0.007182072383737861,0.350424 +- 0.007182,3
ru,1,0.6477815906206766,0.01086644478388213,0.647782 +- 0.010866,3,0.37781763076782227,0.01070607964826715,0.377818 +- 0.010706,3
ru,2,0.6895705660184225,0.008727187134405607,0.689571 +- 0.008727,3,0.366717388232549,0.009332370563172097,0.366717 +- 0.009332,3
ru,3,0.6749860843022665,0.007071627824034511,0.674986 +- 0.007072,3,0.4044989248116811,0.007257915511819375,0.404499 +- 0.007258,3
ru,4,0.6855310797691345,0.00555266967637169,0.685531 +- 0.005553,3,0.4347384472688039,0.006941478693268359,0.434738 +- 0.006941,3
ru,5,0.7095429102579752,0.005353024623177805,0.709543 +- 0.005353,3,0.4449094533920288,0.006371062719804091,0.444909 +- 0.006371,3
ru,6,0.7164464791615804,0.005612506433013678,0.716446 +- 0.005613,3,0.4801701804002126,0.006591851884670466,0.480170 +- 0.006592,3
ru,7,0.7334204912185669,0.004820932378516597,0.733420 +- 0.004821,3,0.5070339838663737,0.006210255438854884,0.507034 +- 0.006210,3
ru,8,0.738995373249054,0.004292061202597227,0.738995 +- 0.004292,3,0.5083752671877543,0.006072370921524013,0.508375 +- 0.006072,3
ru,9,0.7495924035708109,0.0039266289130628265,0.749592 +- 0.003927,3,0.5039429863293966,0.0055935321682655005,0.503943 +- 0.005594,3
ru,10,0.7511017521222433,0.0039257204641482595,0.751102 +- 0.003926,3,0.5179093678792318,0.005620806227351812,0.517909 +- 0.005621,3
ru,11,0.7491174340248108,0.00393546302485616,0.749117 +- 0.003935,3,0.5175876220067342,0.005775534482476748,0.517588 +- 0.005776,3
ru,12,0.7667343020439148,0.0029450361959066623,0.766734 +- 0.002945,3,0.5224008560180664,0.0051245591443240335,0.522401 +- 0.005125,3
ru,13,0.7634368141492208,0.0035676554808742587,0.763437 +- 0.003568,3,0.5408726533253988,0.00510422288282574,0.540873 +- 0.005104,3
ru,14,0.7609537641207377,0.004184248534164034,0.760954 +- 0.004184,3,0.5410382946332296,0.0059041014186145034,0.541038 +- 0.005904,3
ru,15,0.7668296694755554,0.00377303876527483,0.766830 +- 0.003773,3,0.540224015712738,0.006097496737494396,0.540224 +- 0.006097,3
ru,16,0.7592222094535828,0.00381970613037767,0.759222 +- 0.003820,3,0.5372500022252401,0.005038453354507611,0.537250 +- 0.005038,3
ru,17,0.7512832482655843,0.0038778908879581494,0.751283 +- 0.003878,3,0.5204426447550455,0.005869307745697544,0.520443 +- 0.005869,3
ru,18,0.7493253548940023,0.003646962521367144,0.749325 +- 0.003647,3,0.4905338982741038,0.005768068754736876,0.490534 +- 0.005768,3
ru,19,0.7314630150794983,0.003530311479591312,0.731463 +- 0.003530,3,0.4800737202167511,0.005259957681711263,0.480074 +- 0.005260,3
ru,20,0.7155827085177103,0.0034184946829689112,0.715583 +- 0.003418,3,0.45549169182777405,0.005643840962371376,0.455492 +- 0.005644,3
ru,21,0.7062398393948873,0.002863789073280855,0.706240 +- 0.002864,3,0.4333583414554596,0.005304440393404488,0.433358 +- 0.005304,3
ru,22,0.6980174779891968,0.002471682925778224,0.698017 +- 0.002472,3,0.4057002663612366,0.005113649188488011,0.405700 +- 0.005114,3
ru,23,0.7002684672673544,0.0024117408481852034,0.700268 +- 0.002412,3,0.3836471041043599,0.004756597501970711,0.383647 +- 0.004757,3
ru,24,0.6771228313446045,0.0025431067826731596,0.677123 +- 0.002543,3,0.3518441915512085,0.004195636487579926,0.351844 +- 0.004196,3
ru,25,0.6749966740608215,0.0029216172289664496,0.674997 +- 0.002922,3,0.34673837820688885,0.0038951523436912953,0.346738 +- 0.003895,3
ru,26,0.6685013572374979,0.0026894192623466884,0.668501 +- 0.002689,3,0.32049084703127545,0.0037325317982326786,0.320491 +- 0.003733,3
ru,27,0.643143872419993,0.0028712408900065643,0.643144 +- 0.002871,3,0.3090599775314331,0.0034758022662335366,0.309060 +- 0.003476,3
ru,28,0.6391324003537496,0.0028538083542471535,0.639132 +- 0.002854,3,0.2987272838751475,0.003469230566359608,0.298727 +- 0.003469,3
ru,29,0.6238274772961935,0.003351817298209177,0.623827 +- 0.003352,3,0.30421308676401776,0.0035537943693257287,0.304213 +- 0.003554,3
ru,30,0.5760665337244669,0.0036687683358892463,0.576067 +- 0.003669,3,0.28973106543223065,0.0040320341126911605,0.289731 +- 0.004032,3
ru,31,0.5301863352457682,0.004832040198618279,0.530186 +- 0.004832,3,0.27355681856473285,0.004818070549682342,0.273557 +- 0.004818,3
