language,layer,cosine_sim_mean,cosine_sim_std,cosine_sim_mean_pm_std,cosine_sim_n_seeds,cosine_sim_adjusted_mean,cosine_sim_adjusted_std,cosine_sim_adjusted_mean_pm_std,cosine_sim_adjusted_n_seeds
fr,0,0.6628879507382711,0.0070633257128726815,0.662888 +- 0.007063,3,0.3486944337685903,0.005759992474153366,0.348694 +- 0.005760,3
fr,1,0.6077413558959961,0.0087464680904772,0.607741 +- 0.008746,3,0.3702079753081004,0.007063113256143334,0.370208 +- 0.007063,3
fr,2,0.6608010729153951,0.008703616012963126,0.660801 +- 0.008704,3,0.3646748860677083,0.006922252681525083,0.364675 +- 0.006922,3
fr,3,0.6599237124125162,0.007441967972106406,0.659924 +- 0.007442,3,0.408159206310908,0.006385876322042531,0.408159 +- 0.006386,3
fr,4,0.6790359020233154,0.005761602550440971,0.679036 +- 0.005762,3,0.44388941923777264,0.005965503456909677,0.443889 +- 0.005966,3
fr,5,0.7083595991134644,0.0052561788864248045,0.708360 +- 0.005256,3,0.4547996024290721,0.005553754797498651,0.454800 +- 0.005554,3
fr,6,0.718947688738505,0.004488036472570348,0.718948 +- 0.004488,3,0.4909323751926422,0.0048611832959730384,0.490932 +- 0.004861,3
fr,7,0.738503098487854,0.0038999300360693357,0.738503 +- 0.003900,3,0.5194209615389506,0.004566839445875374,0.519421 +- 0.004567,3
fr,8,0.7457507848739624,0.0035498726654577648,0.745751 +- 0.003550,3,0.5213745435078939,0.004681649455355229,0.521375 +- 0.004682,3
fr,9,0.7598581314086914,0.004386552669707022,0.759858 +- 0.004387,3,0.519333561261495,0.00563055777903285,0.519334 +- 0.005631,3
fr,10,0.7641304930051168,0.004758300153274613,0.764130 +- 0.004758,3,0.5338239073753357,0.005744742696073916,0.533824 +- 0.005745,3
fr,11,0.7639863888422648,0.0048342224721642044,0.763986 +- 0.004834,3,0.5363930662473043,0.006125274402897769,0.536393 +- 0.006125,3
fr,12,0.7793108224868774,0.004544560488217791,0.779311 +- 0.004545,3,0.5406899054845175,0.006197444151672655,0.540690 +- 0.006197,3
fr,13,0.776828388373057,0.004313190472600622,0.776828 +- 0.004313,3,0.5597013831138611,0.005996091285767267,0.559701 +- 0.005996,3
fr,14,0.7722306450208029,0.0044454606977941576,0.772231 +- 0.004445,3,0.5596767465273539,0.006008605422921742,0.559677 +- 0.006009,3
fr,15,0.7754221359888712,0.004510172305898199,0.775422 +- 0.004510,3,0.558568517367045,0.006044363405259717,0.558569 +- 0.006044,3
fr,16,0.7742934823036194,0.003960092210782598,0.774293 +- 0.003960,3,0.5585682392120361,0.0054644949627017814,0.558568 +- 0.005464,3
fr,17,0.7674661080042521,0.00397894306089847,0.767466 +- 0.003979,3,0.5453063249588013,0.005772132524641581,0.545306 +- 0.005772,3
fr,18,0.7686424454053243,0.004042316281509564,0.768642 +- 0.004042,3,0.5180906454722086,0.005747038314488806,0.518091 +- 0.005747,3
fr,19,0.7556585272153219,0.0034340384929660165,0.755659 +- 0.003434,3,0.5096611181894938,0.00485854566853952,0.509661 +- 0.004859,3
fr,20,0.7410789728164673,0.0039372477227909795,0.741079 +- 0.003937,3,0.4851315418879191,0.005085994107359927,0.485132 +- 0.005086,3
fr,21,0.7309767405192057,0.004094606468381291,0.730977 +- 0.004095,3,0.4624502857526143,0.004592874730176739,0.462450 +- 0.004593,3
fr,22,0.7257545590400696,0.004441013331195537,0.725755 +- 0.004441,3,0.4358283380667369,0.004563708619371008,0.435828 +- 0.004564,3
fr,23,0.7227984468142191,0.004662426179130386,0.722798 +- 0.004662,3,0.4107307394345601,0.004017637051390665,0.410731 +- 0.004018,3
fr,24,0.7031489014625549,0.004474293334662942,0.703149 +- 0.004474,3,0.3792465925216675,0.003417645602300521,0.379247 +- 0.003418,3
fr,25,0.697425901889801,0.004727312560870981,0.697426 +- 0.004727,3,0.37430606285731,0.0032133609471190496,0.374306 +- 0.003213,3
fr,26,0.6612478295962015,0.004636445347317011,0.661248 +- 0.004636,3,0.34027454257011414,0.0030456047600263105,0.340275 +- 0.003046,3
fr,27,0.6445017059644064,0.004430705175938488,0.644502 +- 0.004431,3,0.329393873612086,0.0029814608846169583,0.329394 +- 0.002981,3
fr,28,0.6307366291681925,0.004366202012250094,0.630737 +- 0.004366,3,0.3145883282025655,0.0030319318800410126,0.314588 +- 0.003032,3
fr,29,0.5997689763704935,0.004743274447983868,0.599769 +- 0.004743,3,0.3140230178833008,0.003384559486913338,0.314023 +- 0.003385,3
fr,30,0.5947743455568949,0.0048516139426904884,0.594774 +- 0.004852,3,0.30911781390508014,0.004142082138637367,0.309118 +- 0.004142,3
fr,31,0.5845986604690552,0.006082834703851214,0.584599 +- 0.006083,3,0.31399595737457275,0.00542870142599433,0.313996 +- 0.005429,3
