language,layer,cosine_sim_mean,cosine_sim_std,cosine_sim_mean_pm_std,cosine_sim_n_seeds,cosine_sim_adjusted_mean,cosine_sim_adjusted_std,cosine_sim_adjusted_mean_pm_std,cosine_sim_adjusted_n_seeds
es,0,0.705964724222819,0.011548914159636487,0.705965 +- 0.011549,3,0.3683616320292155,0.008856962777509345,0.368362 +- 0.008857,3
es,1,0.6714597344398499,0.01265954973109541,0.671460 +- 0.012660,3,0.38726454973220825,0.013603771814778011,0.387265 +- 0.013604,3
es,2,0.7064608335494995,0.011722028388060196,0.706461 +- 0.011722,3,0.36886584758758545,0.013531407838120707,0.368866 +- 0.013531,3
es,3,0.6968717575073242,0.009989460022320264,0.696872 +- 0.009989,3,0.41323238611221313,0.01111616663294515,0.413232 +- 0.011116,3
es,4,0.7065596977869669,0.008067147648461979,0.706560 +- 0.008067,3,0.44676066438357037,0.010190991309401438,0.446761 +- 0.010191,3
es,5,0.724798341592153,0.007967397640789213,0.724798 +- 0.007967,3,0.4509019653002421,0.010022995484310999,0.450902 +- 0.010023,3
es,6,0.7326439221700033,0.00785401319846133,0.732644 +- 0.007854,3,0.48651904861132306,0.009376291778143513,0.486519 +- 0.009376,3
es,7,0.7485624750455221,0.00623286434757561,0.748562 +- 0.006233,3,0.5153793295224508,0.008168784161206746,0.515379 +- 0.008169,3
es,8,0.7545211712519327,0.005715756427155589,0.754521 +- 0.005716,3,0.5175570448239645,0.007941511688921222,0.517557 +- 0.007942,3
es,9,0.7660935322443644,0.006273388495165858,0.766094 +- 0.006273,3,0.5135398308436075,0.008740307924479036,0.513540 +- 0.008740,3
es,10,0.768110990524292,0.006285683132214789,0.768111 +- 0.006286,3,0.5277421474456787,0.008533815313099926,0.527742 +- 0.008534,3
es,11,0.7655896147092184,0.006353896121555052,0.765590 +- 0.006354,3,0.5290714701016744,0.00883366841522163,0.529071 +- 0.008834,3
es,12,0.781200647354126,0.005600869326399817,0.781201 +- 0.005601,3,0.532476524511973,0.00871356562970312,0.532477 +- 0.008714,3
es,13,0.7768415808677673,0.0058682815492955296,0.776842 +- 0.005868,3,0.5494690537452698,0.008244679442546853,0.549469 +- 0.008245,3
es,14,0.7736002405484518,0.006095470742215901,0.773600 +- 0.006095,3,0.5481186310450236,0.008788700454905268,0.548119 +- 0.008789,3
es,15,0.7766541242599487,0.00588786731780518,0.776654 +- 0.005888,3,0.5447194973627726,0.009178169579782326,0.544719 +- 0.009178,3
es,16,0.7707069516181946,0.0054499826214175874,0.770707 +- 0.005450,3,0.5422735810279846,0.007920913006421216,0.542274 +- 0.007921,3
es,17,0.7631844878196716,0.005516678324367642,0.763184 +- 0.005517,3,0.525970995426178,0.008418319993787164,0.525971 +- 0.008418,3
es,18,0.7628836234410604,0.005201719726114265,0.762884 +- 0.005202,3,0.49684301018714905,0.00801719539716682,0.496843 +- 0.008017,3
es,19,0.7492979566256205,0.005122792514784886,0.749298 +- 0.005123,3,0.4886026978492737,0.007545340120917258,0.488603 +- 0.007545,3
es,20,0.7312592267990112,0.005604409571204943,0.731259 +- 0.005604,3,0.4640670915444692,0.008104394962684447,0.464067 +- 0.008104,3
es,21,0.7226382891337076,0.005390392473711502,0.722638 +- 0.005390,3,0.44055630763371784,0.007582463388774122,0.440556 +- 0.007582,3
es,22,0.7206857800483704,0.005637394159002322,0.720686 +- 0.005637,3,0.41480498512585956,0.007657984477155274,0.414805 +- 0.007658,3
es,23,0.7200238108634949,0.005681438980555914,0.720024 +- 0.005681,3,0.3905794620513916,0.006988084388100176,0.390579 +- 0.006988,3
es,24,0.7005287011464437,0.005562622630570625,0.700529 +- 0.005563,3,0.36088091135025024,0.006361060029076959,0.360881 +- 0.006361,3
es,25,0.6876435875892639,0.005935396678944026,0.687644 +- 0.005935,3,0.355319748322169,0.006098049790356993,0.355320 +- 0.006098,3
es,26,0.6700060764948527,0.005608777132165231,0.670006 +- 0.005609,3,0.32595028479894,0.005520402982159378,0.325950 +- 0.005520,3
es,27,0.6514279246330261,0.005761891120912583,0.651428 +- 0.005762,3,0.31510278582572937,0.00541965330498602,0.315103 +- 0.005420,3
es,28,0.6387452483177185,0.005568948802096866,0.638745 +- 0.005569,3,0.30347562829653424,0.005448724396957233,0.303476 +- 0.005449,3
es,29,0.611927350362142,0.005786578067486261,0.611927 +- 0.005787,3,0.3029377957185109,0.0060520146493333255,0.302938 +- 0.006052,3
es,30,0.5983264644940695,0.006440900965911095,0.598326 +- 0.006441,3,0.2975423038005829,0.0069848242016992985,0.297542 +- 0.006985,3
es,31,0.595331052939097,0.009302413799747352,0.595331 +- 0.009302,3,0.2976064185301463,0.009480497035805691,0.297606 +- 0.009480,3
