language,layer,cosine_sim_mean,cosine_sim_std,cosine_sim_mean_pm_std,cosine_sim_n_seeds,cosine_sim_adjusted_mean,cosine_sim_adjusted_std,cosine_sim_adjusted_mean_pm_std,cosine_sim_adjusted_n_seeds
ru,0,0.6807021498680115,0.01116606951085796,0.680702 +- 0.011166,3,0.3503619929154714,0.007187053415885317,0.350362 +- 0.007187,3
ru,1,0.6477729280789694,0.010831629712567254,0.647773 +- 0.010832,3,0.37785497307777405,0.010670264126128823,0.377855 +- 0.010670,3
ru,2,0.6895000338554382,0.008726934704333274,0.689500 +- 0.008727,3,0.36678041021029156,0.00934757885395543,0.366780 +- 0.009348,3
ru,3,0.674879233042399,0.007074915792205768,0.674879 +- 0.007075,3,0.4045526683330536,0.007284987464876395,0.404553 +- 0.007285,3
ru,4,0.6854614416758219,0.005544049484182625,0.685461 +- 0.005544,3,0.4348046084245046,0.00695910242819775,0.434805 +- 0.006959,3
ru,5,0.7094367742538452,0.005345249116685541,0.709437 +- 0.005345,3,0.4449959595998128,0.006382808830383849,0.444996 +- 0.006383,3
ru,6,0.7162784536679586,0.005610241842698775,0.716278 +- 0.005610,3,0.48025694489479065,0.006610036296449664,0.480257 +- 0.006610,3
ru,7,0.7331910729408264,0.004836466571654551,0.733191 +- 0.004836,3,0.5070913434028625,0.006237891949226368,0.507091 +- 0.006238,3
ru,8,0.7387332717577616,0.004314120700260675,0.738733 +- 0.004314,3,0.5085236231486002,0.006108224630501625,0.508524 +- 0.006108,3
ru,9,0.7492697636286417,0.003967060262488271,0.749270 +- 0.003967,3,0.5041666229565939,0.005647540914771155,0.504167 +- 0.005648,3
ru,10,0.7507319251696268,0.003965849718329355,0.750732 +- 0.003966,3,0.5180873076121012,0.0056746442866215194,0.518087 +- 0.005675,3
ru,11,0.7487188180287679,0.0039868125925195405,0.748719 +- 0.003987,3,0.5177687406539917,0.005834064747623941,0.517769 +- 0.005834,3
ru,12,0.766303559144338,0.0030111697343431876,0.766304 +- 0.003011,3,0.5225613514582316,0.005180510815344175,0.522561 +- 0.005181,3
ru,13,0.762991746266683,0.00364507858521898,0.762992 +- 0.003645,3,0.5409767230351766,0.00516609334927676,0.540977 +- 0.005166,3
ru,14,0.7604479193687439,0.004249192093449514,0.760448 +- 0.004249,3,0.5410974423090616,0.005966408326032642,0.541097 +- 0.005966,3
ru,15,0.7662881016731262,0.0038448549543489167,0.766288 +- 0.003845,3,0.5402661760648092,0.006171291783315528,0.540266 +- 0.006171,3
ru,16,0.7586172819137573,0.00388739469979372,0.758617 +- 0.003887,3,0.5371632774670919,0.005121907759508802,0.537163 +- 0.005122,3
ru,17,0.7506291468938192,0.003957762490768367,0.750629 +- 0.003958,3,0.5203364292780558,0.00597332497106234,0.520336 +- 0.005973,3
ru,18,0.7486454049746195,0.0037208912588865646,0.748645 +- 0.003721,3,0.49052950739860535,0.0058807868779497344,0.490530 +- 0.005881,3
ru,19,0.7307081421216329,0.0035957861708098343,0.730708 +- 0.003596,3,0.4799759089946747,0.005362842254449433,0.479976 +- 0.005363,3
ru,20,0.7148837447166443,0.003474745512795364,0.714884 +- 0.003475,3,0.4554351468880971,0.005746062926282283,0.455435 +- 0.005746,3
ru,21,0.7055137952168783,0.0029322894647131233,0.705514 +- 0.002932,3,0.43331775069236755,0.005410906817992285,0.433318 +- 0.005411,3
ru,22,0.6973217924435934,0.0025416246515144666,0.697322 +- 0.002542,3,0.4056445360183716,0.005230354007880994,0.405645 +- 0.005230,3
ru,23,0.6995416084925333,0.0024911015992429403,0.699542 +- 0.002491,3,0.38360970218976337,0.004859331441369421,0.383610 +- 0.004859,3
ru,24,0.6764654119809469,0.002624437053728581,0.676465 +- 0.002624,3,0.35178088148434955,0.004294814174300959,0.351781 +- 0.004295,3
ru,25,0.6743376056353251,0.002998841024182887,0.674338 +- 0.002999,3,0.34667221705118817,0.003987269675116118,0.346672 +- 0.003987,3
ru,26,0.6678603490193685,0.0027594701904593067,0.667860 +- 0.002759,3,0.3204350272814433,0.003810268091608195,0.320435 +- 0.003810,3
ru,27,0.6424916386604309,0.0029320853625241995,0.642492 +- 0.002932,3,0.30900659163792926,0.0035428837019472735,0.309007 +- 0.003543,3
ru,28,0.6384486357371012,0.002920209413347428,0.638449 +- 0.002920,3,0.2986405591169993,0.003561734823576907,0.298641 +- 0.003562,3
ru,29,0.6230923136075338,0.003403441902454892,0.623092 +- 0.003403,3,0.30411791801452637,0.003643562827617373,0.304118 +- 0.003644,3
ru,30,0.5752678314844767,0.003686578580738343,0.575268 +- 0.003687,3,0.2895497481028239,0.004097025402313775,0.289550 +- 0.004097,3
ru,31,0.5293782552083334,0.00481176607307517,0.529378 +- 0.004812,3,0.273247351249059,0.004851240249575167,0.273247 +- 0.004851,3
