language,layer,cosine_sim_mean,cosine_sim_std,cosine_sim_mean_pm_std,cosine_sim_n_seeds,cosine_sim_adjusted_mean,cosine_sim_adjusted_std,cosine_sim_adjusted_mean_pm_std,cosine_sim_adjusted_n_seeds
fr,0,0.662665069103241,0.007081571752408979,0.662665 +- 0.007082,3,0.3487341006596883,0.0057689064731488255,0.348734 +- 0.005769,3
fr,1,0.6073349118232727,0.008754350712985364,0.607335 +- 0.008754,3,0.3703082899252574,0.007046997338328295,0.370308 +- 0.007047,3
fr,2,0.6605912844340006,0.008713387889575187,0.660591 +- 0.008713,3,0.36530839403470355,0.006934941258958182,0.365308 +- 0.006935,3
fr,3,0.6594222585360209,0.00741578663304301,0.659422 +- 0.007416,3,0.40871138374010724,0.00635100133079592,0.408711 +- 0.006351,3
fr,4,0.6781252225240072,0.005704949392585761,0.678125 +- 0.005705,3,0.44464101394017536,0.005912896800393684,0.444641 +- 0.005913,3
fr,5,0.706787904103597,0.005194446524399849,0.706788 +- 0.005194,3,0.456137756506602,0.0055012905436843855,0.456138 +- 0.005501,3
fr,6,0.7165809273719788,0.004471870579234077,0.716581 +- 0.004472,3,0.49224186937014264,0.00485419796449603,0.492242 +- 0.004854,3
fr,7,0.7350480556488037,0.003928493742777851,0.735048 +- 0.003928,3,0.5198170145352682,0.004633920777161025,0.519817 +- 0.004634,3
fr,8,0.7403054634730021,0.0036114829141887165,0.740305 +- 0.003611,3,0.5237769484519958,0.00475613424384362,0.523777 +- 0.004756,3
fr,9,0.7527876496315002,0.00443920353782955,0.752788 +- 0.004439,3,0.5238393743832906,0.00574565135795896,0.523839 +- 0.005746,3
fr,10,0.7560678124427795,0.00478799779643659,0.756068 +- 0.004788,3,0.5382838646570841,0.005828073799103488,0.538284 +- 0.005828,3
fr,11,0.7551784912745158,0.004850230629603944,0.755178 +- 0.004850,3,0.540531317392985,0.00614453980311493,0.540531 +- 0.006145,3
fr,12,0.7700892686843872,0.004486809112843265,0.770089 +- 0.004487,3,0.5447579224904379,0.006229226995245456,0.544758 +- 0.006229,3
fr,13,0.7669468720753988,0.004218970437347288,0.766947 +- 0.004219,3,0.5622452696164449,0.005941697183447517,0.562245 +- 0.005942,3
fr,14,0.7616339127222697,0.004364111134562469,0.761634 +- 0.004364,3,0.5613129933675131,0.005966577533116546,0.561313 +- 0.005967,3
fr,15,0.7636880675951639,0.004405802861242931,0.763688 +- 0.004406,3,0.5596608718236288,0.0060089013517575065,0.559661 +- 0.006009,3
fr,16,0.7618501385052999,0.0037405048683276,0.761850 +- 0.003741,3,0.5589003761609396,0.005333644028674307,0.558900 +- 0.005334,3
fr,17,0.7536159952481588,0.003669717036509248,0.753616 +- 0.003670,3,0.5450855692227682,0.005638580806233938,0.545086 +- 0.005639,3
fr,18,0.7540522217750549,0.003629810715866624,0.754052 +- 0.003630,3,0.5207527875900269,0.00560547184826871,0.520753 +- 0.005605,3
fr,19,0.740339457988739,0.003059367969701727,0.740339 +- 0.003059,3,0.5120343168576559,0.004831630339934014,0.512034 +- 0.004832,3
fr,20,0.7259563008944193,0.003655162642909256,0.725956 +- 0.003655,3,0.4872085750102997,0.0051130338261703235,0.487209 +- 0.005113,3
fr,21,0.7148493925730387,0.0038524942536458796,0.714849 +- 0.003852,3,0.4647525151570638,0.004736560567510836,0.464753 +- 0.004737,3
fr,22,0.7100604375203451,0.004336639861411762,0.710060 +- 0.004337,3,0.43780548373858136,0.004797379896091991,0.437805 +- 0.004797,3
fr,23,0.7063820560773214,0.004674443284151819,0.706382 +- 0.004674,3,0.4127304454644521,0.004369559961182284,0.412730 +- 0.004370,3
fr,24,0.6888799866040548,0.00461562442723881,0.688880 +- 0.004616,3,0.3801361819108327,0.003743806899927987,0.380136 +- 0.003744,3
fr,25,0.6826585332552592,0.0047896197541262495,0.682659 +- 0.004790,3,0.37437881032625836,0.003549665288613089,0.374379 +- 0.003550,3
fr,26,0.6471741398175558,0.004744458050616786,0.647174 +- 0.004744,3,0.340403288602829,0.003346760796470648,0.340403 +- 0.003347,3
fr,27,0.6303646564483643,0.004599217233814354,0.630365 +- 0.004599,3,0.32881787419319153,0.0032705258030974534,0.328818 +- 0.003271,3
fr,28,0.6158694426218668,0.00458399667131131,0.615869 +- 0.004584,3,0.31309454639752704,0.003338730022884014,0.313095 +- 0.003339,3
fr,29,0.583885908126831,0.0049475217796136044,0.583886 +- 0.004948,3,0.31157903869946796,0.003758659418918329,0.311579 +- 0.003759,3
fr,30,0.5795782605806986,0.0048792790730980435,0.579578 +- 0.004879,3,0.3053218921025594,0.004389739960532203,0.305322 +- 0.004390,3
fr,31,0.5674576560656229,0.005628082488132638,0.567458 +- 0.005628,3,0.30624740322430927,0.005520653605984997,0.306247 +- 0.005521,3
