language,layer,cosine_sim_mean,cosine_sim_std,cosine_sim_mean_pm_std,cosine_sim_n_seeds,cosine_sim_adjusted_mean,cosine_sim_adjusted_std,cosine_sim_adjusted_mean_pm_std,cosine_sim_adjusted_n_seeds
es,0,0.706416130065918,0.011549159276054394,0.706416 +- 0.011549,3,0.36805111169815063,0.00885640628130034,0.368051 +- 0.008856,3
es,1,0.6721052924791971,0.012649095764368574,0.672105 +- 0.012649,3,0.38694212834040326,0.01361537745860098,0.386942 +- 0.013615,3
es,2,0.7071257630983988,0.011702092749777971,0.707126 +- 0.011702,3,0.3686081071694692,0.013496155993752063,0.368608 +- 0.013496,3
es,3,0.6976503133773804,0.010014616607329632,0.697650 +- 0.010015,3,0.4131795068581899,0.01110905657715602,0.413180 +- 0.011109,3
es,4,0.7076167464256287,0.008086888298044126,0.707617 +- 0.008087,3,0.4467553397019704,0.01017436126114826,0.446755 +- 0.010174,3
es,5,0.7262865503629049,0.007996772684058741,0.726287 +- 0.007997,3,0.451013187567393,0.010020209343477525,0.451013 +- 0.010020,3
es,6,0.7345400055249532,0.007868715098258742,0.734540 +- 0.007869,3,0.4864226778348287,0.009361030059808002,0.486423 +- 0.009361,3
es,7,0.7511389056841532,0.006247496183817654,0.751139 +- 0.006247,3,0.5151666204134623,0.008130563752893847,0.515167 +- 0.008131,3
es,8,0.7579416831334432,0.005726617965362299,0.757942 +- 0.005727,3,0.5163079500198364,0.007897428808166526,0.516308 +- 0.007897,3
es,9,0.7702082196871439,0.006270927253565239,0.770208 +- 0.006271,3,0.5114404559135437,0.008697937517283556,0.511440 +- 0.008698,3
es,10,0.7728731433550516,0.006282109168228848,0.772873 +- 0.006282,3,0.5252871116002401,0.008491236321407707,0.525287 +- 0.008491,3
es,11,0.7705666025479635,0.006336587144711707,0.770567 +- 0.006337,3,0.5273227095603943,0.008789879911178486,0.527323 +- 0.008790,3
es,12,0.7859081029891968,0.00561385781558265,0.785908 +- 0.005614,3,0.5308297276496887,0.00865410484405063,0.530830 +- 0.008654,3
es,13,0.7816414634386698,0.0058934666475683305,0.781641 +- 0.005893,3,0.5485004583994547,0.008227344279849658,0.548500 +- 0.008227,3
es,14,0.7781741619110107,0.006135618836656644,0.778174 +- 0.006136,3,0.5479365984598795,0.008800801928795378,0.547937 +- 0.008801,3
es,15,0.7812546292940775,0.005948874981887672,0.781255 +- 0.005949,3,0.5444821317990621,0.00922890679700109,0.544482 +- 0.009229,3
es,16,0.7751317024230957,0.005544103734622582,0.775132 +- 0.005544,3,0.5423873861630758,0.007983485170157996,0.542387 +- 0.007983,3
es,17,0.7677884499231974,0.005635255862070993,0.767788 +- 0.005635,3,0.526841918627421,0.008507241346295512,0.526842 +- 0.008507,3
es,18,0.7671277523040771,0.005326717085770459,0.767128 +- 0.005327,3,0.49798208475112915,0.00815422149601173,0.497982 +- 0.008154,3
es,19,0.7534903486569723,0.005307369190554545,0.753490 +- 0.005307,3,0.48991526166598004,0.007740803349379317,0.489915 +- 0.007741,3
es,20,0.7353468934694926,0.0057870439133278564,0.735347 +- 0.005787,3,0.46580586830774945,0.008275012036598224,0.465806 +- 0.008275,3
es,21,0.7261927525202433,0.005599995565668249,0.726193 +- 0.005600,3,0.4419802526632945,0.007759416959357464,0.441980 +- 0.007759,3
es,22,0.7235967119534811,0.005859230428071354,0.723597 +- 0.005859,3,0.41643237074216205,0.007815536975380804,0.416432 +- 0.007816,3
es,23,0.7222533226013184,0.0059015868806516015,0.722253 +- 0.005902,3,0.3924150963624318,0.007150831870369897,0.392415 +- 0.007151,3
es,24,0.7016107439994812,0.005841169557077557,0.701611 +- 0.005841,3,0.36232168475786847,0.006522205594765014,0.362322 +- 0.006522,3
es,25,0.6885165969530741,0.006238268088768949,0.688517 +- 0.006238,3,0.35594409704208374,0.00621310377361845,0.355944 +- 0.006213,3
es,26,0.670490562915802,0.005868620504982411,0.670491 +- 0.005869,3,0.32630298535029095,0.005608572137039643,0.326303 +- 0.005609,3
es,27,0.6516777078310648,0.00600261223636107,0.651678 +- 0.006003,3,0.31495700279871625,0.005503558747250801,0.314957 +- 0.005504,3
es,28,0.638109544912974,0.0057778673017165015,0.638110 +- 0.005778,3,0.3029371400674184,0.005490992064475853,0.302937 +- 0.005491,3
es,29,0.6113560398419698,0.005974903076101648,0.611356 +- 0.005975,3,0.30173131823539734,0.00603580255538708,0.301731 +- 0.006036,3
es,30,0.597071647644043,0.00659710858744361,0.597072 +- 0.006597,3,0.29660836855570477,0.0069479748981685985,0.296608 +- 0.006948,3
es,31,0.5894842942555746,0.00936825190172216,0.589484 +- 0.009368,3,0.29890307784080505,0.009435740276675549,0.298903 +- 0.009436,3
