language,layer,cosine_sim_mean,cosine_sim_std,cosine_sim_mean_pm_std,cosine_sim_n_seeds,cosine_sim_adjusted_mean,cosine_sim_adjusted_std,cosine_sim_adjusted_mean_pm_std,cosine_sim_adjusted_n_seeds
fr,0,0.6632700562477112,0.007074632721694816,0.663270 +- 0.007075,3,0.3486589590708415,0.0057545035720594755,0.348659 +- 0.005755,3
fr,1,0.6079910198847452,0.008738199843070804,0.607991 +- 0.008738,3,0.3702009816964467,0.007058200412853393,0.370201 +- 0.007058,3
fr,2,0.6610950628916422,0.008674853367335193,0.661095 +- 0.008675,3,0.3647969762484233,0.006877140217425888,0.364797 +- 0.006877,3
fr,3,0.66019606590271,0.007468243063521118,0.660196 +- 0.007468,3,0.4082948962847392,0.006401811725038366,0.408295 +- 0.006402,3
fr,4,0.6796277165412903,0.005792618190681388,0.679628 +- 0.005793,3,0.4441342850526174,0.0059840669295792995,0.444134 +- 0.005984,3
fr,5,0.7091149489084879,0.005273747779599665,0.709115 +- 0.005274,3,0.4553289512793223,0.0055675291071350125,0.455329 +- 0.005568,3
fr,6,0.7197673320770264,0.004521954049528682,0.719767 +- 0.004522,3,0.4913631081581116,0.004907742872979067,0.491363 +- 0.004908,3
fr,7,0.7397031784057617,0.003944964976831803,0.739703 +- 0.003945,3,0.5198096831639608,0.004608811440852053,0.519810 +- 0.004609,3
fr,8,0.7473531564076742,0.0036253585027783046,0.747353 +- 0.003625,3,0.5213258266448975,0.0047333483330611725,0.521326 +- 0.004733,3
fr,9,0.7618646621704102,0.004441050686018674,0.761865 +- 0.004441,3,0.518888016541799,0.005678687516179092,0.518888 +- 0.005679,3
fr,10,0.766390303770701,0.0048191040345204085,0.766390 +- 0.004819,3,0.5333022077878317,0.005781466194885171,0.533302 +- 0.005781,3
fr,11,0.7662736177444458,0.004927122537924146,0.766274 +- 0.004927,3,0.5361749331156412,0.006198672356753799,0.536175 +- 0.006199,3
fr,12,0.7815626263618469,0.004635280869131283,0.781563 +- 0.004635,3,0.5403073827425638,0.006273983171296397,0.540307 +- 0.006274,3
fr,13,0.7793655196825663,0.004436806940824096,0.779366 +- 0.004437,3,0.55967249472936,0.006130997590947098,0.559672 +- 0.006131,3
fr,14,0.7747873663902283,0.004574695818418229,0.774787 +- 0.004575,3,0.5599051117897034,0.006183229750255017,0.559905 +- 0.006183,3
fr,15,0.7779669761657715,0.0046248199266441916,0.777967 +- 0.004625,3,0.5584996143976847,0.006227703029090358,0.558500 +- 0.006228,3
fr,16,0.7767777840296427,0.004093661563384678,0.776778 +- 0.004094,3,0.5590624610582987,0.005650316151322553,0.559062 +- 0.005650,3
fr,17,0.7702380418777466,0.004163854422884177,0.770238 +- 0.004164,3,0.5460102359453837,0.006016314048393192,0.546010 +- 0.006016,3
fr,18,0.7714834411938986,0.004206718575151222,0.771483 +- 0.004207,3,0.5185239116350809,0.005994003369260687,0.518524 +- 0.005994,3
fr,19,0.7587505380312601,0.0036128413167034763,0.758751 +- 0.003613,3,0.510163942972819,0.005124290853261249,0.510164 +- 0.005124,3
fr,20,0.7440398534138998,0.004082428784666894,0.744040 +- 0.004082,3,0.48608653744061786,0.005316667239634241,0.486087 +- 0.005317,3
fr,21,0.7339991927146912,0.004227394510926393,0.733999 +- 0.004227,3,0.4628232717514038,0.004800747354630681,0.462823 +- 0.004801,3
fr,22,0.7285691897074381,0.0045359338775790466,0.728569 +- 0.004536,3,0.4362613459428151,0.004718871668985002,0.436261 +- 0.004719,3
fr,23,0.7255130012830099,0.004760401875938527,0.725513 +- 0.004760,3,0.41113002101580304,0.004153627769794333,0.411130 +- 0.004154,3
fr,24,0.7053165833155314,0.004575788510983055,0.705317 +- 0.004576,3,0.3796857496102651,0.003540795673500874,0.379686 +- 0.003541,3
fr,25,0.6995338996251425,0.004848575877064562,0.699534 +- 0.004849,3,0.3745836913585663,0.003314470372966574,0.374584 +- 0.003314,3
fr,26,0.663877526919047,0.004765282885748694,0.663878 +- 0.004765,3,0.3403913974761963,0.003152697122670273,0.340391 +- 0.003153,3
fr,27,0.6470147172609965,0.004588448685166121,0.647015 +- 0.004588,3,0.3292628626028697,0.0030886728870881046,0.329263 +- 0.003089,3
fr,28,0.6333577632904053,0.0045210792373727065,0.633358 +- 0.004521,3,0.31453342239061993,0.0031175713082786105,0.314533 +- 0.003118,3
fr,29,0.6023128430048624,0.004860926021051997,0.602313 +- 0.004861,3,0.313901553551356,0.0034418017925053365,0.313902 +- 0.003442,3
fr,30,0.5965804656346639,0.0049674599130174,0.596580 +- 0.004967,3,0.3093787332375844,0.004169551926361133,0.309379 +- 0.004170,3
fr,31,0.5853182077407837,0.006305328478828753,0.585318 +- 0.006305,3,0.3167707721392314,0.00547059881443392,0.316771 +- 0.005471,3
