language,layer,cosine_sim_mean,cosine_sim_std,cosine_sim_mean_pm_std,cosine_sim_n_seeds,cosine_sim_adjusted_mean,cosine_sim_adjusted_std,cosine_sim_adjusted_mean_pm_std,cosine_sim_adjusted_n_seeds
fr,0,0.6625885764757792,0.0070795957841688194,0.662589 +- 0.007080,3,0.34833235541979474,0.005774984267738821,0.348332 +- 0.005775,3
fr,1,0.6075153748194376,0.008710197114573059,0.607515 +- 0.008710,3,0.37035006284713745,0.007016336890177387,0.370350 +- 0.007016,3
fr,2,0.6603085001309713,0.008667979836801747,0.660309 +- 0.008668,3,0.3651365836461385,0.006904749168422979,0.365137 +- 0.006905,3
fr,3,0.6591604351997375,0.007413563988144999,0.659160 +- 0.007414,3,0.40840675433476764,0.00636859925208873,0.408407 +- 0.006369,3
fr,4,0.6782586773236593,0.005738148279371189,0.678259 +- 0.005738,3,0.44416139523188275,0.005962041896493156,0.444161 +- 0.005962,3
fr,5,0.7072592377662659,0.005228970348893006,0.707259 +- 0.005229,3,0.4551221827665965,0.005556853274404895,0.455122 +- 0.005557,3
fr,6,0.7172644933064779,0.004472238538934475,0.717264 +- 0.004472,3,0.49167882402737934,0.004865660760484144,0.491679 +- 0.004866,3
fr,7,0.7361076871554056,0.003914867619212399,0.736108 +- 0.003915,3,0.5204355120658875,0.004608862986183664,0.520436 +- 0.004609,3
fr,8,0.7425236503283182,0.003577314295100971,0.742524 +- 0.003577,3,0.523470918337504,0.0046941658458970045,0.523471 +- 0.004694,3
fr,9,0.7559510469436646,0.004398514416900428,0.755951 +- 0.004399,3,0.5227226217587789,0.005662910102373598,0.522723 +- 0.005663,3
fr,10,0.760128378868103,0.004715145902711134,0.760128 +- 0.004715,3,0.5364670554796854,0.005717053169045901,0.536467 +- 0.005717,3
fr,11,0.7597100933392843,0.0047740512610604385,0.759710 +- 0.004774,3,0.5391834576924642,0.006048150922310137,0.539183 +- 0.006048,3
fr,12,0.7751521666844686,0.004467547674772023,0.775152 +- 0.004468,3,0.5432451367378235,0.0061181188207483535,0.543245 +- 0.006118,3
fr,13,0.7725438674290975,0.004198946501868949,0.772544 +- 0.004199,3,0.5614114006360372,0.005884684284789838,0.561411 +- 0.005885,3
fr,14,0.7676332394282023,0.004336503577997016,0.767633 +- 0.004337,3,0.5612003803253174,0.005931813467656893,0.561200 +- 0.005932,3
fr,15,0.7702930370966593,0.004418414116602082,0.770293 +- 0.004418,3,0.5595824519793192,0.006019618723425994,0.559582 +- 0.006020,3
fr,16,0.7690121928850809,0.0037975612675478494,0.769012 +- 0.003798,3,0.5589579939842224,0.005375914637543165,0.558958 +- 0.005376,3
fr,17,0.7615585724512736,0.0038080785477716075,0.761559 +- 0.003808,3,0.545133113861084,0.005714807911764194,0.545133 +- 0.005715,3
fr,18,0.7626607219378153,0.003856441949860221,0.762661 +- 0.003856,3,0.5185058911641439,0.00567930404571062,0.518506 +- 0.005679,3
fr,19,0.7497071027755737,0.003263627832850476,0.749707 +- 0.003264,3,0.5094498793284098,0.004815437316023185,0.509450 +- 0.004815,3
fr,20,0.7353064020474752,0.0037946477683087824,0.735306 +- 0.003795,3,0.48496632774670917,0.005072745294364907,0.484966 +- 0.005073,3
fr,21,0.7250717480977377,0.003987049201826809,0.725072 +- 0.003987,3,0.462481955687205,0.004641266734737828,0.462482 +- 0.004641,3
fr,22,0.7203064362208048,0.004429057216330103,0.720306 +- 0.004429,3,0.4355587263902028,0.004685953086141089,0.435559 +- 0.004686,3
fr,23,0.7171555757522583,0.004686040379647213,0.717156 +- 0.004686,3,0.41034847497940063,0.004167159830308326,0.410348 +- 0.004167,3
fr,24,0.6984006961186727,0.004552450220782471,0.698401 +- 0.004552,3,0.3787662386894226,0.003568648724413005,0.378766 +- 0.003569,3
fr,25,0.6923410693804423,0.004736001096384957,0.692341 +- 0.004736,3,0.3740296761194865,0.0033733134261954875,0.374030 +- 0.003373,3
fr,26,0.6563216050465902,0.004637449810124627,0.656322 +- 0.004637,3,0.3401018480459849,0.003144678824532863,0.340102 +- 0.003145,3
fr,27,0.6392796635627747,0.00441518514725419,0.639280 +- 0.004415,3,0.3293204406897227,0.00307842050028638,0.329320 +- 0.003078,3
fr,28,0.6253802378972372,0.004369419308816526,0.625380 +- 0.004369,3,0.31432339549064636,0.0031258529770055448,0.314323 +- 0.003126,3
fr,29,0.5934420426686605,0.004724310589190933,0.593442 +- 0.004724,3,0.31389578183492023,0.00354719412693561,0.313896 +- 0.003547,3
fr,30,0.588543971379598,0.004735907346146135,0.588544 +- 0.004736,3,0.3085803786913554,0.004241564135670281,0.308580 +- 0.004242,3
fr,31,0.5798115531603495,0.005814255342014117,0.579812 +- 0.005814,3,0.3119577666123708,0.005420746752402907,0.311958 +- 0.005421,3
