language,layer,cosine_sim_mean,cosine_sim_std,cosine_sim_mean_pm_std,cosine_sim_n_seeds,cosine_sim_adjusted_mean,cosine_sim_adjusted_std,cosine_sim_adjusted_mean_pm_std,cosine_sim_adjusted_n_seeds
ru,0,0.6806622346242269,0.011170177542452512,0.680662 +- 0.011170,3,0.34985596934954327,0.0071847572613737915,0.349856 +- 0.007185,3
ru,1,0.6476619044939677,0.010871429677891129,0.647662 +- 0.010871,3,0.37766924500465393,0.010706811237586884,0.377669 +- 0.010707,3
ru,2,0.6890331705411276,0.00875191923097106,0.689033 +- 0.008752,3,0.3668974041938782,0.009348724371268614,0.366897 +- 0.009349,3
ru,3,0.6744979818662008,0.007098384845306678,0.674498 +- 0.007098,3,0.4047201871871948,0.007304396609196482,0.404720 +- 0.007304,3
ru,4,0.6849680542945862,0.005560799323235303,0.684968 +- 0.005561,3,0.434931884209315,0.006973552752852591,0.434932 +- 0.006974,3
ru,5,0.7089854677518209,0.005376135192347697,0.708985 +- 0.005376,3,0.44501230120658875,0.0064200453335048835,0.445012 +- 0.006420,3
ru,6,0.715607742468516,0.005667800728977653,0.715608 +- 0.005668,3,0.48057546218236286,0.006638364814247273,0.480575 +- 0.006638,3
ru,7,0.7323565681775411,0.004874850200329802,0.732357 +- 0.004875,3,0.5077437162399292,0.0062812905305151805,0.507744 +- 0.006281,3
ru,8,0.7376590967178345,0.004322901539879102,0.737659 +- 0.004323,3,0.5098399122556051,0.006090158872655598,0.509840 +- 0.006090,3
ru,9,0.7479354937871298,0.0039009757986093628,0.747935 +- 0.003901,3,0.5063730676968893,0.005583290195644092,0.506373 +- 0.005583,3
ru,10,0.7496479948361715,0.003913383217922715,0.749648 +- 0.003913,3,0.5193708141644796,0.005645368195013154,0.519371 +- 0.005645,3
ru,11,0.7475428581237793,0.003891077234517979,0.747543 +- 0.003891,3,0.5195638736089071,0.005718027511373956,0.519564 +- 0.005718,3
ru,12,0.7649563352266947,0.0029551786743480454,0.764956 +- 0.002955,3,0.5243290861447653,0.005090928904921989,0.524329 +- 0.005091,3
ru,13,0.761241098244985,0.0035411783665541814,0.761241 +- 0.003541,3,0.5423030853271484,0.005048167489607318,0.542303 +- 0.005048,3
ru,14,0.7579907377560934,0.004051305621409066,0.757991 +- 0.004051,3,0.5427476565043131,0.00574006061326499,0.542748 +- 0.005740,3
ru,15,0.7635550101598104,0.003680739616460339,0.763555 +- 0.003681,3,0.5418638785680135,0.005921090183801428,0.541864 +- 0.005921,3
ru,16,0.7555504242579142,0.003746685917295491,0.755550 +- 0.003747,3,0.5375749468803406,0.004893959002321323,0.537575 +- 0.004894,3
ru,17,0.7465975483258566,0.003928173630190631,0.746598 +- 0.003928,3,0.5206694404284159,0.005794472109699776,0.520669 +- 0.005794,3
ru,18,0.7438770135243734,0.0036672284372317706,0.743877 +- 0.003667,3,0.4916947881380717,0.005704256065002573,0.491695 +- 0.005704,3
ru,19,0.7249299089113871,0.0035097788891206316,0.724930 +- 0.003510,3,0.48007018367449444,0.005183111503386297,0.480070 +- 0.005183,3
ru,20,0.7089390953381857,0.003400623639746413,0.708939 +- 0.003401,3,0.45534037550290424,0.005568840680903962,0.455340 +- 0.005569,3
ru,21,0.6988069812456766,0.003012278772043437,0.698807 +- 0.003012,3,0.4336656828721364,0.005327684665012233,0.433666 +- 0.005328,3
ru,22,0.6905813415845236,0.0026776315785843638,0.690581 +- 0.002678,3,0.4057453175385793,0.005203445836403513,0.405745 +- 0.005203,3
ru,23,0.6919801831245422,0.002643172383936462,0.691980 +- 0.002643,3,0.38397188981374103,0.00485793114066103,0.383972 +- 0.004858,3
ru,24,0.6686936020851135,0.0028007132912536026,0.668694 +- 0.002801,3,0.35134702920913696,0.0042706144876327665,0.351347 +- 0.004271,3
ru,25,0.6664551893870035,0.0031520601967970226,0.666455 +- 0.003152,3,0.34578225016593933,0.0040007241861604575,0.345782 +- 0.004001,3
ru,26,0.6592362324396769,0.002926335381127622,0.659236 +- 0.002926,3,0.3196720878283183,0.0037954053713562903,0.319672 +- 0.003795,3
ru,27,0.6329641143480936,0.003112579727571722,0.632964 +- 0.003113,3,0.30787569284439087,0.003526059876822585,0.307876 +- 0.003526,3
ru,28,0.6280492742856344,0.003109518237609398,0.628049 +- 0.003110,3,0.29689600070317584,0.0035364528746395798,0.296896 +- 0.003536,3
ru,29,0.6119075814882914,0.0035252574826376156,0.611908 +- 0.003525,3,0.3020930886268616,0.0036507995639217454,0.302093 +- 0.003651,3
ru,30,0.5637370149294535,0.0038282732407081896,0.563737 +- 0.003828,3,0.2862013379732768,0.004224998381386567,0.286201 +- 0.004225,3
ru,31,0.5162811875343323,0.004895189342971613,0.516281 +- 0.004895,3,0.2676346997419993,0.0050327723803837935,0.267635 +- 0.005033,3
