language, model          , cosine_sim_layers_12_18_mean, cosine_sim_layers_12_18_n_values, cosine_sim_layers_12_18_n_seeds, cosine_sim_layer_16_mean, cosine_sim_layer_16_n_seeds, cosine_sim_adjusted_layers_12_18_mean, cosine_sim_adjusted_layers_12_18_n_values, cosine_sim_adjusted_layers_12_18_n_seeds, cosine_sim_adjusted_layer_16_mean, cosine_sim_adjusted_layer_16_n_seeds
de      , base-sft-dpo   ,           0.749483415058681 ,                               21,                               3,       0.752747654914856 ,                           3,                    0.5172557901768458,                                        21,                                        3,                0.5294268727302551,                                    3
de      , icr-dpo-ckpt36 ,           0.7512948967161632,                               21,                               3,       0.7545877695083618,                           3,                    0.5173314284710657,                                        21,                                        3,                0.5294264356295267,                                    3
de      , icr-npo-ckpt10 ,           0.7489918385233197,                               21,                               3,       0.7522401412328085,                           3,                    0.5173393516313463,                                        21,                                        3,                0.5294599334398905,                                    3
de      , icr-npo-ckpt36 ,           0.738541236945561 ,                               21,                               3,       0.7412648995717367,                           3,                    0.5184410810470581,                                        21,                                        3,                0.5294109781583151,                                    3
de      , icr-ppo-ckpt36 ,           0.7540516739799863,                               21,                               3,       0.7572072744369507,                           3,                    0.5176554095177424,                                        21,                                        3,                0.5300005276997884,                                    3
de      , icr-w-reinforce,           0.745768129825592 ,                               21,                               3,       0.7488422592480978,                           3,                    0.5180349364167168,                                        21,                                        3,                0.5295155644416809,                                    3
es      , base-sft-dpo   ,           0.7725307231857663,                               21,                               3,       0.7710999051729838,                           3,                    0.5340701114563715,                                        21,                                        3,                0.5421420931816101,                                    3
es      , icr-dpo-ckpt36 ,           0.7736838119370597,                               21,                               3,       0.7721598545710245,                           3,                    0.5336022887911115,                                        21,                                        3,                0.5414642294247946,                                    3
es      , icr-npo-ckpt10 ,           0.7721530937013172,                               21,                               3,       0.7707069516181946,                           3,                    0.5342673276151929,                                        21,                                        3,                0.5422735810279846,                                    3
es      , icr-npo-ckpt36 ,           0.7627293382372174,                               21,                               3,       0.7605864405632019,                           3,                    0.5365210601261684,                                        21,                                        3,                0.5429544448852539,                                    3
es      , icr-ppo-ckpt36 ,           0.7767180374690464,                               21,                               3,       0.7751317024230957,                           3,                    0.5341371865499587,                                        21,                                        3,                0.5423873861630758,                                    3
es      , icr-w-reinforce,           0.7693731188774109,                               21,                               3,       0.7676418026288351,                           3,                    0.5354933795474824,                                        21,                                        3,                0.5426609714825948,                                    3
fr      , base-sft-dpo   ,           0.771830215340569 ,                               21,                               3,       0.7726449171702067,                           3,                    0.548701096148718 ,                                        21,                                        3,                0.5587108929951986,                                    3
fr      , icr-dpo-ckpt36 ,           0.7734562896546864,                               21,                               3,       0.7742934823036194,                           3,                    0.548657394590832 ,                                        21,                                        3,                0.5585682392120361,                                    3
fr      , icr-npo-ckpt10 ,           0.7713610160918463,                               21,                               3,       0.7721697489420573,                           3,                    0.5487841651553199,                                        21,                                        3,                0.5587319930394491,                                    3
fr      , icr-npo-ckpt36 ,           0.7616966395151048,                               21,                               3,       0.7618501385052999,                           3,                    0.5503879700388227,                                        21,                                        3,                0.5589003761609396,                                    3
fr      , icr-ppo-ckpt36 ,           0.776025965100243 ,                               21,                               3,       0.7767777840296427,                           3,                    0.5488544588997251,                                        21,                                        3,                0.5590624610582987,                                    3
fr      , icr-w-reinforce,           0.7684076854160854,                               21,                               3,       0.7690121928850809,                           3,                    0.5497194812411353,                                        21,                                        3,                0.5589579939842224,                                    3
ru      , base-sft-dpo   ,           0.7596836232003712,                               21,                               3,       0.7592222094535828,                           3,                    0.5275374807062603,                                        21,                                        3,                0.5372500022252401,                                    3
ru      , icr-dpo-ckpt36 ,           0.7620279079391843,                               21,                               3,       0.7615563273429871,                           3,                    0.5281261461121696,                                        21,                                        3,                0.5377294421195984,                                    3
ru      , icr-npo-ckpt10 ,           0.7591318800335839,                               21,                               3,       0.7586172819137573,                           3,                    0.5275615581444332,                                        21,                                        3,                0.5371632774670919,                                    3
ru      , icr-npo-ckpt36 ,           0.7478338621911549,                               21,                               3,       0.7465391755104065,                           3,                    0.5281931147688911,                                        21,                                        3,                0.5360275109608968,                                    3
ru      , icr-ppo-ckpt36 ,           0.7643302423613412,                               21,                               3,       0.7637930115063986,                           3,                    0.527946834053312 ,                                        21,                                        3,                0.5379392703374227,                                    3
ru      , icr-w-reinforce,           0.7562525953565326,                               21,                               3,       0.7555504242579142,                           3,                    0.5287404117130098,                                        21,                                        3,                0.5375749468803406,                                    3
