language, model          , n_layers, first_layer, last_layer, mean_id_across_layers, std_id_across_layers
de      , base-sft-dpo   ,       32,           0,         31,    17.106800444172908,   1.460246446956346
de      , icr-dpo-ckpt36 ,       32,           0,         31,    16.982765711024808,   1.4494864554854991
de      , icr-npo-ckpt10 ,       32,           0,         31,    17.129071194840044,   1.4571741249079497
de      , icr-npo-ckpt36 ,       32,           0,         31,    17.620916568809744,   1.5273812948071992
de      , icr-ppo-ckpt36 ,       32,           0,         31,    16.28267049093754 ,   1.2250656781066018
de      , icr-w-reinforce,       32,           0,         31,    17.219529384391812,   1.479926671182007
en      , base-sft-dpo   ,       32,           0,         31,    16.82900755696623 ,   1.3367881141497127
en      , icr-dpo-ckpt36 ,       32,           0,         31,    16.83668349342277 ,   1.3279162547638852
en      , icr-npo-ckpt10 ,       32,           0,         31,    16.847932833961544,   1.3419578229816864
en      , icr-npo-ckpt36 ,       32,           0,         31,    17.359438639186564,   1.4944870367067205
en      , icr-ppo-ckpt36 ,       32,           0,         31,    15.517085194396474,   1.1356508984952105
en      , icr-w-reinforce,       32,           0,         31,    17.058772319256086,   1.392509031839607
es      , base-sft-dpo   ,       32,           0,         31,    16.6714563978745  ,   1.343604619766713
es      , icr-dpo-ckpt36 ,       32,           0,         31,    16.571347886542583,   1.3180099643621683
es      , icr-npo-ckpt10 ,       32,           0,         31,    16.68172586073184 ,   1.337566356460425
es      , icr-npo-ckpt36 ,       32,           0,         31,    17.027461760400822,   1.3635879757892522
es      , icr-ppo-ckpt36 ,       32,           0,         31,    15.21246754610623 ,   1.153529657844715
es      , icr-w-reinforce,       32,           0,         31,    16.7027240314743  ,   1.3667072934121614
fr      , base-sft-dpo   ,       32,           0,         31,    17.114993454671826,   1.848268107648247
fr      , icr-dpo-ckpt36 ,       32,           0,         31,    17.038231377456775,   1.8154167275782334
fr      , icr-npo-ckpt10 ,       32,           0,         31,    17.10621198705952 ,   1.8496886770184977
fr      , icr-npo-ckpt36 ,       32,           0,         31,    17.62767694491313 ,   1.9105894558158358
fr      , icr-ppo-ckpt36 ,       32,           0,         31,    16.38570940853003 ,   1.5741676741919255
fr      , icr-w-reinforce,       32,           0,         31,    17.269072396262793,   1.8763532754570937
ru      , base-sft-dpo   ,       32,           0,         31,    16.870430391560916,   1.4033370980892557
ru      , icr-dpo-ckpt36 ,       32,           0,         31,    16.814553140030167,   1.369485038007947
ru      , icr-npo-ckpt10 ,       32,           0,         31,    16.904215513153083,   1.3930342493841679
ru      , icr-npo-ckpt36 ,       32,           0,         31,    17.341032248180305,   1.4688681393500007
ru      , icr-ppo-ckpt36 ,       32,           0,         31,    15.989099598082808,   1.205191621490136
ru      , icr-w-reinforce,       32,           0,         31,    17.041672453000075,   1.41527725200005
