language,layer,id_mean,id_std,id_mean_pm_std,id_n_seeds,r_mean,r_std,r_mean_pm_std,r_n_seeds
en,0,11.61745892516019,0.8308833879315817,11.617459 +- 0.830883,3,0.4751188138764667,0.016163425792296446,0.475119 +- 0.016163,3
en,1,15.28375688872972,0.7549741248543199,15.283757 +- 0.754974,3,0.7215289827178041,0.013295148221986715,0.721529 +- 0.013295,3
en,2,14.599248141139626,0.530984342614423,14.599248 +- 0.530984,3,0.7503648953790596,0.013578474398269539,0.750365 +- 0.013578,3
en,3,15.68224364596181,0.9655204720661889,15.682244 +- 0.965520,3,0.8219655769467824,0.013512523918180957,0.821966 +- 0.013513,3
en,4,16.402537560182203,0.7551203889739316,16.402538 +- 0.755120,3,0.8780427964141405,0.011672027293149635,0.878043 +- 0.011672,3
en,5,16.10616459553108,1.5217025610044126,16.106165 +- 1.521703,3,0.8878068022107727,0.010109412071514131,0.887807 +- 0.010109,3
en,6,16.21146497776065,1.5976467231691345,16.211465 +- 1.597647,3,0.9087126536602496,0.009248902679490613,0.908713 +- 0.009249,3
en,7,16.633873976657952,1.499582912496518,16.633874 +- 1.499583,3,0.9272486267459031,0.008837323169001767,0.927249 +- 0.008837,3
en,8,17.58429382927192,1.5786833496514219,17.584294 +- 1.578683,3,0.9434913121383196,0.008768371505677717,0.943491 +- 0.008768,3
en,9,17.786667787103983,1.9680988469321175,17.786668 +- 1.968099,3,0.9577233985806182,0.008109524643656996,0.957723 +- 0.008110,3
en,10,17.794816714230606,1.732170284234868,17.794817 +- 1.732170,3,0.9626908170673829,0.008732364688531629,0.962691 +- 0.008732,3
en,11,17.89467611857716,1.5653481443878758,17.894676 +- 1.565348,3,0.9527469370451246,0.008472684036632224,0.952747 +- 0.008473,3
en,12,18.04774830019967,1.5736018239434486,18.047748 +- 1.573602,3,0.9526034589955132,0.007684776830571898,0.952603 +- 0.007685,3
en,13,18.712614627336418,1.5538949465357665,18.712615 +- 1.553895,3,0.9560273584956849,0.007605989775119891,0.956027 +- 0.007606,3
en,14,19.122851681333206,1.582853268417699,19.122852 +- 1.582853,3,0.9524545945848526,0.007002888935141549,0.952455 +- 0.007003,3
en,15,18.430324220862463,1.2974615755633254,18.430324 +- 1.297462,3,0.9392368356971458,0.006402630655679283,0.939237 +- 0.006403,3
en,16,17.93584914180376,1.2504079695997756,17.935849 +- 1.250408,3,0.9220761146286842,0.005897664259612094,0.922076 +- 0.005898,3
en,17,17.483454417187886,1.1920785646818965,17.483454 +- 1.192079,3,0.9161968983588461,0.0060636193735480026,0.916197 +- 0.006064,3
en,18,17.153047154299983,1.4965642533566976,17.153047 +- 1.496564,3,0.908122858965164,0.005799448597465958,0.908123 +- 0.005799,3
en,19,16.971089416720556,1.1065456524423345,16.971089 +- 1.106546,3,0.9087032215363222,0.004952153989772299,0.908703 +- 0.004952,3
en,20,16.94289543154084,0.9801078887985123,16.942895 +- 0.980108,3,0.9119591320019664,0.004513633179541163,0.911959 +- 0.004514,3
en,21,16.714418615300534,0.9216051642625135,16.714419 +- 0.921605,3,0.9115651401157285,0.004289453882816934,0.911565 +- 0.004289,3
en,22,16.72826824101779,0.9517007043585396,16.728268 +- 0.951701,3,0.9136683116867231,0.004322986797882328,0.913668 +- 0.004323,3
en,23,16.740000453805806,0.9386146818204073,16.740000 +- 0.938615,3,0.9126408234468842,0.004815359987713657,0.912641 +- 0.004815,3
en,24,16.62685911378997,0.5508880568716897,16.626859 +- 0.550888,3,0.9119945720742535,0.004234603178225873,0.911995 +- 0.004235,3
en,25,16.663616587893586,0.47227197641119,16.663617 +- 0.472272,3,0.9048269038307127,0.004831801382172473,0.904827 +- 0.004832,3
en,26,16.733304241865344,0.46507079690852937,16.733304 +- 0.465071,3,0.8968495351934533,0.005027611391575448,0.896850 +- 0.005028,3
en,27,16.65771904448195,0.4699108880675858,16.657719 +- 0.469911,3,0.8928265351347494,0.0052703830382668515,0.892827 +- 0.005270,3
en,28,16.705123625020356,0.37221340937337555,16.705124 +- 0.372213,3,0.888155260839854,0.004957712706272142,0.888155 +- 0.004958,3
en,29,16.65289744528264,0.4593865632350582,16.652897 +- 0.459387,3,0.8801513008623343,0.0049293609293575005,0.880151 +- 0.004929,3
en,30,16.865720088178197,0.39486639868305734,16.865720 +- 0.394866,3,0.8627565022560458,0.004441857874309708,0.862757 +- 0.004442,3
en,31,17.0432368146914,0.5258778683236922,17.043237 +- 0.525878,3,0.8495099085929007,0.0054661381438763906,0.849510 +- 0.005466,3
