language,layer,id_mean,id_std,id_mean_pm_std,id_n_seeds,r_mean,r_std,r_mean_pm_std,r_n_seeds
fr,0,12.513723017956078,0.9252426943078271,12.513723 +- 0.925243,3,0.43026438842026976,0.012878579253150032,0.430264 +- 0.012879,3
fr,1,13.731753366148137,0.9621197489330301,13.731753 +- 0.962120,3,0.6914945089706964,0.007140978487760467,0.691495 +- 0.007141,3
fr,2,14.947421404207958,0.23052031652145175,14.947421 +- 0.230520,3,0.7245478332791206,0.007156701876929271,0.724548 +- 0.007157,3
fr,3,15.32973338808171,0.3437031287981686,15.329733 +- 0.343703,3,0.8175507543338147,0.00833290899995543,0.817551 +- 0.008333,3
fr,4,15.875451841634895,0.8399485152519642,15.875452 +- 0.839949,3,0.8838666893470615,0.0068036485525888165,0.883867 +- 0.006804,3
fr,5,15.466683056661056,0.6750570438166089,15.466683 +- 0.675057,3,0.8971217313848897,0.005219790360965691,0.897122 +- 0.005220,3
fr,6,16.948981618516157,0.8969219104616817,16.948982 +- 0.896922,3,0.9210938981765129,0.005114072117122087,0.921094 +- 0.005114,3
fr,7,17.511319851043297,1.196935500256132,17.511320 +- 1.196936,3,0.9465395911263688,0.005350219988665249,0.946540 +- 0.005350,3
fr,8,18.442804024830668,1.0987660269804107,18.442804 +- 1.098766,3,0.9651148161893507,0.004232594618137303,0.965115 +- 0.004233,3
fr,9,19.173732627975927,0.612438797591018,19.173733 +- 0.612439,3,0.9716968781955936,0.0035102914136789097,0.971697 +- 0.003510,3
fr,10,19.58162525421874,1.0511411422777839,19.581625 +- 1.051141,3,0.9730908906253362,0.0038660658851102413,0.973091 +- 0.003866,3
fr,11,20.031027600663272,1.401788732920363,20.031028 +- 1.401789,3,0.9647282766307617,0.00422310686264037,0.964728 +- 0.004223,3
fr,12,19.994239405211008,1.3755593334433491,19.994239 +- 1.375559,3,0.9634988750455137,0.004289164619460726,0.963499 +- 0.004289,3
fr,13,19.76141699835207,1.314428543727548,19.761417 +- 1.314429,3,0.9636737697776887,0.0045313982360623015,0.963674 +- 0.004531,3
fr,14,19.830335439015975,1.3423952336863831,19.830335 +- 1.342395,3,0.9586320725058106,0.003781909737216685,0.958632 +- 0.003782,3
fr,15,19.28414142957519,1.7990335279098473,19.284141 +- 1.799034,3,0.9397567459155995,0.0032805519776821293,0.939757 +- 0.003281,3
fr,16,18.563366455792394,1.526951420757118,18.563366 +- 1.526951,3,0.9233249709329051,0.0023128764271083593,0.923325 +- 0.002313,3
fr,17,18.282558500073243,1.0920258777419647,18.282559 +- 1.092026,3,0.9173819052390659,0.002241633567731568,0.917382 +- 0.002242,3
fr,18,17.817681604752853,1.1424913585667211,17.817682 +- 1.142491,3,0.9065391739718532,0.0015318094985841922,0.906539 +- 0.001532,3
fr,19,17.871465422062794,0.9412405189092431,17.871465 +- 0.941241,3,0.9054188597398022,0.0011087683282813038,0.905419 +- 0.001109,3
fr,20,17.351254076330058,0.9617039562924901,17.351254 +- 0.961704,3,0.8985755016791886,0.00045859769081892305,0.898576 +- 0.000459,3
fr,21,17.02608927191776,0.9566709646795992,17.026089 +- 0.956671,3,0.8944322419727836,0.0010038636002711369,0.894432 +- 0.001004,3
fr,22,16.770946473748364,1.1204162512303788,16.770946 +- 1.120416,3,0.8914153099387175,0.0011511948495295601,0.891415 +- 0.001151,3
fr,23,16.585875529169492,1.2664788755383993,16.585876 +- 1.266479,3,0.8876680388382411,0.0010617869311285637,0.887668 +- 0.001062,3
fr,24,16.281359295594953,1.1812105058135245,16.281359 +- 1.181211,3,0.8774864104027504,0.001162185424112183,0.877486 +- 0.001162,3
fr,25,16.306699587149577,1.0376489646636018,16.306700 +- 1.037649,3,0.8716105909491344,0.0012868863331974541,0.871611 +- 0.001287,3
fr,26,16.21065947535394,1.011175526015044,16.210659 +- 1.011176,3,0.856795145092427,0.0017796585534166436,0.856795 +- 0.001780,3
fr,27,15.9697937219847,0.8180925023878808,15.969794 +- 0.818093,3,0.8495364334079003,0.0014735067008928902,0.849536 +- 0.001474,3
fr,28,15.962180248273102,0.8016407552001561,15.962180 +- 0.801641,3,0.840571698392191,0.0010686694589892554,0.840572 +- 0.001069,3
fr,29,16.044425529182746,0.7763060007331052,16.044426 +- 0.776306,3,0.8284078928567119,0.0005832132702024472,0.828408 +- 0.000583,3
fr,30,16.19680446381711,0.7365074077994382,16.196804 +- 0.736507,3,0.8151449438221952,0.0011026768444583597,0.815145 +- 0.001103,3
fr,31,16.014240570203143,0.7031543752445564,16.014241 +- 0.703154,3,0.8025549050921973,0.0013616709182916816,0.802555 +- 0.001362,3
