language,layer,id_mean,id_std,id_mean_pm_std,id_n_seeds,r_mean,r_std,r_mean_pm_std,r_n_seeds
en,0,11.622628835951907,0.8221829753930879,11.622629 +- 0.822183,3,0.4750676949807736,0.016202245920527377,0.475068 +- 0.016202,3
en,1,15.322981452637684,0.7735143258494512,15.322981 +- 0.773514,3,0.7215853295011281,0.013256268942832708,0.721585 +- 0.013256,3
en,2,14.591753775380178,0.5038962599489687,14.591754 +- 0.503896,3,0.7505362602359412,0.013546764371129874,0.750536 +- 0.013547,3
en,3,15.672722830558431,0.9502748120202332,15.672723 +- 0.950275,3,0.8218637080114168,0.013549209090341038,0.821864 +- 0.013549,3
en,4,16.364604064365796,0.752954224717595,16.364604 +- 0.752954,3,0.8779460650400389,0.011692721583461444,0.877946 +- 0.011693,3
en,5,16.07738161424996,1.5083808879773777,16.077382 +- 1.508381,3,0.8874145285565641,0.010081250192845082,0.887415 +- 0.010081,3
en,6,16.188167523020688,1.5806295095943974,16.188168 +- 1.580630,3,0.9081152852160161,0.009248575592702165,0.908115 +- 0.009249,3
en,7,16.617290567452237,1.4620096513712773,16.617291 +- 1.462010,3,0.9263773161833403,0.008838549304090254,0.926377 +- 0.008839,3
en,8,17.556943717789924,1.5638374184142185,17.556944 +- 1.563837,3,0.9425178973322883,0.008746233869748482,0.942518 +- 0.008746,3
en,9,17.734721936079897,1.9097159635890575,17.734722 +- 1.909716,3,0.956535473329837,0.008046448443085151,0.956535 +- 0.008046,3
en,10,17.745079897504283,1.6905107355964673,17.745080 +- 1.690511,3,0.961082033066373,0.008656081487720506,0.961082 +- 0.008656,3
en,11,17.79540371621665,1.5384279622680925,17.795404 +- 1.538428,3,0.9506141807100597,0.00843985703714465,0.950614 +- 0.008440,3
en,12,17.973820664599838,1.5772924585756447,17.973821 +- 1.577292,3,0.950433959070637,0.007686451432849344,0.950434 +- 0.007686,3
en,13,18.68227712573636,1.5889248277430943,18.682277 +- 1.588925,3,0.9540949935506869,0.007631653216299472,0.954095 +- 0.007632,3
en,14,19.092120171001508,1.5620044113899016,19.092120 +- 1.562004,3,0.9507692092633357,0.007003284350166137,0.950769 +- 0.007003,3
en,15,18.445779621592962,1.2935563271155575,18.445780 +- 1.293556,3,0.9378987161213015,0.006436061563934853,0.937899 +- 0.006436,3
en,16,17.964484082250127,1.341305489245064,17.964484 +- 1.341305,3,0.9210755677021181,0.005961387906447991,0.921076 +- 0.005961,3
en,17,17.528468750176167,1.2749867813543332,17.528469 +- 1.274987,3,0.9156137958466729,0.006139898773575989,0.915614 +- 0.006140,3
en,18,17.190074684244433,1.5415093598336576,17.190075 +- 1.541509,3,0.9076952475486462,0.0059043297156811565,0.907695 +- 0.005904,3
en,19,17.020616701732884,1.156646739614513,17.020617 +- 1.156647,3,0.9085463549283939,0.005131320360158841,0.908546 +- 0.005131,3
en,20,17.034536586259225,1.0483912939477464,17.034537 +- 1.048391,3,0.9119279481707877,0.0046739488243195855,0.911928 +- 0.004674,3
en,21,16.78671537581146,0.9811291644877216,16.786715 +- 0.981129,3,0.9116066835583628,0.004464618621431244,0.911607 +- 0.004465,3
en,22,16.76047422633793,1.066018442855781,16.760474 +- 1.066018,3,0.9138738545732271,0.004469932801969181,0.913874 +- 0.004470,3
en,23,16.724696403042906,1.047530150688824,16.724696 +- 1.047530,3,0.9127451059917655,0.004964794911894744,0.912745 +- 0.004965,3
en,24,16.644750233695312,0.637942611120717,16.644750 +- 0.637943,3,0.912208537878623,0.004313578984444743,0.912209 +- 0.004314,3
en,25,16.721324973495722,0.535077381062414,16.721325 +- 0.535077,3,0.9049064154618117,0.004844216990320775,0.904906 +- 0.004844,3
en,26,16.782273649139512,0.5476696917643287,16.782274 +- 0.547670,3,0.8969502198503322,0.00500963911641891,0.896950 +- 0.005010,3
en,27,16.728410552233914,0.5130172693728399,16.728411 +- 0.513017,3,0.8929394181765471,0.005177985570198004,0.892939 +- 0.005178,3
en,28,16.7662415974765,0.4032306834245518,16.766242 +- 0.403231,3,0.888144670276973,0.004931894760395724,0.888145 +- 0.004932,3
en,29,16.74112841388305,0.47521735280501626,16.741128 +- 0.475217,3,0.8800532022276409,0.004892109476459456,0.880053 +- 0.004892,3
en,30,16.893415654576533,0.4866337217961873,16.893416 +- 0.486634,3,0.8629473643341732,0.004447953421880984,0.862947 +- 0.004448,3
en,31,17.00258239103463,0.4823811471126047,17.002582 +- 0.482381,3,0.8527405315202233,0.005503496675043382,0.852741 +- 0.005503,3
