language,layer,id_mean,id_std,id_mean_pm_std,id_n_seeds,r_mean,r_std,r_mean_pm_std,r_n_seeds
fr,0,12.546401747668126,0.9297188929158673,12.546402 +- 0.929719,3,0.43019480853387826,0.012835584240353096,0.430195 +- 0.012836,3
fr,1,13.671614636593398,0.9154409034906706,13.671615 +- 0.915441,3,0.6914498687355907,0.007164362107522481,0.691450 +- 0.007164,3
fr,2,14.955808895665328,0.2707696015440805,14.955809 +- 0.270770,3,0.7245080242897982,0.0071796995364218465,0.724508 +- 0.007180,3
fr,3,15.330697953920032,0.33203994406984305,15.330698 +- 0.332040,3,0.8172031998986563,0.008363759021890802,0.817203 +- 0.008364,3
fr,4,15.863714340939067,0.8277599331274859,15.863714 +- 0.827760,3,0.8834120218056305,0.006865315659550626,0.883412 +- 0.006865,3
fr,5,15.452870420200753,0.6539698487780111,15.452870 +- 0.653970,3,0.8963675003715337,0.005308198837360048,0.896368 +- 0.005308,3
fr,6,16.940350070249806,0.9144772546991076,16.940350 +- 0.914477,3,0.9199768251415514,0.005216347525528674,0.919977 +- 0.005216,3
fr,7,17.474993893272828,1.1874833493056083,17.474994 +- 1.187483,3,0.9449918991496552,0.005404887392373626,0.944992 +- 0.005405,3
fr,8,18.406553011586276,1.0899465046718306,18.406553 +- 1.089947,3,0.9632034883869914,0.004233171145073793,0.963203 +- 0.004233,3
fr,9,19.10487552511434,0.5803716428569174,19.104876 +- 0.580372,3,0.9691142700077539,0.003531332637065752,0.969114 +- 0.003531,3
fr,10,19.548126739499732,1.0777738625387052,19.548127 +- 1.077774,3,0.9698977633345077,0.003854025853428017,0.969898 +- 0.003854,3
fr,11,19.989835997409575,1.422753235174374,19.989836 +- 1.422753,3,0.9610209649062587,0.004227464421390206,0.961021 +- 0.004227,3
fr,12,19.810327559834416,1.3781765789405573,19.810328 +- 1.378177,3,0.9595525076524832,0.00420437861683039,0.959553 +- 0.004204,3
fr,13,19.590172690853805,1.3541782237522708,19.590173 +- 1.354178,3,0.9601754238678454,0.004398527378375249,0.960175 +- 0.004399,3
fr,14,19.617043504224036,1.368786748151941,19.617044 +- 1.368787,3,0.9556255744408622,0.003726868898769316,0.955626 +- 0.003727,3
fr,15,19.223451436115873,1.8455326047010943,19.223451 +- 1.845533,3,0.9373077724757869,0.0032626183602839556,0.937308 +- 0.003263,3
fr,16,18.50562017850907,1.6330774988632495,18.505620 +- 1.633077,3,0.9213551046353735,0.0022313140401209633,0.921355 +- 0.002231,3
fr,17,18.208740973132322,1.1652651658799438,18.208741 +- 1.165265,3,0.915885034110961,0.00213029680055088,0.915885 +- 0.002130,3
fr,18,17.612440632981365,1.1985734235976166,17.612441 +- 1.198573,3,0.905252561145917,0.001530466386452044,0.905253 +- 0.001530,3
fr,19,17.69663332642487,0.9225619899721771,17.696633 +- 0.922562,3,0.9042904821165068,0.0010827317179581133,0.904290 +- 0.001083,3
fr,20,17.133045489709154,0.9216516464961223,17.133045 +- 0.921652,3,0.8975116286248658,0.00021402088370937078,0.897512 +- 0.000214,3
fr,21,16.88560450926183,0.9561217709590564,16.885605 +- 0.956122,3,0.8934720474113016,0.0008066960886082182,0.893472 +- 0.000807,3
fr,22,16.702549645434527,1.1350349104188375,16.702550 +- 1.135035,3,0.8906037506224553,0.0009266209981152235,0.890604 +- 0.000927,3
fr,23,16.506634565458594,1.2758329751184057,16.506635 +- 1.275833,3,0.8866944038671378,0.0007750062525270244,0.886694 +- 0.000775,3
fr,24,16.214026466381352,1.065959688043947,16.214026 +- 1.065960,3,0.8766382080866456,0.0007232387465295018,0.876638 +- 0.000723,3
fr,25,16.184212071259704,0.9916042998663218,16.184212 +- 0.991604,3,0.8706892325420472,0.0008471554881205999,0.870689 +- 0.000847,3
fr,26,16.159022467188617,1.02371284104088,16.159022 +- 1.023713,3,0.8563847234957506,0.001235088272361614,0.856385 +- 0.001235,3
fr,27,15.944886076920929,0.8279260215880457,15.944886 +- 0.827926,3,0.8492174718296028,0.0008931470026844481,0.849217 +- 0.000893,3
fr,28,15.921583849766602,0.7633178992687966,15.921584 +- 0.763318,3,0.8402206291452118,0.0006082284917203158,0.840221 +- 0.000608,3
fr,29,15.946245460174355,0.6969856240848951,15.946245 +- 0.696986,3,0.8282703307460338,0.0005181915023791825,0.828270 +- 0.000518,3
fr,30,16.067991629921117,0.6860812941156242,16.067992 +- 0.686081,3,0.815376846204466,0.0014791016547386867,0.815377 +- 0.001479,3
fr,31,16.007328312945003,0.7638510212482824,16.007328 +- 0.763851,3,0.8060757352900716,0.0015172436054670816,0.806076 +- 0.001517,3
