language,layer,id_mean,id_std,id_mean_pm_std,id_n_seeds,r_mean,r_std,r_mean_pm_std,r_n_seeds
en,0,11.613084517953352,0.8247712608295444,11.613085 +- 0.824771,3,0.4747611292978001,0.016218851368003787,0.474761 +- 0.016219,3
en,1,15.294198015984222,0.7069219977790142,15.294198 +- 0.706922,3,0.7217331862920587,0.013302813030624082,0.721733 +- 0.013303,3
en,2,14.604803969639967,0.5573871262022696,14.604804 +- 0.557387,3,0.7510423987539833,0.013619227379661985,0.751042 +- 0.013619,3
en,3,15.711282870178803,0.9813180780293398,15.711283 +- 0.981318,3,0.8226750048849069,0.01349722648587005,0.822675 +- 0.013497,3
en,4,16.416318496494593,0.759844402838476,16.416318 +- 0.759844,3,0.8796312140082453,0.011638039272074923,0.879631 +- 0.011638,3
en,5,16.146026073647494,1.502043506203155,16.146026 +- 1.502044,3,0.8896912233570203,0.010044067916067562,0.889691 +- 0.010044,3
en,6,16.30231653965701,1.6037614594030325,16.302317 +- 1.603761,3,0.9102908699334452,0.00920758863645373,0.910291 +- 0.009208,3
en,7,16.740807388688882,1.5094863391777023,16.740807 +- 1.509486,3,0.9281081148999124,0.008799707881415353,0.928108 +- 0.008800,3
en,8,17.65982610614154,1.5477331645650443,17.659826 +- 1.547733,3,0.9447989756568166,0.008704053061318499,0.944799 +- 0.008704,3
en,9,17.848049004543277,1.9194457184580604,17.848049 +- 1.919446,3,0.9600601776236403,0.008110946493283,0.960060 +- 0.008111,3
en,10,17.961565502099447,1.717174666247768,17.961566 +- 1.717175,3,0.9661425206725504,0.008795090681978146,0.966143 +- 0.008795,3
en,11,18.19206074997981,1.6024600031105731,18.192061 +- 1.602460,3,0.9566061878588136,0.008637516328741207,0.956606 +- 0.008638,3
en,12,18.35732146487062,1.5746861094538105,18.357321 +- 1.574686,3,0.9559109762989387,0.007735662737712567,0.955911 +- 0.007736,3
en,13,19.124170269699547,1.4888686849177628,19.124170 +- 1.488869,3,0.9605603262051278,0.0075476397578966735,0.960560 +- 0.007548,3
en,14,19.52489666668619,1.515627860404594,19.524897 +- 1.515628,3,0.9573108868665848,0.006945351074453247,0.957311 +- 0.006945,3
en,15,19.072148872181653,1.3452275929694248,19.072149 +- 1.345228,3,0.944946806919821,0.005923459415970559,0.944947 +- 0.005923,3
en,16,18.684271664313545,1.4349509626173182,18.684272 +- 1.434951,3,0.9280753968370642,0.00538591667953766,0.928075 +- 0.005386,3
en,17,18.27047018651182,1.4257460654421263,18.270470 +- 1.425746,3,0.9227239179007957,0.0056934335995370185,0.922724 +- 0.005693,3
en,18,18.03365763045333,1.696439843266057,18.033658 +- 1.696440,3,0.9139275732570413,0.005512039549814329,0.913928 +- 0.005512,3
en,19,17.838163050075995,1.3911316200412827,17.838163 +- 1.391132,3,0.9156012201612526,0.004631970731181049,0.915601 +- 0.004632,3
en,20,17.772648318389063,1.1780802680084648,17.772648 +- 1.178080,3,0.9199118548799361,0.004128052861498393,0.919912 +- 0.004128,3
en,21,17.479397461249178,1.1134249635991789,17.479397 +- 1.113425,3,0.9207871599316678,0.003968371723680411,0.920787 +- 0.003968,3
en,22,17.585738214357306,1.0677500761258307,17.585738 +- 1.067750,3,0.9233508393799102,0.004005877887307738,0.923351 +- 0.004006,3
en,23,17.5624165361232,0.9779574141315092,17.562417 +- 0.977957,3,0.9229243758962449,0.004480203733575965,0.922924 +- 0.004480,3
en,24,17.473648571771605,0.575995924091384,17.473649 +- 0.575996,3,0.9231925630842692,0.0037792134748551674,0.923193 +- 0.003779,3
en,25,17.567637631875723,0.5646478067559437,17.567638 +- 0.564648,3,0.9168218546461534,0.004259429316682024,0.916822 +- 0.004259,3
en,26,17.710999693189446,0.3143084208611319,17.711000 +- 0.314308,3,0.9088133784446073,0.004529089392921244,0.908813 +- 0.004529,3
en,27,17.743593583303575,0.3915855432474384,17.743594 +- 0.391586,3,0.9051768456738437,0.004923136353258312,0.905177 +- 0.004923,3
en,28,17.755785577431336,0.2258355822344821,17.755786 +- 0.225836,3,0.9004285822024497,0.004662719588834615,0.900429 +- 0.004663,3
en,29,17.8066489320343,0.4289316987236119,17.806649 +- 0.428932,3,0.8920023555635836,0.0047714306234566475,0.892002 +- 0.004771,3
en,30,17.87747225332136,0.40391150600771897,17.877472 +- 0.403912,3,0.873639554792572,0.004520847532619945,0.873640 +- 0.004521,3
en,31,17.770610641122826,0.57437280605602,17.770611 +- 0.574373,3,0.8690896651822065,0.005029947921296209,0.869090 +- 0.005030,3
