language,layer,id_mean,id_std,id_mean_pm_std,id_n_seeds,r_mean,r_std,r_mean_pm_std,r_n_seeds
es,0,12.357420043257948,1.395285865048747,12.357420 +- 1.395286,3,0.2229021695136156,0.02293018038130166,0.222902 +- 0.022930,3
es,1,14.703593913536071,1.0039037925621839,14.703594 +- 1.003904,3,0.6743924435507698,0.005382752234130861,0.674392 +- 0.005383,3
es,2,15.70009406581242,0.5230495492850871,15.700094 +- 0.523050,3,0.7151111036474692,0.005682008623078609,0.715111 +- 0.005682,3
es,3,16.13739089106718,1.051534771827443,16.137391 +- 1.051535,3,0.8063779196390682,0.008242008162644154,0.806378 +- 0.008242,3
es,4,17.471889844127645,1.0304835472153056,17.471890 +- 1.030484,3,0.8751772905297254,0.0070433997196960975,0.875177 +- 0.007043,3
es,5,16.69565262443851,1.6286376375900524,16.695653 +- 1.628638,3,0.8865778459239794,0.006428957274791985,0.886578 +- 0.006429,3
es,6,17.26375628401185,1.8355053421353007,17.263756 +- 1.835505,3,0.9119082025619584,0.00534013975408638,0.911908 +- 0.005340,3
es,7,17.1127812823614,1.838900876418178,17.112781 +- 1.838901,3,0.9354613350657477,0.005272485252455108,0.935461 +- 0.005272,3
es,8,17.559921138123098,2.04861550471861,17.559921 +- 2.048616,3,0.9531126900756395,0.004319846463045742,0.953113 +- 0.004320,3
es,9,17.94846180123639,1.9557295853826546,17.948462 +- 1.955730,3,0.9639681291335637,0.0046896108998678325,0.963968 +- 0.004690,3
es,10,18.176068390532954,1.6515527306333966,18.176068 +- 1.651553,3,0.9674693161534711,0.005242255843081012,0.967469 +- 0.005242,3
es,11,18.372549368452155,1.4191846684802052,18.372549 +- 1.419185,3,0.9616198154449326,0.005737213294698404,0.961620 +- 0.005737,3
es,12,18.96908251490573,1.463529273974204,18.969083 +- 1.463529,3,0.9577629198994573,0.005283159414547299,0.957763 +- 0.005283,3
es,13,19.45874815505438,1.430850292718251,19.458748 +- 1.430850,3,0.9605537651565305,0.004283857669974284,0.960554 +- 0.004284,3
es,14,19.455407939153957,1.3223143442283667,19.455408 +- 1.322314,3,0.9558880949713385,0.0036647458008447664,0.955888 +- 0.003665,3
es,15,19.04416293173168,1.4382632904506627,19.044163 +- 1.438263,3,0.9407891551071983,0.0032935834812981425,0.940789 +- 0.003294,3
es,16,18.06201728525718,1.1730403990925227,18.062017 +- 1.173040,3,0.9197866799860944,0.002523893628644617,0.919787 +- 0.002524,3
es,17,17.45403153193506,1.0588286021957787,17.454032 +- 1.058829,3,0.9094952718009159,0.0023031415509690463,0.909495 +- 0.002303,3
es,18,16.84028344108206,1.1722728712523836,16.840283 +- 1.172273,3,0.8958255616486891,0.002119578376639787,0.895826 +- 0.002120,3
es,19,16.788376978201057,1.10190972612519,16.788377 +- 1.101910,3,0.8975367292670287,0.002477831916526122,0.897537 +- 0.002478,3
es,20,16.58572188023766,1.2145378001309517,16.585722 +- 1.214538,3,0.8929382530449069,0.002936059695116058,0.892938 +- 0.002936,3
es,21,16.469347484118767,1.3229348347741512,16.469347 +- 1.322935,3,0.8871534579208253,0.002836525352457975,0.887153 +- 0.002837,3
es,22,16.53514688827427,0.9664420429605807,16.535147 +- 0.966442,3,0.8866510686488107,0.0025516475464577425,0.886651 +- 0.002552,3
es,23,16.50343579153162,0.9759369537622257,16.503436 +- 0.975937,3,0.8844051280415953,0.002258480894178321,0.884405 +- 0.002258,3
es,24,16.485266833176027,0.9852232712442686,16.485267 +- 0.985223,3,0.877817041540814,0.002771820211323109,0.877817 +- 0.002772,3
es,25,16.700900560969675,1.0494247644888728,16.700901 +- 1.049425,3,0.8705501260489423,0.0022198060644618074,0.870550 +- 0.002220,3
es,26,16.803406144986447,1.4286059007336793,16.803406 +- 1.428606,3,0.8573879949502496,0.002228054602653968,0.857388 +- 0.002228,3
es,27,16.63622764009317,1.451939172320376,16.636228 +- 1.451939,3,0.8488648179280609,0.0024371428253086324,0.848865 +- 0.002437,3
es,28,16.692572812020426,1.3984571473309841,16.692573 +- 1.398457,3,0.8425333714877371,0.0025115962584552776,0.842533 +- 0.002512,3
es,29,16.69626545913049,1.4908452341391611,16.696265 +- 1.490845,3,0.833353464845267,0.0023343721575418454,0.833353 +- 0.002334,3
es,30,16.744988942294924,1.2677795359027568,16.744989 +- 1.267780,3,0.8190830110041152,0.0029325400924049057,0.819083 +- 0.002933,3
es,31,16.45380547171408,0.8097725907033806,16.453805 +- 0.809773,3,0.8276141078311444,0.0022405034036578186,0.827614 +- 0.002241,3
