language,layer,id_mean,id_std,id_mean_pm_std,id_n_seeds,r_mean,r_std,r_mean_pm_std,r_n_seeds
en,0,10.71580384131698,0.0,10.715804 +- 0.000000,1,0.4757208419509044,0.0,0.475721 +- 0.000000,1
en,1,14.441601340823011,0.0,14.441601 +- 0.000000,1,0.7070615742953396,0.0,0.707062 +- 0.000000,1
en,2,14.05675627400835,0.0,14.056756 +- 0.000000,1,0.7346148696968915,0.0,0.734615 +- 0.000000,1
en,3,14.741551099599679,0.0,14.741551 +- 0.000000,1,0.8061740439623659,0.0,0.806174 +- 0.000000,1
en,4,15.53357246888291,0.0,15.533572 +- 0.000000,1,0.8641332053619526,0.0,0.864133 +- 0.000000,1
en,5,14.334106787111415,0.0,14.334107 +- 0.000000,1,0.8755698478506079,0.0,0.875570 +- 0.000000,1
en,6,14.355905109970942,0.0,14.355905 +- 0.000000,1,0.8973232731532302,0.0,0.897323 +- 0.000000,1
en,7,14.952596067711111,0.0,14.952596 +- 0.000000,1,0.9164217700448619,0.0,0.916422 +- 0.000000,1
en,8,15.824019390155497,0.0,15.824019 +- 0.000000,1,0.9324825609383065,0.0,0.932483 +- 0.000000,1
en,9,15.527948163523238,0.0,15.527948 +- 0.000000,1,0.9467274473132242,0.0,0.946727 +- 0.000000,1
en,10,15.755103196399867,0.0,15.755103 +- 0.000000,1,0.9504292025054556,0.0,0.950429 +- 0.000000,1
en,11,15.99039574596332,0.0,15.990396 +- 0.000000,1,0.9403266602908559,0.0,0.940327 +- 0.000000,1
en,12,16.103131394523004,0.0,16.103131 +- 0.000000,1,0.9412355992290177,0.0,0.941236 +- 0.000000,1
en,13,16.74388741941274,0.0,16.743887 +- 0.000000,1,0.9449183655506067,0.0,0.944918 +- 0.000000,1
en,14,17.111297544465064,0.0,17.111298 +- 0.000000,1,0.9421825705643697,0.0,0.942183 +- 0.000000,1
en,15,16.810102493330923,0.0,16.810102 +- 0.000000,1,0.9296513668410796,0.0,0.929651 +- 0.000000,1
en,16,16.257451709526727,0.0,16.257452 +- 0.000000,1,0.9137955029264961,0.0,0.913796 +- 0.000000,1
en,17,15.879926522672614,0.0,15.879927 +- 0.000000,1,0.9077561989769165,0.0,0.907756 +- 0.000000,1
en,18,15.252213060290172,0.0,15.252213 +- 0.000000,1,0.9001407876987826,0.0,0.900141 +- 0.000000,1
en,19,15.551052352852148,0.0,15.551052 +- 0.000000,1,0.9018354037033772,0.0,0.901835 +- 0.000000,1
en,20,15.711888850913324,0.0,15.711889 +- 0.000000,1,0.9058014998385095,0.0,0.905801 +- 0.000000,1
en,21,15.530579028365276,0.0,15.530579 +- 0.000000,1,0.9054720264620808,0.0,0.905472 +- 0.000000,1
en,22,15.488261949643297,0.0,15.488262 +- 0.000000,1,0.9079684181674772,0.0,0.907968 +- 0.000000,1
en,23,15.377942665073384,0.0,15.377943 +- 0.000000,1,0.9063702285285086,0.0,0.906370 +- 0.000000,1
en,24,15.760052579270925,0.0,15.760053 +- 0.000000,1,0.9071836989327371,0.0,0.907184 +- 0.000000,1
en,25,15.878269366015525,0.0,15.878269 +- 0.000000,1,0.900219890585718,0.0,0.900220 +- 0.000000,1
en,26,15.969162944765948,0.0,15.969163 +- 0.000000,1,0.8930209698244544,0.0,0.893021 +- 0.000000,1
en,27,15.911065835344607,0.0,15.911066 +- 0.000000,1,0.8896669356228285,0.0,0.889667 +- 0.000000,1
en,28,16.216906686952616,0.0,16.216907 +- 0.000000,1,0.8853089135335733,0.0,0.885309 +- 0.000000,1
en,29,16.079274523598617,0.0,16.079275 +- 0.000000,1,0.8781070682569656,0.0,0.878107 +- 0.000000,1
en,30,16.403433947121584,0.0,16.403434 +- 0.000000,1,0.8628894209316083,0.0,0.862889 +- 0.000000,1
en,31,16.281465861082367,0.0,16.281466 +- 0.000000,1,0.852477519263233,0.0,0.852478 +- 0.000000,1
