language,layer,id_mean,id_std,id_mean_pm_std,id_n_seeds,r_mean,r_std,r_mean_pm_std,r_n_seeds
es,0,11.092099735792019,0.0,11.092100 +- 0.000000,1,0.23891059815820787,0.0,0.238911 +- 0.000000,1
es,1,13.603728096541898,0.0,13.603728 +- 0.000000,1,0.6710437309642369,0.0,0.671044 +- 0.000000,1
es,2,15.124031602587696,0.0,15.124032 +- 0.000000,1,0.7086786750992026,0.0,0.708679 +- 0.000000,1
es,3,14.856769956449433,0.0,14.856770 +- 0.000000,1,0.7982008502274738,0.0,0.798201 +- 0.000000,1
es,4,16.313536645378782,0.0,16.313537 +- 0.000000,1,0.8669015524275494,0.0,0.866902 +- 0.000000,1
es,5,14.99159504576794,0.0,14.991595 +- 0.000000,1,0.8782579569056204,0.0,0.878258 +- 0.000000,1
es,6,15.340862680187016,0.0,15.340863 +- 0.000000,1,0.9037446387945546,0.0,0.903745 +- 0.000000,1
es,7,15.413790515036888,0.0,15.413791 +- 0.000000,1,0.9282861518365492,0.0,0.928286 +- 0.000000,1
es,8,15.279131663001284,0.0,15.279132 +- 0.000000,1,0.9453384321848255,0.0,0.945338 +- 0.000000,1
es,9,15.467844712037955,0.0,15.467845 +- 0.000000,1,0.9530789870433782,0.0,0.953079 +- 0.000000,1
es,10,16.05640823019997,0.0,16.056408 +- 0.000000,1,0.9535847375749159,0.0,0.953585 +- 0.000000,1
es,11,16.36116286695195,0.0,16.361163 +- 0.000000,1,0.9463588552421472,0.0,0.946359 +- 0.000000,1
es,12,16.989522048795656,0.0,16.989522 +- 0.000000,1,0.9438459109173623,0.0,0.943846 +- 0.000000,1
es,13,17.24248591306993,0.0,17.242486 +- 0.000000,1,0.9466834657841424,0.0,0.946683 +- 0.000000,1
es,14,17.281284372033735,0.0,17.281284 +- 0.000000,1,0.9424882569382798,0.0,0.942488 +- 0.000000,1
es,15,16.763639485598386,0.0,16.763639 +- 0.000000,1,0.9273962098033374,0.0,0.927396 +- 0.000000,1
es,16,16.212413739356414,0.0,16.212414 +- 0.000000,1,0.9072907698775982,0.0,0.907291 +- 0.000000,1
es,17,15.494709426812264,0.0,15.494709 +- 0.000000,1,0.8977670540715967,0.0,0.897767 +- 0.000000,1
es,18,14.927680235793277,0.0,14.927680 +- 0.000000,1,0.8872548210180552,0.0,0.887255 +- 0.000000,1
es,19,14.928455302733083,0.0,14.928455 +- 0.000000,1,0.8881628805790017,0.0,0.888163 +- 0.000000,1
es,20,14.66960728346294,0.0,14.669607 +- 0.000000,1,0.8835335018311005,0.0,0.883534 +- 0.000000,1
es,21,14.473316266352864,0.0,14.473316 +- 0.000000,1,0.8749445418593951,0.0,0.874945 +- 0.000000,1
es,22,14.853261016661026,0.0,14.853261 +- 0.000000,1,0.8735349124284502,0.0,0.873535 +- 0.000000,1
es,23,14.628421554469778,0.0,14.628422 +- 0.000000,1,0.8704398937914711,0.0,0.870440 +- 0.000000,1
es,24,14.973605053591864,0.0,14.973605 +- 0.000000,1,0.8633827943460081,0.0,0.863383 +- 0.000000,1
es,25,15.062043884688771,0.0,15.062044 +- 0.000000,1,0.8554751122547785,0.0,0.855475 +- 0.000000,1
es,26,15.069314752885276,0.0,15.069315 +- 0.000000,1,0.8423087335299031,0.0,0.842309 +- 0.000000,1
es,27,14.711799672149867,0.0,14.711800 +- 0.000000,1,0.8345056566658602,0.0,0.834506 +- 0.000000,1
es,28,14.739964163849015,0.0,14.739964 +- 0.000000,1,0.8289084567285322,0.0,0.828908 +- 0.000000,1
es,29,14.581482353441018,0.0,14.581482 +- 0.000000,1,0.821289450144712,0.0,0.821289 +- 0.000000,1
es,30,14.615730818133937,0.0,14.615731 +- 0.000000,1,0.8103643285562173,0.0,0.810364 +- 0.000000,1
es,31,14.679262381587462,0.0,14.679262 +- 0.000000,1,0.8130591033718868,0.0,0.813059 +- 0.000000,1
