language,layer,id_mean,id_std,id_mean_pm_std,id_n_seeds,r_mean,r_std,r_mean_pm_std,r_n_seeds
fr,0,11.56411245586613,0.0,11.564112 +- 0.000000,1,0.4177857453730627,0.0,0.417786 +- 0.000000,1
fr,1,12.645439160297332,0.0,12.645439 +- 0.000000,1,0.6838484380235437,0.0,0.683848 +- 0.000000,1
fr,2,15.233221724096465,0.0,15.233222 +- 0.000000,1,0.7174946233665829,0.0,0.717495 +- 0.000000,1
fr,3,15.17961445877655,0.0,15.179614 +- 0.000000,1,0.8104627285657243,0.0,0.810463 +- 0.000000,1
fr,4,14.988499644250986,0.0,14.988500 +- 0.000000,1,0.8774174555316073,0.0,0.877417 +- 0.000000,1
fr,5,14.653730838159094,0.0,14.653731 +- 0.000000,1,0.8920097418898483,0.0,0.892010 +- 0.000000,1
fr,6,15.908322178458736,0.0,15.908322 +- 0.000000,1,0.9152389590949449,0.0,0.915239 +- 0.000000,1
fr,7,16.22136525511326,0.0,16.221365 +- 0.000000,1,0.9396369726704575,0.0,0.939637 +- 0.000000,1
fr,8,17.11836115202882,0.0,17.118361 +- 0.000000,1,0.9586624595038948,0.0,0.958662 +- 0.000000,1
fr,9,18.362591167211253,0.0,18.362591 +- 0.000000,1,0.9650056841139057,0.0,0.965006 +- 0.000000,1
fr,10,18.228611050515127,0.0,18.228611 +- 0.000000,1,0.9653311667455032,0.0,0.965331 +- 0.000000,1
fr,11,18.302463822620712,0.0,18.302464 +- 0.000000,1,0.9558568190410205,0.0,0.955857 +- 0.000000,1
fr,12,18.21280316353968,0.0,18.212803 +- 0.000000,1,0.9547509531966264,0.0,0.954751 +- 0.000000,1
fr,13,18.160113506170507,0.0,18.160114 +- 0.000000,1,0.9549824928242757,0.0,0.954982 +- 0.000000,1
fr,14,18.399010439982252,0.0,18.399010 +- 0.000000,1,0.9507857900809282,0.0,0.950786 +- 0.000000,1
fr,15,17.60355884529618,0.0,17.603559 +- 0.000000,1,0.9325611536918166,0.0,0.932561 +- 0.000000,1
fr,16,17.375976629995353,0.0,17.375977 +- 0.000000,1,0.9178674533682245,0.0,0.917867 +- 0.000000,1
fr,17,17.640156704433853,0.0,17.640157 +- 0.000000,1,0.9122329112295481,0.0,0.912233 +- 0.000000,1
fr,18,17.081017434877797,0.0,17.081017 +- 0.000000,1,0.9024897509694115,0.0,0.902490 +- 0.000000,1
fr,19,17.6447024238197,0.0,17.644702 +- 0.000000,1,0.9020579798302449,0.0,0.902058 +- 0.000000,1
fr,20,17.3612206172561,0.0,17.361221 +- 0.000000,1,0.8961508160672839,0.0,0.896151 +- 0.000000,1
fr,21,16.85435416494191,0.0,16.854354 +- 0.000000,1,0.8908704335017378,0.0,0.890870 +- 0.000000,1
fr,22,16.496975163109852,0.0,16.496975 +- 0.000000,1,0.8881386639411517,0.0,0.888139 +- 0.000000,1
fr,23,16.038854778777953,0.0,16.038855 +- 0.000000,1,0.8845266635678397,0.0,0.884527 +- 0.000000,1
fr,24,15.94333815665218,0.0,15.943338 +- 0.000000,1,0.8750318973628672,0.0,0.875032 +- 0.000000,1
fr,25,16.134844289162977,0.0,16.134844 +- 0.000000,1,0.8693077181606311,0.0,0.869308 +- 0.000000,1
fr,26,15.89872433999834,0.0,15.898724 +- 0.000000,1,0.8547668724092768,0.0,0.854767 +- 0.000000,1
fr,27,15.898185918173512,0.0,15.898186 +- 0.000000,1,0.8484947628366665,0.0,0.848495 +- 0.000000,1
fr,28,15.812114501490628,0.0,15.812115 +- 0.000000,1,0.8407626716464349,0.0,0.840763 +- 0.000000,1
fr,29,15.710322814006423,0.0,15.710323 +- 0.000000,1,0.8295137130496836,0.0,0.829514 +- 0.000000,1
fr,30,15.81549412833595,0.0,15.815494 +- 0.000000,1,0.8183606059821895,0.0,0.818361 +- 0.000000,1
fr,31,15.854600145545367,0.0,15.854600 +- 0.000000,1,0.8089301974774112,0.0,0.808930 +- 0.000000,1
