language,layer,id_mean,id_std,id_mean_pm_std,id_n_seeds,r_mean,r_std,r_mean_pm_std,r_n_seeds
fr,0,12.56383422312942,0.9161646510489858,12.563834 +- 0.916165,3,0.4306035570220928,0.012881135944950394,0.430604 +- 0.012881,3
fr,1,13.715746297749755,0.9879621480362221,13.715746 +- 0.987962,3,0.6917632786239335,0.007139998338320451,0.691763 +- 0.007140,3
fr,2,14.967653314032347,0.2362934393812495,14.967653 +- 0.236293,3,0.7253327735627098,0.007148963331421626,0.725333 +- 0.007149,3
fr,3,15.334099316673948,0.3496546398039193,15.334099 +- 0.349655,3,0.817882221147539,0.008320343306103482,0.817882 +- 0.008320,3
fr,4,15.87559049495591,0.8246635932273294,15.875590 +- 0.824664,3,0.8847530546285014,0.006841376318315916,0.884753 +- 0.006841,3
fr,5,15.445143690619997,0.6551153329716205,15.445144 +- 0.655115,3,0.8981372821885245,0.005278239839820796,0.898137 +- 0.005278,3
fr,6,16.954061681238127,0.9221922044119653,16.954062 +- 0.922192,3,0.9220104656181929,0.005096657200603479,0.922010 +- 0.005097,3
fr,7,17.565937293527057,1.1957308491595846,17.565937 +- 1.195731,3,0.9467007204021151,0.005295650833391213,0.946701 +- 0.005296,3
fr,8,18.46047291685981,1.1128298339816587,18.460473 +- 1.112830,3,0.9652068774013961,0.004118894077262053,0.965207 +- 0.004119,3
fr,9,19.297174907462633,0.5727435916810404,19.297175 +- 0.572744,3,0.9717981461222561,0.0033710241862317304,0.971798 +- 0.003371,3
fr,10,19.800722042133025,0.9950973030453999,19.800722 +- 0.995097,3,0.9736004690427351,0.003738763662995484,0.973600 +- 0.003739,3
fr,11,20.225979957203275,1.4069869643473687,20.225980 +- 1.406987,3,0.9650473914372608,0.004018385165552246,0.965047 +- 0.004018,3
fr,12,20.082083693982398,1.4304958991279797,20.082084 +- 1.430496,3,0.9633128665487513,0.003979369684207527,0.963313 +- 0.003979,3
fr,13,19.980827473251747,1.4210515266520733,19.980827 +- 1.421052,3,0.9640928431738148,0.004069513037364204,0.964093 +- 0.004070,3
fr,14,19.969302044082184,1.3438642130758385,19.969302 +- 1.343864,3,0.9594041354466527,0.003308213889043319,0.959404 +- 0.003308,3
fr,15,19.36861273116117,1.7442117261047705,19.368613 +- 1.744212,3,0.9411094742858467,0.002879795462590464,0.941109 +- 0.002880,3
fr,16,18.771691309715884,1.5793276468258046,18.771691 +- 1.579328,3,0.925287993794965,0.002030407590905125,0.925288 +- 0.002030,3
fr,17,18.521371033634725,1.2262974171107737,18.521371 +- 1.226297,3,0.9200871561459755,0.0020833469668073176,0.920087 +- 0.002083,3
fr,18,18.04550956433404,1.2923690377713841,18.045510 +- 1.292369,3,0.9086135364202054,0.0016293025065286205,0.908614 +- 0.001629,3
fr,19,18.14024948315142,1.025408376189789,18.140249 +- 1.025408,3,0.9076619206790494,0.0010395239230911839,0.907662 +- 0.001040,3
fr,20,17.547449558560317,1.0866859477513684,17.547450 +- 1.086686,3,0.9009311150600614,0.0002979731350709109,0.900931 +- 0.000298,3
fr,21,17.2500870859249,1.0478027495415538,17.250087 +- 1.047803,3,0.8970325714011592,0.0007292967212205319,0.897033 +- 0.000729,3
fr,22,17.023496300915724,1.242914297002339,17.023496 +- 1.242914,3,0.8942889630957801,0.0010664831533467758,0.894289 +- 0.001066,3
fr,23,16.791251066959354,1.3771700101242537,16.791251 +- 1.377170,3,0.8905709810793273,0.0009531520671661484,0.890571 +- 0.000953,3
fr,24,16.528630696483287,1.1539602530398663,16.528631 +- 1.153960,3,0.8804990962680145,0.0008970366216168456,0.880499 +- 0.000897,3
fr,25,16.451936474511907,1.0061695776937984,16.451936 +- 1.006170,3,0.8747451911354358,0.0009238802728313929,0.874745 +- 0.000924,3
fr,26,16.471322412850398,0.9093104113922377,16.471322 +- 0.909310,3,0.8601213781318504,0.0013668451567583144,0.860121 +- 0.001367,3
fr,27,16.206173447319042,0.7884296475108519,16.206173 +- 0.788430,3,0.8525876974119988,0.001012487559467025,0.852588 +- 0.001012,3
fr,28,16.21199530196472,0.8541160942213906,16.211995 +- 0.854116,3,0.8432339062870552,0.0010721692322661644,0.843234 +- 0.001072,3
fr,29,16.223109268210887,0.7906826687737363,16.223109 +- 0.790683,3,0.830868694210584,0.0009177222990004922,0.830869 +- 0.000918,3
fr,30,16.37297975981982,0.7340106070510682,16.372980 +- 0.734011,3,0.8172718909742301,0.0015201496164242735,0.817272 +- 0.001520,3
fr,31,16.445821837990103,0.8591684425466973,16.445822 +- 0.859168,3,0.8080757079908191,0.0011682875756847768,0.808076 +- 0.001168,3
