layer,cosine_sim,cosine_sim_adjusted
0,0.7095476388931274,0.37349778413772583
1,0.6698670983314514,0.38826972246170044
2,0.7077000737190247,0.37135475873947144
3,0.6982254385948181,0.4158613681793213
4,0.7072608470916748,0.4489339590072632
5,0.7253612279891968,0.4530400335788727
6,0.7331439256668091,0.48802614212036133
7,0.7496821880340576,0.5170257091522217
8,0.7556509971618652,0.5191348791122437
9,0.7677010297775269,0.5163435935974121
10,0.7702153325080872,0.5307278633117676
11,0.7673847079277039,0.5318562388420105
12,0.7830553650856018,0.5357462167739868
13,0.7780724167823792,0.5520573854446411
14,0.773951530456543,0.5494929552078247
15,0.7767366766929626,0.545115053653717
16,0.7703618407249451,0.5428152084350586
17,0.7627056837081909,0.5257961750030518
18,0.7622696757316589,0.4958297610282898
19,0.7486639618873596,0.4877575635910034
20,0.7305430769920349,0.4625683128833771
21,0.7222859859466553,0.4388662576675415
22,0.7204034924507141,0.41284850239753723
23,0.7199841141700745,0.3878898620605469
24,0.7002977132797241,0.3582475781440735
25,0.6871880888938904,0.353044718503952
26,0.6695042848587036,0.3235538601875305
27,0.6505500674247742,0.31271931529045105
28,0.6376786828041077,0.3009226620197296
29,0.6101444959640503,0.30016034841537476
30,0.5954781174659729,0.2944788932800293
31,0.5882618427276611,0.29360681772232056
