layer,cosine_sim,cosine_sim_adjusted
0,0.6824737191200256,0.35106611251831055
1,0.6470606327056885,0.3768389821052551
2,0.691394567489624,0.36704346537590027
3,0.676441490650177,0.4053025543689728
4,0.6855483651161194,0.43448132276535034
5,0.7088032364845276,0.4438391923904419
6,0.7143517732620239,0.4776204526424408
7,0.7306490540504456,0.5038641691207886
8,0.735969603061676,0.5049551725387573
9,0.7472506761550903,0.5022966265678406
10,0.7491546869277954,0.5163710713386536
11,0.7469713091850281,0.5160782337188721
12,0.765256404876709,0.5223414301872253
13,0.7613048553466797,0.5402126312255859
14,0.7580557465553284,0.5393752455711365
15,0.7638471722602844,0.5375968217849731
16,0.7557820677757263,0.5348277688026428
17,0.7478337287902832,0.5172924995422363
18,0.7461162209510803,0.4871065616607666
19,0.728264331817627,0.4766138792037964
20,0.7126045823097229,0.4515630006790161
21,0.7041263580322266,0.4296180009841919
22,0.6963287591934204,0.4023134410381317
23,0.6990655064582825,0.38012567162513733
24,0.6756935715675354,0.3486424684524536
25,0.6733787059783936,0.34381261467933655
26,0.6667698621749878,0.31738489866256714
27,0.6410930752754211,0.3062952160835266
28,0.6370341181755066,0.29617100954055786
29,0.6213526129722595,0.3020002841949463
30,0.5727328658103943,0.2874588668346405
31,0.524803876876831,0.27010130882263184
