layer,cosine_sim,cosine_sim_adjusted
0,0.6930097937583923,0.35776975750923157
1,0.6597789525985718,0.3729313910007477
2,0.6942793130874634,0.35394638776779175
3,0.6865053772926331,0.4007289707660675
4,0.6982488036155701,0.4352400302886963
5,0.7168775200843811,0.4392794072628021
6,0.7251893877983093,0.4756389856338501
7,0.7429346442222595,0.5056829452514648
8,0.7499094009399414,0.5076467990875244
9,0.7612380385398865,0.5020444393157959
10,0.7634013891220093,0.5161405801773071
11,0.7611098885536194,0.5174854397773743
12,0.7771140336990356,0.5212281346321106
13,0.7723985314369202,0.5390921235084534
14,0.7689993381500244,0.5380006432533264
15,0.7726776599884033,0.535036027431488
16,0.767242968082428,0.5334181785583496
17,0.7596555352210999,0.5175927877426147
18,0.7594326138496399,0.4896814525127411
19,0.7455066442489624,0.48176681995391846
20,0.7269165515899658,0.457038938999176
21,0.7176611423492432,0.4343564510345459
22,0.7150554060935974,0.40887585282325745
23,0.7136976718902588,0.38610967993736267
24,0.6938547492027283,0.3566851317882538
25,0.6806864142417908,0.3505527973175049
26,0.6627392172813416,0.32195934653282166
27,0.6440170407295227,0.3109128475189209
28,0.6307469010353088,0.2990081310272217
29,0.604269802570343,0.29739028215408325
30,0.5912071466445923,0.291092187166214
31,0.5862331390380859,0.28908687829971313
