layer,cosine_sim,cosine_sim_adjusted
0,0.664986789226532,0.3477737307548523
1,0.6127359867095947,0.37314361333847046
2,0.6650651693344116,0.3680048882961273
3,0.6633598208427429,0.41051584482192993
4,0.6819457411766052,0.4464663565158844
5,0.711503267288208,0.4576648473739624
6,0.7217983603477478,0.4938131272792816
7,0.7404954433441162,0.5218547582626343
8,0.7467712163925171,0.5234201550483704
9,0.760782778263092,0.5203676819801331
10,0.7647584080696106,0.5346909165382385
11,0.7643311023712158,0.5371409058570862
12,0.7785337567329407,0.5410796999931335
13,0.7766727805137634,0.56003338098526
14,0.7728990316390991,0.5612965226173401
15,0.7771385312080383,0.561728835105896
16,0.7759653329849243,0.5609887838363647
17,0.7696458697319031,0.5486083030700684
18,0.7711815237998962,0.5218102931976318
19,0.7579787969589233,0.5128431916236877
20,0.7439379692077637,0.48909252882003784
21,0.734065592288971,0.4662165641784668
22,0.7291920781135559,0.4396880269050598
23,0.7265645861625671,0.4144178330898285
24,0.7068116068840027,0.38232913613319397
25,0.701494038105011,0.37696951627731323
26,0.6652485132217407,0.3428167402744293
27,0.6486694812774658,0.3318187892436981
28,0.6348913908004761,0.31696784496307373
29,0.6044706702232361,0.3167118728160858
30,0.5998817682266235,0.3126230537891388
31,0.5915908217430115,0.3195495009422302
