layer,cosine_sim,cosine_sim_adjusted
0,0.6684160232543945,0.35490667819976807
1,0.6124202013015747,0.37541669607162476
2,0.6663250923156738,0.3699418008327484
3,0.6645137667655945,0.4135938584804535
4,0.6818391680717468,0.4488835334777832
5,0.7097175121307373,0.45967867970466614
6,0.7189795970916748,0.4950674772262573
7,0.7376629710197449,0.5227881073951721
8,0.7433525919914246,0.5272753238677979
9,0.7567842602729797,0.5290671586990356
10,0.7605952620506287,0.5436789989471436
11,0.7598392367362976,0.5462347269058228
12,0.7748940587043762,0.5507897734642029
13,0.7712641358375549,0.5680366158485413
14,0.7656009197235107,0.5662996768951416
15,0.7670250535011292,0.5635885000228882
16,0.7645998001098633,0.5628276467323303
17,0.7559629678726196,0.5486328601837158
18,0.7561420798301697,0.5239304900169373
19,0.7420142292976379,0.5147680640220642
20,0.7276880145072937,0.4893254339694977
21,0.716508686542511,0.46647924184799194
22,0.7117774486541748,0.43923088908195496
23,0.7080565094947815,0.41354790329933167
24,0.6906058192253113,0.3809719979763031
25,0.6841771006584167,0.37540900707244873
26,0.6484617590904236,0.34133368730545044
27,0.6309901475906372,0.32977113127708435
28,0.6165178418159485,0.3142170310020447
29,0.5842843651771545,0.31282711029052734
30,0.579383909702301,0.30649206042289734
31,0.5641896724700928,0.30653291940689087
