layer,cosine_sim,cosine_sim_adjusted
0,0.6824209690093994,0.35088643431663513
1,0.6467193365097046,0.37665122747421265
2,0.6910474300384521,0.36732202768325806
3,0.6756142377853394,0.4055507183074951
4,0.6845347881317139,0.43501555919647217
5,0.7073832750320435,0.44494959712028503
6,0.7126659154891968,0.4786553978919983
7,0.7285122871398926,0.5040276050567627
8,0.7322639226913452,0.5067061185836792
9,0.7420015931129456,0.5055986642837524
10,0.7429726719856262,0.5192604660987854
11,0.7400070428848267,0.5188174247741699
12,0.7574660778045654,0.5251756310462952
13,0.7523921132087708,0.5417640209197998
14,0.7475914359092712,0.5401752591133118
15,0.7524875998497009,0.5385152101516724
16,0.7430425882339478,0.5337710976600647
17,0.7327746748924255,0.5159939527511597
18,0.7290908694267273,0.48882195353507996
19,0.7085655331611633,0.47675082087516785
20,0.6933971047401428,0.45145732164382935
21,0.6836513876914978,0.4304419755935669
22,0.6762563586235046,0.4029095470905304
23,0.6775203347206116,0.3813124895095825
24,0.6559262871742249,0.3484855890274048
25,0.6537153124809265,0.3425792157649994
26,0.6468231678009033,0.31646546721458435
27,0.6214882731437683,0.3047347068786621
28,0.6160890460014343,0.29345592856407166
29,0.5998432636260986,0.29822784662246704
30,0.5534847378730774,0.2820205092430115
31,0.5042198300361633,0.2614712119102478
