layer,cosine_sim,cosine_sim_adjusted
0,0.6934927701950073,0.3578246533870697
1,0.6603326797485352,0.3728436231613159
2,0.6948805451393127,0.3540326654911041
3,0.6870484948158264,0.40097975730895996
4,0.6992453336715698,0.43565496802330017
5,0.7180982828140259,0.4400824010372162
6,0.7265127897262573,0.4763789772987366
7,0.7444769144058228,0.5063095688819885
8,0.751812756061554,0.5076742172241211
9,0.7633878588676453,0.5016172528266907
10,0.765898585319519,0.5156506299972534
11,0.7636342644691467,0.517415463924408
12,0.779697835445404,0.5209764838218689
13,0.7753640413284302,0.5392429232597351
14,0.7720723152160645,0.5384794473648071
15,0.7754751443862915,0.5349813103675842
16,0.7700358629226685,0.5341100096702576
17,0.7626949548721313,0.5183708667755127
18,0.7624188661575317,0.49023905396461487
19,0.7488478422164917,0.4825283885002136
20,0.7302956581115723,0.45827487111091614
21,0.7210926413536072,0.4350532591342926
22,0.7181664109230042,0.40960046648979187
23,0.7166677117347717,0.3867846727371216
24,0.6961396336555481,0.3573358356952667
25,0.6827507615089417,0.35103359818458557
26,0.6651409268379211,0.322123646736145
27,0.6464391350746155,0.3108963072299957
28,0.6332687735557556,0.2990547716617584
29,0.6068716645240784,0.2974439561367035
30,0.5928654074668884,0.2916553020477295
31,0.5867957472801208,0.2921309471130371
