layer,cosine_sim,cosine_sim_adjusted
0,0.6690491437911987,0.3548138439655304
1,0.6131181120872498,0.37533262372016907
2,0.6668336391448975,0.36938562989234924
3,0.6653338670730591,0.4131849408149719
4,0.683390736579895,0.4483988583087921
5,0.7120790481567383,0.4588772654533386
6,0.7221276760101318,0.4941232204437256
7,0.7422651052474976,0.5227025747299194
8,0.7503833770751953,0.5247216820716858
9,0.765774130821228,0.5239840149879456
10,0.7708806395530701,0.5386070609092712
11,0.7710383534431458,0.5419762134552002
12,0.7865527868270874,0.5463929176330566
13,0.783911943435669,0.5656647682189941
14,0.7790600657463074,0.5651662349700928
15,0.7815879583358765,0.5625479817390442
16,0.7798792719841003,0.5631544589996338
17,0.7729024887084961,0.5496408343315125
18,0.7738338112831116,0.5217072367668152
19,0.7605234384536743,0.5128126740455627
20,0.7457525134086609,0.4880653917789459
21,0.735615611076355,0.4643276035785675
22,0.7301070690155029,0.4375363886356354
23,0.726944625377655,0.41186198592185974
24,0.7065547108650208,0.3803446292877197
25,0.7005302906036377,0.37550273537635803
26,0.6648111343383789,0.3412250280380249
27,0.6473544239997864,0.33011841773986816
28,0.6335837841033936,0.315499871969223
29,0.6022551655769348,0.3149380385875702
30,0.5958470106124878,0.31035566329956055
31,0.5809712409973145,0.3164077699184418
