layer, cosine_sim        , cosine_sim_adjusted
    0, 0.6566552519798279, 0.3254075050354004
    1, 0.6249465346336365, 0.3526052236557007
    2, 0.6754141449928284, 0.34838348627090454
    3, 0.6606728434562683, 0.3884216845035553
    4, 0.6655663847923279, 0.4161415994167328
    5, 0.6887349486351013, 0.42524445056915283
    6, 0.694365918636322 , 0.4598715305328369
    7, 0.7120533585548401, 0.4885939955711365
    8, 0.7176036834716797, 0.48994675278663635
    9, 0.7278766632080078, 0.48590871691703796
   10, 0.7283205389976501, 0.4979242980480194
   11, 0.7272772192955017, 0.4985801875591278
   12, 0.7459904551506042, 0.5054775476455688
   13, 0.7433537244796753, 0.5233832001686096
   14, 0.7414278388023376, 0.5238729119300842
   15, 0.751308023929596 , 0.5267824530601501
   16, 0.7481181025505066, 0.5265225768089294
   17, 0.7421151399612427, 0.5120384693145752
   18, 0.7418692111968994, 0.4857545793056488
   19, 0.7276841998100281, 0.4762042462825775
   20, 0.7140650749206543, 0.45272698998451233
   21, 0.705085277557373 , 0.43144726753234863
   22, 0.6981208324432373, 0.4027973711490631
   23, 0.6956536769866943, 0.38006410002708435
   24, 0.6708829998970032, 0.3486182987689972
   25, 0.6599329710006714, 0.34327971935272217
   26, 0.6460309028625488, 0.3172646462917328
   27, 0.6260898113250732, 0.30607089400291443
   28, 0.6103290915489197, 0.2908007502555847
   29, 0.5780321359634399, 0.29175645112991333
   30, 0.5742595791816711, 0.2866136431694031
   31, 0.5695745348930359, 0.2817469537258148
