layer,cosine_sim,cosine_sim_adjusted
0,0.6928157806396484,0.3574628233909607
1,0.6597570776939392,0.3730160593986511
2,0.6938561797142029,0.3543877601623535
3,0.6859641075134277,0.40112102031707764
4,0.6977689862251282,0.43570682406425476
5,0.7162031531333923,0.43997862935066223
6,0.7238653302192688,0.47686779499053955
7,0.7410246729850769,0.507168710231781
8,0.7472426295280457,0.5103151798248291
9,0.7578306198120117,0.5059303045272827
10,0.7598296403884888,0.5193305611610413
11,0.7572989463806152,0.5209366083145142
12,0.7734598517417908,0.5244730710983276
13,0.7687232494354248,0.5416689515113831
14,0.7649375200271606,0.5403716564178467
15,0.768423318862915,0.5371541380882263
16,0.7628037929534912,0.5347389578819275
17,0.754583477973938,0.5182703137397766
18,0.7544733285903931,0.49095651507377625
19,0.7405900955200195,0.482435941696167
20,0.7220167517662048,0.457511305809021
21,0.7128441333770752,0.43503615260124207
22,0.7107865810394287,0.4092114567756653
23,0.7093842029571533,0.38630834221839905
24,0.6906955242156982,0.3569665551185608
25,0.6773836016654968,0.3510327935218811
26,0.6596917510032654,0.322605699300766
27,0.6406275629997253,0.3116416931152344
28,0.6271355152130127,0.2995765805244446
29,0.5996856689453125,0.29808297753334045
30,0.5868788957595825,0.2914436161518097
31,0.5832815170288086,0.2880435585975647
