layer,cosine_sim,cosine_sim_adjusted
0,0.6755313873291016,0.342875599861145
1,0.6321510076522827,0.36168405413627625
2,0.6822348237037659,0.35628533363342285
3,0.6646978259086609,0.39357197284698486
4,0.6669090986251831,0.42074987292289734
5,0.687739372253418,0.42745935916900635
6,0.6922158002853394,0.4598417282104492
7,0.7105274796485901,0.4889600872993469
8,0.7155284881591797,0.48980483412742615
9,0.7268385291099548,0.48819470405578613
10,0.7274262309074402,0.4996947944164276
11,0.7248358726501465,0.4992610216140747
12,0.7435559630393982,0.5071741342544556
13,0.7408914566040039,0.524524450302124
14,0.7389815449714661,0.5255363583564758
15,0.748885452747345,0.5282601118087769
16,0.7459313869476318,0.5282505750656128
17,0.7394570112228394,0.5128848552703857
18,0.7390685677528381,0.485867977142334
19,0.72461998462677,0.4757142961025238
20,0.7112753391265869,0.4520317018032074
21,0.7025070786476135,0.43018606305122375
22,0.6958284378051758,0.4019653797149658
23,0.6936206817626953,0.37829816341400146
24,0.668569803237915,0.34662163257598877
25,0.6575911641120911,0.34132707118988037
26,0.6435391902923584,0.3154500722885132
27,0.6229040622711182,0.3041100800037384
28,0.6071406006813049,0.2894894480705261
29,0.5744288563728333,0.290903240442276
30,0.5704548954963684,0.28726014494895935
31,0.5628964900970459,0.28357061743736267
