layer,cosine_sim,cosine_sim_adjusted
0,0.6683606505393982,0.35451599955558777
1,0.6125745177268982,0.37543046474456787
2,0.6660216450691223,0.369748592376709
3,0.6642405390739441,0.41328391432762146
4,0.6819791197776794,0.44843292236328125
5,0.710187554359436,0.4586653709411621
6,0.7195979356765747,0.49442657828330994
7,0.7386565804481506,0.5233207941055298
8,0.745528519153595,0.52685546875
9,0.7598748207092285,0.5278227925300598
10,0.7645655870437622,0.5417307019233704
11,0.7643535137176514,0.544823408126831
12,0.7799893617630005,0.5491908192634583
13,0.7768675088882446,0.5671558380126953
14,0.7716155648231506,0.5661568641662598
15,0.773642361164093,0.5634105205535889
16,0.7718133330345154,0.5627885460853577
17,0.7639197111129761,0.5485231280326843
18,0.7647773027420044,0.5214809775352478
19,0.7513875365257263,0.5119600892066956
20,0.7370572090148926,0.48689791560173035
21,0.7267662286758423,0.4640023112297058
22,0.7220253348350525,0.4368601143360138
23,0.7187873721122742,0.41109776496887207
24,0.7000359296798706,0.3795957863330841
25,0.6937707662582397,0.3751293122768402
26,0.6576777696609497,0.3411506116390228
27,0.639960765838623,0.33040061593055725
28,0.6260234713554382,0.31553566455841064
29,0.5938466191291809,0.31522613763809204
30,0.5883163809776306,0.30986765027046204
31,0.5762019157409668,0.312059611082077
