layer,cosine_sim,cosine_sim_adjusted
0,0.6824524998664856,0.35049864649772644
1,0.646926999092102,0.3766491711139679
2,0.6908859610557556,0.36723023653030396
3,0.6760003566741943,0.40554434061050415
4,0.6850533485412598,0.4347172975540161
5,0.7082987427711487,0.44399017095565796
6,0.7135857939720154,0.47810298204421997
7,0.7296102046966553,0.5046415328979492
8,0.7346590161323547,0.5064729452133179
9,0.7456989884376526,0.5048457384109497
10,0.7478035688400269,0.517942488193512
11,0.7454715371131897,0.5180907845497131
12,0.7635325193405151,0.5242559313774109
13,0.7591848373413086,0.5416969060897827
14,0.7552374005317688,0.5411431789398193
15,0.7607203722000122,0.5393698811531067
16,0.7521958351135254,0.5352657437324524
17,0.7430875301361084,0.517507016658783
18,0.7405931353569031,0.48822107911109924
19,0.7216858267784119,0.47660961747169495
20,0.7059394717216492,0.45141181349754333
21,0.6965107917785645,0.4298764169216156
22,0.6887663006782532,0.4023113548755646
23,0.6906552910804749,0.38043975830078125
24,0.6671412587165833,0.3481617569923401
25,0.6646848320960999,0.3428395688533783
26,0.657298743724823,0.3165915012359619
27,0.6306676268577576,0.30514422059059143
28,0.6257146000862122,0.2944033741950989
29,0.6092926859855652,0.2999690771102905
30,0.5603280067443848,0.2839728593826294
31,0.510887861251831,0.2640092372894287
