seed,language,layer,id,r
42,es,0,18.065969817071696,0.992774027375858
42,es,1,18.115469175358122,1.0368688289795618
42,es,2,15.652531520057252,1.0379081577092222
42,es,3,16.739503451742483,1.05812121125263
42,es,4,17.116366885600492,1.065622310563394
42,es,5,17.357289896331295,1.0586661595222824
42,es,6,17.685468370299485,1.052514948117021
42,es,7,17.88573971291634,1.0437265053301537
42,es,8,17.88124494741288,1.0445670074212976
42,es,9,18.59778398171482,1.043463559884771
42,es,10,18.318423047277996,1.0388826954689694
42,es,11,17.871117521888248,1.0254791287132565
42,es,12,18.833101005657372,1.0270257171193777
42,es,13,18.147907934262612,1.0324838039626265
42,es,14,18.220233625638613,1.027584637208634
42,es,15,17.824720959138457,1.062948923346916
42,es,16,17.67026978313502,1.0529931792197675
42,es,17,17.89978273072774,1.0639885824461215
42,es,18,16.69997031625955,1.0612499027774793
42,es,19,17.061222668724312,1.0620431621819755
42,es,20,17.16587240133705,1.056700506302806
42,es,21,16.130933141104087,1.0501021514464746
42,es,22,15.819781183452234,1.053691430485325
42,es,23,15.785023344286099,1.0499143590259385
42,es,24,15.841024501478348,1.0378456014829454
42,es,25,16.5810057682378,1.0289638414603823
42,es,26,16.057199605591627,1.0071478968232113
42,es,27,16.327393025225724,0.9950961121913374
42,es,28,16.12549065856042,0.9873207738202345
42,es,29,15.320649410559952,0.9807010397442226
42,es,30,14.892925095530662,0.9747511015688074
42,es,31,13.267780477399526,1.007540980303708
