seed,language,layer,id,r
45,en,0,20.665694513722332,0.9702569104567491
45,en,1,18.188173795667307,0.9741565450520966
45,en,2,19.723517544715673,0.9715568032856696
45,en,3,20.41446511459636,1.018155725381605
45,en,4,19.645500170092284,1.0279000159794378
45,en,5,19.111278127229138,1.0183904059595974
45,en,6,18.937845800651875,1.0175848409450372
45,en,7,17.15845425539196,1.008828403697741
45,en,8,18.1408489591968,1.0085379816914763
45,en,9,17.95215810310909,1.0105678073877078
45,en,10,17.70273269904763,1.0131494565773567
45,en,11,17.50481277205252,0.997779286286054
45,en,12,17.89068718145843,0.9981603965920475
45,en,13,17.551680340330368,1.0114979874201124
45,en,14,17.46054743466304,1.0117681410840713
45,en,15,17.298531974961964,1.0541146153041077
45,en,16,17.792977103797842,1.0471879873684555
45,en,17,17.693173436918574,1.0553664280990767
45,en,18,16.57539604524152,1.054717294386473
45,en,19,16.4556017928957,1.0524105032385371
45,en,20,16.910427821294157,1.0527088580651685
45,en,21,16.38896049275811,1.0448703551956597
45,en,22,16.34248612071161,1.0504748390571605
45,en,23,16.55179836048189,1.0513443449129325
45,en,24,16.925628484261235,1.0550323106776938
45,en,25,16.621197325755787,1.0541922407263757
45,en,26,17.150278772605983,1.0479644987095322
45,en,27,17.954158698440967,1.0460673009519392
45,en,28,18.375099733758077,1.0496098773256306
45,en,29,18.421418586662593,1.0464882734084344
45,en,30,18.794072935028275,1.056716516464863
45,en,31,16.29759664634481,1.0433459028739853
