seed,language,layer,id,r
42,fr,0,22.796607823290614,1.0382017018735734
42,fr,1,25.10157831604866,1.067909307635625
42,fr,2,18.617374108461476,1.068241249421771
42,fr,3,17.66041417147807,1.0768869296516443
42,fr,4,18.255137247963354,1.0826911991252641
42,fr,5,17.356696870563407,1.0765931230141823
42,fr,6,17.564104102344125,1.0706113024268489
42,fr,7,17.46057125584026,1.0601894149751854
42,fr,8,17.616779766574723,1.0620135057145972
42,fr,9,17.401337044692152,1.0667559731095655
42,fr,10,17.52659059290904,1.0612047236771385
42,fr,11,18.79425615368247,1.0457104519464804
42,fr,12,18.587288666327435,1.044833652183609
42,fr,13,18.273558054918407,1.0522943197959989
42,fr,14,17.616286446449497,1.0507713243964483
42,fr,15,16.819869675351388,1.082460647521115
42,fr,16,18.542978843778094,1.0738860339116059
42,fr,17,18.43858252549025,1.0854465034809502
42,fr,18,19.037312774467495,1.082830370263978
42,fr,19,18.835452535695115,1.0841878736430544
42,fr,20,19.169726357715074,1.0805975459055353
42,fr,21,18.296223764686943,1.0704900489834264
42,fr,22,18.605051747011487,1.0721821263313176
42,fr,23,18.915115845073025,1.066287596403046
42,fr,24,19.650743943217723,1.0531423794393484
42,fr,25,19.428517424685744,1.047567163083756
42,fr,26,20.193835051790405,1.0263929965228396
42,fr,27,19.622382403885354,1.0196316942582389
42,fr,28,19.26840434488617,1.0131963212106683
42,fr,29,19.340508080053855,1.009813705831738
42,fr,30,19.519545838861845,1.0096341328480363
42,fr,31,19.915832228291553,1.0346715924450893
