seed,language,layer,id,r
43,ru,0,22.040591973547784,0.9226142063800027
43,ru,1,19.962652663686516,0.9922188066309139
43,ru,2,17.46857650132513,1.0174099053793872
43,ru,3,15.03576577302438,1.0430516693467071
43,ru,4,15.342943572456859,1.0588276819674751
43,ru,5,14.429352355928287,1.0516520834369094
43,ru,6,15.366914790991999,1.0543983131861459
43,ru,7,16.799850398400118,1.0516904413716341
43,ru,8,16.904788766692295,1.0535243133108734
43,ru,9,17.930601944776168,1.0567049984323005
43,ru,10,18.175937002269965,1.0517261149884647
43,ru,11,17.60915795472093,1.041135934541593
43,ru,12,18.0423168147402,1.048504266883594
43,ru,13,17.823318983720778,1.0506903240956493
43,ru,14,17.74495319430715,1.0415271335962026
43,ru,15,16.743392835841917,1.0687029438415565
43,ru,16,16.796139186967284,1.0564126618510912
43,ru,17,16.438290953330554,1.0601248443316997
43,ru,18,16.02504243375125,1.0552084002567161
43,ru,19,16.411234257519325,1.0548494022893347
43,ru,20,16.535479161030025,1.0459389767874316
43,ru,21,15.853946227025073,1.0360793767153855
43,ru,22,15.550833912146238,1.0228073163106448
43,ru,23,15.474352915755778,1.0158700084060195
43,ru,24,15.949649465139808,0.995010037284195
43,ru,25,16.17855730639555,0.9936571790335488
43,ru,26,16.49456611938219,0.9768334103580035
43,ru,27,16.772399257359904,0.936850031993805
43,ru,28,16.918382443300615,0.9367488153394762
43,ru,29,16.4712961702685,0.9376224763907559
43,ru,30,15.45506562005022,0.9266299294143682
43,ru,31,15.752868244589104,0.9884399305795573
