seed,language,layer,id,r
45,es,0,20.839836455584404,0.9908985399232737
45,es,1,18.10714908470953,1.0227461726735534
45,es,2,17.189091312803512,1.0191351350861197
45,es,3,15.300102149312764,1.0388482299643753
45,es,4,16.6701374808144,1.047923371388961
45,es,5,16.83148617148228,1.0427077835524172
45,es,6,17.25896600788263,1.041971059881985
45,es,7,17.293723551922056,1.0338380292712517
45,es,8,17.227039236223366,1.0401172586011618
45,es,9,17.939113024676725,1.0469374822143704
45,es,10,18.024760895020176,1.0416754320840453
45,es,11,18.55721847415032,1.0237641875743524
45,es,12,20.369858323989906,1.0310710131235552
45,es,13,18.808275558014685,1.030965491384123
45,es,14,18.16114409107198,1.0257167270797007
45,es,15,17.143016074222107,1.056201025859004
45,es,16,17.440218395471828,1.044373957348473
45,es,17,16.94601381749763,1.052614945255342
45,es,18,16.09087579247648,1.046763456213975
45,es,19,14.541538669943957,1.0417820217092777
45,es,20,14.899759166846227,1.0382376733849379
45,es,21,14.371874360389784,1.0275782964314437
45,es,22,14.295866760119058,1.0300534466734452
45,es,23,14.394886827638697,1.0247034788563416
45,es,24,14.110758352237887,1.016589525812197
45,es,25,13.96462882179244,1.0095455975258638
45,es,26,13.565650170357381,0.9963912495172164
45,es,27,13.685453421327754,0.9865923531418914
45,es,28,13.843432083727143,0.9789630418871604
45,es,29,13.51291614525456,0.9703636392947481
45,es,30,14.195784217644018,0.9619616730749071
45,es,31,14.200573073945884,0.9962122943825277
