seed,language,layer,id,r
44,fr,0,19.981305539181005,0.9779785499649148
44,fr,1,20.14586951877761,1.0162242290605565
44,fr,2,18.75839500439766,1.0168262054915551
44,fr,3,17.71628565933167,1.0361172499083031
44,fr,4,18.336804342648016,1.0457102420667554
44,fr,5,17.299066372651584,1.0361134913875476
44,fr,6,17.651040419281674,1.0336455657695995
44,fr,7,17.179378100287806,1.0233643715538907
44,fr,8,16.98346228230392,1.026566843151916
44,fr,9,17.484620903900442,1.0314586351422335
44,fr,10,17.15932384341957,1.0268176844949046
44,fr,11,18.103469921088266,1.0149387139095867
44,fr,12,17.835308935054208,1.0117044038890977
44,fr,13,18.211224037594288,1.0177149026964056
44,fr,14,17.35085008228551,1.0120888161413228
44,fr,15,17.922403019385058,1.0509493804200747
44,fr,16,18.45148162962512,1.0389787510700548
44,fr,17,18.408309782488722,1.0522416944810837
44,fr,18,17.89780804193795,1.0514461655059912
44,fr,19,17.652062240520955,1.0497732248475549
44,fr,20,17.264445074486215,1.0463720207515805
44,fr,21,16.921054535022165,1.0404699713255936
44,fr,22,17.71006693745714,1.0427631280615985
44,fr,23,18.009438234996253,1.038836321927286
44,fr,24,18.091054429369933,1.028816656901248
44,fr,25,18.215460173244836,1.0224488617177234
44,fr,26,18.015240008883545,1.0021722097270795
44,fr,27,17.978184569547867,0.995517867113711
44,fr,28,17.68204859794357,0.9911893725571201
44,fr,29,17.906489571541414,0.9860028948616455
44,fr,30,18.2769991660586,0.9848617537222136
44,fr,31,16.705898606865357,1.0043109076722256
