seed,language,layer,id,r
43,ru,0,19.461564511630623,0.8561235358892688
43,ru,1,20.769578756445462,0.9052382976866314
43,ru,2,16.535474703559807,0.9242685658046952
43,ru,3,15.494367311650349,0.965521553701079
43,ru,4,14.23119021144348,0.9836105356889618
43,ru,5,13.987555128608172,0.9786369439802293
43,ru,6,14.623113698220743,0.9832039141850062
43,ru,7,15.195077586112435,0.9839884145683535
43,ru,8,15.965388493595391,0.9912302673164409
43,ru,9,15.955368287211709,0.9959023623100168
43,ru,10,16.185808133495,0.9927933966930803
43,ru,11,15.638604193969538,0.9807469138078454
43,ru,12,16.49971948042445,0.9882989079945955
43,ru,13,16.27073846255773,0.9928940083394354
43,ru,14,15.57788038438462,0.9873799957105436
43,ru,15,15.359042511511499,1.0133603774446776
43,ru,16,15.552229477246753,1.0055426918739498
43,ru,17,15.33864002020479,1.007953937324167
43,ru,18,15.453297217309377,1.0020150405529387
43,ru,19,15.32009073031654,1.0000669104800868
43,ru,20,15.209741714781295,0.9944716704960461
43,ru,21,15.005620654403847,0.9863338837063066
43,ru,22,14.848900587803055,0.9797216158502542
43,ru,23,15.07302519409127,0.975451825750036
43,ru,24,15.656248867713193,0.9608037221727526
43,ru,25,15.737698132834735,0.9609184546673103
43,ru,26,16.091557123373786,0.942388536874656
43,ru,27,16.1452589760339,0.9099395485177325
43,ru,28,16.12467709440105,0.9096277692617791
43,ru,29,15.536594337838507,0.9058935034075585
43,ru,30,15.884893378280672,0.8935104530783343
43,ru,31,14.137932474889382,0.9333939660546474
