seed,language,layer,id,r
44,ru,0,13.06414890409569,0.3580952047608883
44,ru,1,16.137448648017862,0.6975787833295236
44,ru,2,16.469692666863114,0.7214637227680091
44,ru,3,15.977394777759052,0.8069749846831998
44,ru,4,17.621462313790396,0.8757749931472858
44,ru,5,16.473101060962623,0.8882427829084792
44,ru,6,18.267663702227804,0.9141761073362098
44,ru,7,19.106595387001274,0.9410716931988538
44,ru,8,19.027655147542475,0.9611368807834263
44,ru,9,19.6326865703875,0.9698526918047982
44,ru,10,20.733396729073455,0.9734424493994581
44,ru,11,20.363431753831573,0.9668016897617933
44,ru,12,20.059560742917682,0.9671431221806757
44,ru,13,19.892009468792317,0.9710018846611979
44,ru,14,20.15857120843064,0.9627693676738648
44,ru,15,20.04169609129954,0.9466738568815758
44,ru,16,18.68218493297883,0.927090886011384
44,ru,17,18.106769258985214,0.9195101309034093
44,ru,18,17.682942591909296,0.9078830081925667
44,ru,19,18.12803647164172,0.9060190131548789
44,ru,20,17.595343189504,0.9003976263166866
44,ru,21,17.193187156853618,0.8958318272488967
44,ru,22,16.72673379795329,0.8934469694738907
44,ru,23,16.779787116908825,0.8905089306980152
44,ru,24,16.78163652653019,0.8812325855963216
44,ru,25,16.826124068569627,0.8759165961022727
44,ru,26,16.5827598273993,0.8652618168745371
44,ru,27,16.496800890811652,0.856326548755982
44,ru,28,16.580199259388753,0.8479469414622404
44,ru,29,16.501250720697033,0.840997477776916
44,ru,30,16.06704341485825,0.8134683289332986
44,ru,31,16.04604987726062,0.8096954687517313
