seed,language,layer,id,r
42,fr,0,13.459899555413122,0.42968758114772493
42,fr,1,14.14827292136798,0.691794106455872
42,fr,2,14.869429064656751,0.7242730046280749
42,fr,3,15.757212422314574,0.8153323492907218
42,fr,4,16.71817301797934,0.8837478452543128
42,fr,5,15.885022184506036,0.8977999846472597
42,fr,6,17.774939782683372,0.9220978115164189
42,fr,7,18.732458632765915,0.9481466251801874
42,fr,8,19.01747442311491,0.9685848283172306
42,fr,9,19.81904546629729,0.9767025863496172
42,fr,10,20.461063042228183,0.98113924573488
42,fr,11,21.459278326719094,0.972700750642576
42,fr,12,21.239314687960384,0.9704544338793106
42,fr,13,21.760416408049974,0.9729401550987462
42,fr,14,21.779639672117913,0.9675168286924475
42,fr,15,21.51231983370252,0.949097079106899
42,fr,16,20.703156771143863,0.9330301616080824
42,fr,17,20.34065138025434,0.9282840137678904
42,fr,18,20.011992208641956,0.9154082984652898
42,fr,19,19.526623332808263,0.9153875413611472
42,fr,20,19.254218952990453,0.908975149634273
42,fr,21,19.019754727153465,0.9067072859442439
42,fr,22,18.948508461568043,0.9051884396805503
42,fr,23,18.927934370123904,0.9020024273317531
42,fr,24,18.42051043595263,0.8925651551566166
42,fr,25,18.194111212729993,0.887542272346039
42,fr,26,18.415787377410062,0.8741995258749523
42,fr,27,18.12026983684621,0.866156148225193
42,fr,28,18.22942261365848,0.8564535914511778
42,fr,29,18.091633630830472,0.8435380681300753
42,fr,30,18.32288514960994,0.8281500217178763
42,fr,31,18.032799241545543,0.8251034324698803
