seed,language,layer,id,r
44,es,0,12.008221800483152,0.23500917626361853
44,es,1,14.8653255599724,0.6813268206671967
44,es,2,16.30119197882613,0.7193877298981338
44,es,3,16.89807711562694,0.8141935561744171
44,es,4,18.490664176176846,0.8806600475053792
44,es,5,18.214935507299717,0.8903450077290379
44,es,6,18.94202753209171,0.9143871466582696
44,es,7,19.01245509762948,0.9388939864737851
44,es,8,19.246733153550828,0.9542909032589225
44,es,9,19.371431019016853,0.9623711165033056
44,es,10,19.256079160775123,0.9639157394405917
44,es,11,18.99773787787418,0.9578901112282833
44,es,12,19.706595615599543,0.954663096266123
44,es,13,19.917521182586285,0.9553510276241252
44,es,14,19.61445940743274,0.95050958097446
44,es,15,18.78235352167935,0.9344456710858062
44,es,16,17.98290544311461,0.9127823701899559
44,es,17,17.007600061824732,0.9019555710827281
44,es,18,16.508521378861996,0.8894853077748587
44,es,19,16.53582765396605,0.8899826075761961
44,es,20,16.162918181825177,0.8842299219325899
44,es,21,15.962342881750931,0.877710760799606
44,es,22,15.837795267469428,0.8759882229605407
44,es,23,15.905697150806517,0.87232445089894
44,es,24,15.879484503392037,0.8647506812305731
44,es,25,16.080187532653056,0.856397041570239
44,es,26,16.06723418864627,0.8440354983267773
44,es,27,16.03319829960359,0.836346585478388
44,es,28,16.07001079235646,0.8296995973837094
44,es,29,15.846579275003863,0.8212919975721068
44,es,30,15.88271136652918,0.8107022623262362
44,es,31,16.347321741868207,0.814110786285508
