seed,language,layer,id,r
42,fr,0,13.450369041134417,0.43012300870722664
42,fr,1,14.171243229341353,0.6917846495394382
42,fr,2,14.860664863052019,0.723913026507136
42,fr,3,15.723862950862355,0.814802507255929
42,fr,4,16.715904957333088,0.8829233900859133
42,fr,5,15.906655760255077,0.8963287235558816
42,fr,6,17.780960836734682,0.920900327341548
42,fr,7,18.652764176805118,0.9471426155476451
42,fr,8,19.039953502988823,0.967063077911472
42,fr,9,19.694504479215585,0.9733478492676988
42,fr,10,20.278548806381803,0.9765479569094548
42,fr,11,21.164762295277093,0.9673354362966238
42,fr,12,20.78824596021679,0.9652463358260804
42,fr,13,21.435021659958668,0.9672430379864096
42,fr,14,21.48828532918096,0.9614579782599777
42,fr,15,21.311725889921938,0.9430767506966848
42,fr,16,20.59338832787528,0.9269581417116951
42,fr,17,19.92918877166861,0.9218231809096963
42,fr,18,19.5258158283525,0.9095190013694076
42,fr,19,19.144612809602403,0.9084923923015678
42,fr,20,18.581808792660304,0.9012739984186064
42,fr,21,18.37299212788305,0.8976981322619703
42,fr,22,18.345761887713007,0.8955198718859135
42,fr,23,18.332671406934303,0.8916437396176484
42,fr,24,17.802920315455523,0.8814049133700633
42,fr,25,17.54796921819526,0.875703043862764
42,fr,26,17.51776722867249,0.8616919576643733
42,fr,27,17.09763103186106,0.8535734620309366
42,fr,28,17.191844574225794,0.8433736632912742
42,fr,29,17.12875338909574,0.830429448775312
42,fr,30,17.21724970278083,0.8157145168254906
42,fr,31,17.4089482218399,0.8070103822786523
