seed,language,layer,id,r
43,es,0,11.114749941386709,0.23861681762363138
43,es,1,13.63735758618529,0.6716928379595107
43,es,2,15.203273138162093,0.7102430822188496
43,es,3,14.893544609802877,0.7994627769820487
43,es,4,16.396385506841156,0.8688196264364725
43,es,5,15.101542496361397,0.8806370098645171
43,es,6,15.316271686739496,0.9061671716897554
43,es,7,15.415464322809672,0.9296885278897437
43,es,8,15.306377485043427,0.9469351790406365
43,es,9,15.706741424120166,0.9556179446449908
43,es,10,16.15565174898965,0.9568246149570068
43,es,11,16.534016653350992,0.9498434654541607
43,es,12,17.213204599591517,0.9468834345329488
43,es,13,17.548724131221043,0.9503245698530687
43,es,14,17.63196406874201,0.9464332125672701
43,es,15,17.076454545205053,0.9315292799747911
43,es,16,16.444578765231068,0.9117762715397735
43,es,17,15.79300557774545,0.9025804296934394
43,es,18,15.130203308044582,0.8910965423907355
43,es,19,15.154031101152025,0.8922777950879139
43,es,20,14.878785298069419,0.8876215122518574
43,es,21,14.610641680134925,0.8795721009590304
43,es,22,14.938553363637764,0.8782961470807582
43,es,23,14.78283875104288,0.8751177068604166
43,es,24,14.97225802152823,0.8679069071428094
43,es,25,15.048297333426982,0.8600358519392014
43,es,26,14.807264336148007,0.846012418267766
43,es,27,14.726751306839423,0.8375342530038229
43,es,28,14.888806475970036,0.8311550327750147
43,es,29,14.762961116903545,0.8224031498374288
43,es,30,15.006855385805533,0.8095149357932564
43,es,31,15.045508503307802,0.8119914997251858
