model,language,avg_mean,std_across_layers,avg_mean_pm_layer_std,n_layers
base-sft-dpo,de,-0.08930607692082387,0.20632093908782706,-0.089306 +- 0.206321,32
icr_dpo_ckpt36,de,-0.08968446933364127,0.2067735178800259,-0.089684 +- 0.206774,32
icr_npo_ckpt10,de,-0.09346049283083124,0.19873860184204478,-0.093460 +- 0.198739,32
icr_ppo_ckpt36,de,-0.0930347512341524,0.2002694762051761,-0.093035 +- 0.200269,32
icr_reinforce,de,-0.09347172983117412,0.198857262213295,-0.093472 +- 0.198857,32
base-sft-dpo,es,-0.004396217034469833,0.21792389763210954,-0.004396 +- 0.217924,32
icr_dpo_ckpt36,es,-0.005926145414085236,0.21844192181689995,-0.005926 +- 0.218442,32
icr_npo_ckpt10,es,-0.018391391817838033,0.21205412311865282,-0.018391 +- 0.212054,32
icr_ppo_ckpt36,es,-0.01802532739060335,0.213205484831291,-0.018025 +- 0.213205,32
icr_reinforce,es,-0.018312564975123388,0.21251051437384963,-0.018313 +- 0.212511,32
base-sft-dpo,fr,-0.04767920790816141,0.2177890906670957,-0.047679 +- 0.217789,32
icr_dpo_ckpt36,fr,-0.04865751297209648,0.21790178919783962,-0.048658 +- 0.217902,32
icr_npo_ckpt10,fr,-0.06131612954289232,0.21084621685614094,-0.061316 +- 0.210846,32
icr_ppo_ckpt36,fr,-0.061148329786210376,0.21205974390439972,-0.061148 +- 0.212060,32
icr_reinforce,fr,-0.06096949144979953,0.21086638449818174,-0.060969 +- 0.210866,32
base-sft-dpo,ru,-0.03390017056190278,0.17851727649987972,-0.033900 +- 0.178517,32
icr_dpo_ckpt36,ru,-0.03442638617095385,0.1795814579688635,-0.034426 +- 0.179581,32
icr_npo_ckpt10,ru,-0.017775001252783716,0.16371524593857914,-0.017775 +- 0.163715,32
icr_ppo_ckpt36,ru,-0.01838690002417333,0.1648771390616045,-0.018387 +- 0.164877,32
icr_reinforce,ru,-0.018454362193566956,0.16391207247696205,-0.018454 +- 0.163912,32
